,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
Label,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN,CAN     ,CAN     ,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,OO,OO,SUN,SUN,SUN,SUN
['1'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0012141670935105365,-0.0012976854690752689,-0.0009851796130779513,-0.0010625382289607222,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0009310925265767014,-0.000811719587163965,-0.0007718762378275706,-0.0007413170143935184,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.0008600174626859121,-0.000793217247982252,-0.0007812295254736365,-0.0006798230299718528,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010621164375266977,-0.0008770078470757217,-0.0010181418008749319,-0.000921063668031992,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007423844449556056,-0.0008170131267361717,-0.0007233489841368319,-0.0005579534853057125,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0009281683610986401,-0.0010011245582995907,-0.000760049913355972,-0.0008349954795233546,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.0013169115724314681,-0.0012295618263873447,-0.0010441575558508855,-0.0009553647603436946,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011906120651371207,-0.0011323057704991071,-0.0009648929831066103,-0.0009902232288932244,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['1'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0012141670935105365,-0.0012976854690752689,-0.0009851796130779513,-0.0010625382289607222,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0009310925265767014,-0.000811719587163965,-0.0007718762378275706,-0.0007413170143935184,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.0008600174626859121,-0.000793217247982252,-0.0007812295254736365,-0.0006798230299718528,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010621164375266977,-0.0008770078470757217,-0.0010181418008749319,-0.000921063668031992,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007423844449556056,-0.0008170131267361717,-0.0007233489841368319,-0.0005579534853057125,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0009281683610986401,-0.0010011245582995907,-0.000760049913355972,-0.0008349954795233546,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.0013169115724314681,-0.0012295618263873447,-0.0010441575558508855,-0.0009553647603436946,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011906120651371207,-0.0011323057704991071,-0.0009648929831066103,-0.0009902232288932244,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['2'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0012009142217571135,-0.001278560482390114,-0.0009614989386274198,-0.0010456120626041597,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0009201805946550422,-0.0007950033048428357,-0.0007582177268383177,-0.0007368779161195723,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.0008348786261450384,-0.0007840197805295919,-0.000766235447952408,-0.0006596628820952961,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010442338745317685,-0.000857305779966002,-0.001000376968095118,-0.0009126899789003322,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007344321627232167,-0.0008074886414910023,-0.0007028432943747007,-0.0005378751751142023,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0009116679172250648,-0.000988977728438115,-0.0007368451206173477,-0.0008136673129060109,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.001307385147427271,-0.0012261296926243121,-0.0010347671053853782,-0.00094392609436508,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011718210674444313,-0.001118633520003339,-0.000941780172714657,-0.000962792941292617,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['2'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0012009142217571135,-0.001278560482390114,-0.0009614989386274198,-0.0010456120626041597,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0009201805946550422,-0.0007950033048428357,-0.0007582177268383177,-0.0007368779161195723,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.0008348786261450384,-0.0007840197805295919,-0.000766235447952408,-0.0006596628820952961,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010442338745317685,-0.000857305779966002,-0.001000376968095118,-0.0009126899789003322,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007344321627232167,-0.0008074886414910023,-0.0007028432943747007,-0.0005378751751142023,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0009116679172250648,-0.000988977728438115,-0.0007368451206173477,-0.0008136673129060109,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.001307385147427271,-0.0012261296926243121,-0.0010347671053853782,-0.00094392609436508,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011718210674444313,-0.001118633520003339,-0.000941780172714657,-0.000962792941292617,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['3'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0011877277374995555,-0.0012572042829892037,-0.0009388688851515127,-0.0010273517321419854,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0009065319423920385,-0.0007777529977508233,-0.0007440876774860349,-0.0007293957011557103,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.0008104124560790522,-0.0007755786203693882,-0.000750674901621029,-0.0006403957701178999,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010255503400009092,-0.0008363160030884444,-0.0009813458552926286,-0.0009019154638979622,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007262945338185572,-0.0007963570438398514,-0.0006832086188890837,-0.0005186699855851911,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0008943330097341636,-0.000975444559844676,-0.0007171011575467924,-0.0007912645634006908,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.001295960145883081,-0.0012228474366431164,-0.0010256450733342488,-0.0009324947049405235,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011529657359978301,-0.001103539691600542,-0.000918341701427693,-0.0009365590055916807,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['3'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0011877277374995555,-0.0012572042829892037,-0.0009388688851515127,-0.0010273517321419854,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0009065319423920385,-0.0007777529977508233,-0.0007440876774860349,-0.0007293957011557103,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.0008104124560790522,-0.0007755786203693882,-0.000750674901621029,-0.0006403957701178999,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010255503400009092,-0.0008363160030884444,-0.0009813458552926286,-0.0009019154638979622,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007262945338185572,-0.0007963570438398514,-0.0006832086188890837,-0.0005186699855851911,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0008943330097341636,-0.000975444559844676,-0.0007171011575467924,-0.0007912645634006908,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.001295960145883081,-0.0012228474366431164,-0.0010256450733342488,-0.0009324947049405235,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011529657359978301,-0.001103539691600542,-0.000918341701427693,-0.0009365590055916807,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['4'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0011743277577943878,-0.0012339777779452026,-0.0009175664397681928,-0.0010075341795303444,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0008899400418437575,-0.0007598118617671582,-0.00072928902756304,-0.0007185300615151591,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.00078675948126758,-0.0007676960978265354,-0.0007344114919263722,-0.0006225401596490369,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010056309314204705,-0.0008140714225799275,-0.0009609191014090136,-0.000888346093739163,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007181874399718973,-0.0007835135627638098,-0.0006645229174296728,-0.0005008862450458946,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0008766002069570996,-0.0009605195098408906,-0.0007006603542735453,-0.0007682338945835247,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.001282802382728095,-0.0012195020141986784,-0.0010167854246150442,-0.0009212834986517222,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011341255938117083,-0.0010870417584994958,-0.0008949165625589581,-0.0009119163248266828,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['4'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0011743277577943878,-0.0012339777779452026,-0.0009175664397681928,-0.0010075341795303444,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0008899400418437575,-0.0007598118617671582,-0.00072928902756304,-0.0007185300615151591,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.00078675948126758,-0.0007676960978265354,-0.0007344114919263722,-0.0006225401596490369,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0010056309314204705,-0.0008140714225799275,-0.0009609191014090136,-0.000888346093739163,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007181874399718973,-0.0007835135627638098,-0.0006645229174296728,-0.0005008862450458946,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0008766002069570996,-0.0009605195098408906,-0.0007006603542735453,-0.0007682338945835247,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.001282802382728095,-0.0012195020141986784,-0.0010167854246150442,-0.0009212834986517222,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.0011341255938117083,-0.0010870417584994958,-0.0008949165625589581,-0.0009119163248266828,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
['5'],-0.00214557323478027,-0.001629661497206883,-0.0019901556062268413,-0.0016228354486151114,-0.0011604263103092937,-0.0012093364845081568,-0.0008977174044852591,-0.0009860633146821622,-0.001307000727722246,-0.001058862108113451,-0.0009865906813371903,-0.000982302988638097,-0.0012296472036046689,-0.001119195638546008,-0.0010393526693605927,-0.0009583637207325783,-0.0019489147252824157,-0.0013856319202493206,-0.0014295706937108427,-0.0014120708274966913,-0.0008704144927068518,-0.0007408984796070595,-0.0007135730352508115,-0.000704317436857171,-0.0009377017078983018,-0.0007526245017874925,-0.0007760609989822514,-0.0010639595535106973,-0.0009288671960302405,-0.001041566537044927,-0.0007619607810201,-0.000757186775082293,-0.0014930784434273778,-0.0011697595357947257,-0.001113359360654806,-0.001212831979654396,-0.0007639093729510093,-0.0007600944471347292,-0.0007174112220023161,-0.0006064547790272016,-0.000687213757841128,-0.0006974998140577543,-0.0006629829738810638,-0.0005763355669995338,-0.0012455745026853664,-0.0010402574009556451,-0.0011109515012957753,-0.001075030917856211,-0.0011590489920805973,-0.0010508409749986716,-0.0011238445384799058,-0.0011814046531251957,-0.0009843008925495803,-0.0007908383361766011,-0.0009390996555523276,-0.0008718508390349256,-0.000657244384451086,-0.0006671395975816701,-0.0007620213186378986,-0.0006092807663921773,-0.0007559402767616707,-0.0009123350504762899,-0.0007635786677079606,-0.0009449133217044523,-0.0014111267460520309,-0.001415057938569933,-0.0011494264109217162,-0.0011817037166284355,-0.0007101372154882187,-0.000768893534653374,-0.000646752676716781,-0.00048492925242598034,-0.0007376022414910672,-0.0006759445845671078,-0.0006097791632070916,-0.0006232727205372491,-0.0009603559763699293,-0.0011243272079548602,-0.0010812698453106,-0.0008168056502757737,-0.001622257518449232,-0.0015980742841267446,-0.001452536980695058,-0.0010645759616585363,-0.0008588499432172291,-0.0009442496744646083,-0.0006871392903053024,-0.0007450555849296082,-0.0008500893243676829,-0.0009245071388734709,-0.0008733582054019594,-0.0007860281914985961,-0.0010525719210468243,-0.000977608061921391,-0.0009793934269248707,-0.0010170521549179776,-0.0024990109598905957,-0.0021809169147501725,-0.002282249234818325,-0.0023077858412220466,-0.0012681187331298578,-0.0012158343327041325,-0.0010082334961848578,-0.0009105335642897411,-0.0010510551002177267,-0.0009260622273370589,-0.0011398949450073619,-0.0009514657618628626,-0.0013289226399799705,-0.001105691775937858,-0.0010349059710031536,-0.0011572751037432613,-0.0021837748220714446,-0.0021876497170401077,-0.0022495647307185615,-0.001847726489814052,-0.00111537019852197,-0.0010692417477664153,-0.0008718145576003037,-0.0008892000558279042,-0.0010737079824169721,-0.0010141815244465529,-0.0010113140423082343,-0.001099287040003992,-0.0016051324349501339,-0.0014879046692421352,-0.001459243215832413,-0.00141331069694754
