,70,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Label,A,B,B,C,A,C,A,B,A,A,B,B,A,C,B,A,B,C,B,A,C,C,B,B,A,B,B,A,B,A,A,C,B,C,C,C,C,B,A,C,B,A,C,A,C,C,C,B,B,B,C,A,C,C,A,B,A,B,B,A,A,B,C,C,C,B,B,B,B,C
['1+33'],26416.04,6687.587,7196.482,1488.887,11205.305,0.0,6870.915,17807.406,13674.501,27000.51,25210.639,20318.088,21289.74,0.0,0.0,4509.776,5432.361,3079.216,5845.499,5933.486,3744.164,3371.497,0.0,5594.517,12528.379,6584.758,0.0,5673.355,7048.515,6959.696,8209.726,2499.778,7558.214,3059.445,0.0,0.0,0.0,17361.481,13233.712,0.0,18089.312,15205.906,0.0,17442.662,0.0,3819.355,4197.341,38547.232,28340.775,34309.765,5524.961,0.0,14228.618,0.0,0.0,43594.713,0.0,21367.108,18222.972,15626.334,10684.2,21265.33,0.0,0.0,0.0,5537.104,19978.156,27650.721,28374.471,0.0
['1+33'],26416.04,6687.587,7196.482,1488.887,11205.305,0.0,6870.915,17807.406,13674.501,27000.51,25210.639,20318.088,21289.74,0.0,0.0,4509.776,5432.361,3079.216,5845.499,5933.486,3744.164,3371.497,0.0,5594.517,12528.379,6584.758,0.0,5673.355,7048.515,6959.696,8209.726,2499.778,7558.214,3059.445,0.0,0.0,0.0,17361.481,13233.712,0.0,18089.312,15205.906,0.0,17442.662,0.0,3819.355,4197.341,38547.232,28340.775,34309.765,5524.961,0.0,14228.618,0.0,0.0,43594.713,0.0,21367.108,18222.972,15626.334,10684.2,21265.33,0.0,0.0,0.0,5537.104,19978.156,27650.721,28374.471,0.0
['1+33'],26416.04,6687.587,7196.482,1488.887,11205.305,0.0,6870.915,17807.406,13674.501,27000.51,25210.639,20318.088,21289.74,0.0,0.0,4509.776,5432.361,3079.216,5845.499,5933.486,3744.164,3371.497,0.0,5594.517,12528.379,6584.758,0.0,5673.355,7048.515,6959.696,8209.726,2499.778,7558.214,3059.445,0.0,0.0,0.0,17361.481,13233.712,0.0,18089.312,15205.906,0.0,17442.662,0.0,3819.355,4197.341,38547.232,28340.775,34309.765,5524.961,0.0,14228.618,0.0,0.0,43594.713,0.0,21367.108,18222.972,15626.334,10684.2,21265.33,0.0,0.0,0.0,5537.104,19978.156,27650.721,28374.471,0.0
['1+33'],26416.04,6687.587,7196.482,1488.887,11205.305,0.0,6870.915,17807.406,13674.501,27000.51,25210.639,20318.088,21289.74,0.0,0.0,4509.776,5432.361,3079.216,5845.499,5933.486,3744.164,3371.497,0.0,5594.517,12528.379,6584.758,0.0,5673.355,7048.515,6959.696,8209.726,2499.778,7558.214,3059.445,0.0,0.0,0.0,17361.481,13233.712,0.0,18089.312,15205.906,0.0,17442.662,0.0,3819.355,4197.341,38547.232,28340.775,34309.765,5524.961,0.0,14228.618,0.0,0.0,43594.713,0.0,21367.108,18222.972,15626.334,10684.2,21265.33,0.0,0.0,0.0,5537.104,19978.156,27650.721,28374.471,0.0
['1+43'],0.0,838280.944,457589.84,119827.328,270669.539,107314.419,254912.601,354453.837,159667.871,234181.049,338073.181,399757.347,253185.572,144448.985,0.0,405378.405,443453.1,149442.042,473772.143,340253.04,150154.316,174635.974,427323.074,292591.471,300764.35,505627.219,0.0,228400.465,414228.067,164325.92,165010.737,81106.895,448228.731,76861.302,64938.464,54599.747,89818.837,304006.444,225856.024,0.0,341194.982,235975.52,0.0,497111.449,0.0,116488.495,126483.009,451971.355,268382.467,375572.191,111629.808,0.0,0.0,0.0,0.0,316994.277,0.0,233130.118,305571.705,159384.813,237805.151,307266.616,49348.26,29173.582,36358.929,192975.162,163809.023,372755.879,467591.77,0.0
['1+43'],0.0,838280.944,457589.84,119827.328,270669.539,107314.419,254912.601,354453.837,159667.871,234181.049,338073.181,399757.347,253185.572,144448.985,0.0,405378.405,443453.1,149442.042,473772.143,340253.04,150154.316,174635.974,427323.074,292591.471,300764.35,505627.219,0.0,228400.465,414228.067,164325.92,165010.737,81106.895,448228.731,76861.302,64938.464,54599.747,89818.837,304006.444,225856.024,0.0,341194.982,235975.52,0.0,497111.449,0.0,116488.495,126483.009,451971.355,268382.467,375572.191,111629.808,0.0,0.0,0.0,0.0,316994.277,0.0,233130.118,305571.705,159384.813,237805.151,307266.616,49348.26,29173.582,36358.929,192975.162,163809.023,372755.879,467591.77,0.0
['1+43'],0.0,838280.944,457589.84,119827.328,270669.539,107314.419,254912.601,354453.837,159667.871,234181.049,338073.181,399757.347,253185.572,144448.985,0.0,405378.405,443453.1,149442.042,473772.143,340253.04,150154.316,174635.974,427323.074,292591.471,300764.35,505627.219,0.0,228400.465,414228.067,164325.92,165010.737,81106.895,448228.731,76861.302,64938.464,54599.747,89818.837,304006.444,225856.024,0.0,341194.982,235975.52,0.0,497111.449,0.0,116488.495,126483.009,451971.355,268382.467,375572.191,111629.808,0.0,0.0,0.0,0.0,316994.277,0.0,233130.118,305571.705,159384.813,237805.151,307266.616,49348.26,29173.582,36358.929,192975.162,163809.023,372755.879,467591.77,0.0
['1+43'],0.0,838280.944,457589.84,119827.328,270669.539,107314.419,254912.601,354453.837,159667.871,234181.049,338073.181,399757.347,253185.572,144448.985,0.0,405378.405,443453.1,149442.042,473772.143,340253.04,150154.316,174635.974,427323.074,292591.471,300764.35,505627.219,0.0,228400.465,414228.067,164325.92,165010.737,81106.895,448228.731,76861.302,64938.464,54599.747,89818.837,304006.444,225856.024,0.0,341194.982,235975.52,0.0,497111.449,0.0,116488.495,126483.009,451971.355,268382.467,375572.191,111629.808,0.0,0.0,0.0,0.0,316994.277,0.0,233130.118,305571.705,159384.813,237805.151,307266.616,49348.26,29173.582,36358.929,192975.162,163809.023,372755.879,467591.77,0.0
