,12,2,63,33,126,15,37,120,102,94,87,66,19,20,123,116,54,45,79,119,82,1,22,27,44,92,86,84,65,101,122,105,110,52,89,78,50,8,51,35,125,21,83,40,32,93,31,75,104,34,118,74,121,39,6,109,14,29,56,90,53,60,71,127
Label,OO,CAN     ,SUN,CAN     ,SUN,SUN,OO,OO,OO,SUN,OO,CAN     ,CAN     ,CAN     ,OO,CAN     ,OO,SUN,SUN,OO,CAN     ,CAN     ,OO,OO,OO,OO,OO,CAN     ,CAN     ,OO,OO,OO,SUN,CAN     ,OO,SUN,CAN     ,OO,CAN     ,CAN     ,SUN,OO,CAN     ,OO,SUN,SUN,SUN,OO,OO,CAN     ,OO,OO,OO,OO,OO,SUN,SUN,SUN,OO,OO,OO,OO,OO,SUN
['180'],1.068870091,0.943092042,1.103004382,0.865866185,0.901397374,0.613619067,1.517515619,1.328215735,1.281125034,1.103345793,1.359532254,1.032039642,0.987509624,1.015024374,1.28361549,0.966319685,1.414015268,0.817941364,1.017654094,1.351770936,0.988153012,0.949766529,1.355824161,1.426187737,1.442527279,1.3542989,1.392047296,0.991668957,0.967887283,1.294117957,1.317487052,1.231352716,0.944136301,1.006295513,1.444514833,1.022717694,0.983979776,1.315393251,0.985658917,0.831225013,0.912727422,1.367982139,0.994170574,1.445322089,1.288760635,1.19335904,1.281615915,1.49603251,1.273035415,0.857674808,1.348839176,1.548864749,1.356098153,1.458545109,1.302481838,0.95556116,0.613797257,1.258168824,1.383921122,1.398082095,1.441676205,1.390035424,1.486189354,0.866090637
['180'],1.068870091,0.943092042,1.103004382,0.865866185,0.901397374,0.613619067,1.517515619,1.328215735,1.281125034,1.103345793,1.359532254,1.032039642,0.987509624,1.015024374,1.28361549,0.966319685,1.414015268,0.817941364,1.017654094,1.351770936,0.988153012,0.949766529,1.355824161,1.426187737,1.442527279,1.3542989,1.392047296,0.991668957,0.967887283,1.294117957,1.317487052,1.231352716,0.944136301,1.006295513,1.444514833,1.022717694,0.983979776,1.315393251,0.985658917,0.831225013,0.912727422,1.367982139,0.994170574,1.445322089,1.288760635,1.19335904,1.281615915,1.49603251,1.273035415,0.857674808,1.348839176,1.548864749,1.356098153,1.458545109,1.302481838,0.95556116,0.613797257,1.258168824,1.383921122,1.398082095,1.441676205,1.390035424,1.486189354,0.866090637
['181'],1.084355006,0.989448334,1.103803752,0.880976401,0.906356102,0.622040367,1.547056323,1.363742245,1.294773208,1.10674998,1.389663416,1.073685378,1.040362671,1.061353172,1.304702074,1.00055909,1.444327931,0.823189838,1.021648715,1.389199358,1.020978019,0.998214253,1.423098177,1.48448348,1.447653826,1.361269137,1.423536183,1.021489523,1.0105878,1.306836539,1.340680809,1.235762894,0.952615787,1.037998094,1.456799405,1.026515249,1.019729402,1.365509934,1.019045723,0.841174325,0.91716348,1.435837227,1.022353314,1.463374382,1.340992479,1.202644078,1.335309729,1.518095358,1.284316096,0.868546552,1.385969178,1.576300141,1.382991656,1.479612103,1.357395799,0.963787465,0.621441207,1.304429869,1.410286194,1.407423835,1.477147956,1.400711121,1.531027736,0.869582464
['181'],1.084355006,0.989448334,1.103803752,0.880976401,0.906356102,0.622040367,1.547056323,1.363742245,1.294773208,1.10674998,1.389663416,1.073685378,1.040362671,1.061353172,1.304702074,1.00055909,1.444327931,0.823189838,1.021648715,1.389199358,1.020978019,0.998214253,1.423098177,1.48448348,1.447653826,1.361269137,1.423536183,1.021489523,1.0105878,1.306836539,1.340680809,1.235762894,0.952615787,1.037998094,1.456799405,1.026515249,1.019729402,1.365509934,1.019045723,0.841174325,0.91716348,1.435837227,1.022353314,1.463374382,1.340992479,1.202644078,1.335309729,1.518095358,1.284316096,0.868546552,1.385969178,1.576300141,1.382991656,1.479612103,1.357395799,0.963787465,0.621441207,1.304429869,1.410286194,1.407423835,1.477147956,1.400711121,1.531027736,0.869582464
['182'],1.100374418,1.034462084,1.103805557,0.894341984,0.911148905,0.630857431,1.572417458,1.397075334,1.306909306,1.109545461,1.415785109,1.11317992,1.09138173,1.104974113,1.324917468,1.032143113,1.471010125,0.828600024,1.025608215,1.424289714,1.051460458,1.045662384,1.490597608,1.541767652,1.451789115,1.366807539,1.45061176,1.048555158,1.05301478,1.317700704,1.362749065,1.239508781,0.961446251,1.0672646,1.466358698,1.030120934,1.053911603,1.414324561,1.050609764,0.849648997,0.921316444,1.503526617,1.047953757,1.478851778,1.392257149,1.20976886,1.388056099,1.537937783,1.294218098,0.877955366,1.420774829,1.601651834,1.408364186,1.497187857,1.411277337,0.972493571,0.629180746,1.34945652,1.433469764,1.41472479,1.508254398,1.410506673,1.572569104,0.873373647
['182'],1.100374418,1.034462084,1.103805557,0.894341984,0.911148905,0.630857431,1.572417458,1.397075334,1.306909306,1.109545461,1.415785109,1.11317992,1.09138173,1.104974113,1.324917468,1.032143113,1.471010125,0.828600024,1.025608215,1.424289714,1.051460458,1.045662384,1.490597608,1.541767652,1.451789115,1.366807539,1.45061176,1.048555158,1.05301478,1.317700704,1.362749065,1.239508781,0.961446251,1.0672646,1.466358698,1.030120934,1.053911603,1.414324561,1.050609764,0.849648997,0.921316444,1.503526617,1.047953757,1.478851778,1.392257149,1.20976886,1.388056099,1.537937783,1.294218098,0.877955366,1.420774829,1.601651834,1.408364186,1.497187857,1.411277337,0.972493571,0.629180746,1.34945652,1.433469764,1.41472479,1.508254398,1.410506673,1.572569104,0.873373647
['183'],1.117005161,1.077339341,1.103075483,0.905952597,0.915893099,0.639965353,1.59362448,1.427989066,1.317618849,1.111864103,1.437610588,1.150011185,1.13941564,1.144996957,1.344301763,1.060581189,1.494031532,0.834115527,1.029664104,1.456768273,1.079149027,1.091326485,1.557191224,1.597416693,1.455065891,1.37113,1.472955768,1.072525417,1.094516986,1.326870907,1.383702516,1.242703537,0.970641807,1.093838664,1.473504177,1.033609036,1.086291233,1.461256518,1.08003673,0.856766244,0.925340685,1.569960204,1.070699549,1.491874615,1.441926112,1.214967667,1.439188781,1.555800422,1.302893921,0.886002263,1.452980101,1.624875035,1.432135419,1.511483827,1.463415317,0.981704269,0.636974234,1.392775414,1.453405273,1.420312624,1.534845349,1.419527191,1.610567487,0.877542753
['183'],1.117005161,1.077339341,1.103075483,0.905952597,0.915893099,0.639965353,1.59362448,1.427989066,1.317618849,1.111864103,1.437610588,1.150011185,1.13941564,1.144996957,1.344301763,1.060581189,1.494031532,0.834115527,1.029664104,1.456768273,1.079149027,1.091326485,1.557191224,1.597416693,1.455065891,1.37113,1.472955768,1.072525417,1.094516986,1.326870907,1.383702516,1.242703537,0.970641807,1.093838664,1.473504177,1.033609036,1.086291233,1.461256518,1.08003673,0.856766244,0.925340685,1.569960204,1.070699549,1.491874615,1.441926112,1.214967667,1.439188781,1.555800422,1.302893921,0.886002263,1.452980101,1.624875035,1.432135419,1.511483827,1.463415317,0.981704269,0.636974234,1.392775414,1.453405273,1.420312624,1.534845349,1.419527191,1.610567487,0.877542753
