,47,54,55,67,63,36,53,40,34,31,51,18,59,64,39,49,43,65,21,70,26,12,68,8
Label,B,A,B,B,C,C,C,B,C,C,A,B,A,C,C,B,A,B,C,A,B,A,B,A
['1+19'],1494913.72,10439.819,1992037.76,497619.834,7280.068,497004.937,15649.726,1150463.08,477075.827,454100.885,19315.0,733914.817,1423202.38,0.0,394749.317,1584169.68,958508.231,0.0,492722.979,795298.205,0.0,956887.107,548228.387,933537.838
['1+19'],1494913.72,10439.819,1992037.76,497619.834,7280.068,497004.937,15649.726,1150463.08,477075.827,454100.885,19315.0,733914.817,1423202.38,0.0,394749.317,1584169.68,958508.231,0.0,492722.979,795298.205,0.0,956887.107,548228.387,933537.838
['1+64'],54005.308,81672.294,36703.752,32450.934,37549.331,7464.284,73616.77,39671.613,13151.647,8278.294,0.0,25564.714,64883.501,29829.297,12951.574,51652.239,35944.368,29744.311,20879.4,25419.432,0.0,37668.307,23705.216,41863.008
['1+64'],54005.308,81672.294,36703.752,32450.934,37549.331,7464.284,73616.77,39671.613,13151.647,8278.294,0.0,25564.714,64883.501,29829.297,12951.574,51652.239,35944.368,29744.311,20879.4,25419.432,0.0,37668.307,23705.216,41863.008
['1+96'],1070165.05,1853888.55,1414119.41,807194.949,1150633.17,370243.004,78482.567,820996.423,357741.351,357330.791,0.0,955851.545,1748931.4,918660.518,388802.915,1101588.58,851856.796,773725.661,693537.755,827159.683,0.0,934852.632,728981.662,1105010.54
['1+96'],1070165.05,1853888.55,1414119.41,807194.949,1150633.17,370243.004,78482.567,820996.423,357741.351,357330.791,0.0,955851.545,1748931.4,918660.518,388802.915,1101588.58,851856.796,773725.661,693537.755,827159.683,0.0,934852.632,728981.662,1105010.54
['1+135'],354676.432,309245.841,180490.955,203744.653,368840.695,251732.352,850681.045,252230.099,266247.95,274451.675,0.0,551986.442,452943.392,332256.349,189508.224,362425.021,364502.17,190415.785,507732.402,215588.44,0.0,404148.508,201991.308,483872.199
['1+135'],354676.432,309245.841,180490.955,203744.653,368840.695,251732.352,850681.045,252230.099,266247.95,274451.675,0.0,551986.442,452943.392,332256.349,189508.224,362425.021,364502.17,190415.785,507732.402,215588.44,0.0,404148.508,201991.308,483872.199
['1+165'],675034.937,1088342.05,839614.647,537308.198,791386.331,269026.025,1664704.35,494124.157,261541.705,146643.68,0.0,593797.149,1169741.22,523604.41,293243.658,670465.189,541617.724,480744.312,486099.734,495294.083,0.0,564800.434,440410.74,647744.737
['1+165'],675034.937,1088342.05,839614.647,537308.198,791386.331,269026.025,1664704.35,494124.157,261541.705,146643.68,0.0,593797.149,1169741.22,523604.41,293243.658,670465.189,541617.724,480744.312,486099.734,495294.083,0.0,564800.434,440410.74,647744.737
['1+166'],60993.163,0.0,67743.405,0.0,0.0,0.0,0.0,73429.785,0.0,0.0,18802.683,73440.141,10927.82,0.0,0.0,54914.528,79398.183,64943.181,0.0,56636.482,0.0,24756.415,75845.349,36342.834
['1+166'],60993.163,0.0,67743.405,0.0,0.0,0.0,0.0,73429.785,0.0,0.0,18802.683,73440.141,10927.82,0.0,0.0,54914.528,79398.183,64943.181,0.0,56636.482,0.0,24756.415,75845.349,36342.834
['1+175'],0.0,8873.231,14263.872,9861.448,0.0,4228.938,0.0,9483.167,2194.867,0.0,0.0,5418.962,0.0,0.0,3752.895,13078.841,0.0,6726.693,4234.869,9693.033,0.0,13491.632,0.0,2462.532
['1+175'],0.0,8873.231,14263.872,9861.448,0.0,4228.938,0.0,9483.167,2194.867,0.0,0.0,5418.962,0.0,0.0,3752.895,13078.841,0.0,6726.693,4234.869,9693.033,0.0,13491.632,0.0,2462.532
['1+207'],268277.888,0.0,299311.989,346139.317,0.0,0.0,0.0,289940.589,0.0,0.0,0.0,413537.59,234648.835,0.0,0.0,225628.989,216490.898,248806.836,0.0,426780.315,0.0,0.0,480202.31,0.0
['1+207'],268277.888,0.0,299311.989,346139.317,0.0,0.0,0.0,289940.589,0.0,0.0,0.0,413537.59,234648.835,0.0,0.0,225628.989,216490.898,248806.836,0.0,426780.315,0.0,0.0,480202.31,0.0
['1+243'],16940.786,42666.586,22512.203,13065.984,14446.864,13823.191,29297.686,18407.798,14266.415,6996.189,59456.859,17805.847,16261.143,12749.822,13943.676,16067.786,17199.284,15974.033,27108.926,19292.422,16218.795,21334.513,19934.363,20736.923
['1+243'],16940.786,42666.586,22512.203,13065.984,14446.864,13823.191,29297.686,18407.798,14266.415,6996.189,59456.859,17805.847,16261.143,12749.822,13943.676,16067.786,17199.284,15974.033,27108.926,19292.422,16218.795,21334.513,19934.363,20736.923
['1+245'],98917.76,156043.09,0.0,0.0,149414.375,0.0,124066.209,135835.419,138336.42,119177.293,0.0,241170.942,151625.82,105714.701,0.0,135244.006,0.0,129010.756,240624.161,179330.246,532388.928,218110.138,206224.287,0.0
['1+245'],98917.76,156043.09,0.0,0.0,149414.375,0.0,124066.209,135835.419,138336.42,119177.293,0.0,241170.942,151625.82,105714.701,0.0,135244.006,0.0,129010.756,240624.161,179330.246,532388.928,218110.138,206224.287,0.0
['1+254'],208806.344,353456.792,253409.341,103684.579,121353.46,71776.994,289521.246,133173.088,88223.604,74590.089,0.0,173670.773,210889.17,94950.768,75357.564,182104.594,124006.597,106702.929,170785.179,102914.441,99827.979,71864.157,93617.581,102714.941
['1+254'],208806.344,353456.792,253409.341,103684.579,121353.46,71776.994,289521.246,133173.088,88223.604,74590.089,0.0,173670.773,210889.17,94950.768,75357.564,182104.594,124006.597,106702.929,170785.179,102914.441,99827.979,71864.157,93617.581,102714.941
['1+260'],2056303.78,10105406.6,2741901.23,1065086.02,829416.928,800467.458,5297412.75,1319400.36,912297.479,574371.272,0.0,788134.752,1860142.86,622406.918,606932.871,1554972.4,621326.239,1053652.42,757702.903,2677227.74,763660.314,1116111.85,1923145.39,528955.505
['1+260'],2056303.78,10105406.6,2741901.23,1065086.02,829416.928,800467.458,5297412.75,1319400.36,912297.479,574371.272,0.0,788134.752,1860142.86,622406.918,606932.871,1554972.4,621326.239,1053652.42,757702.903,2677227.74,763660.314,1116111.85,1923145.39,528955.505
['1+278'],0.0,0.0,0.0,39816.167,0.0,140624.681,0.0,0.0,151556.779,121738.669,0.0,0.0,79309.895,39826.082,57128.44,0.0,0.0,49543.537,195109.557,0.0,0.0,110456.364,66196.99,0.0
['1+278'],0.0,0.0,0.0,39816.167,0.0,140624.681,0.0,0.0,151556.779,121738.669,0.0,0.0,79309.895,39826.082,57128.44,0.0,0.0,49543.537,195109.557,0.0,0.0,110456.364,66196.99,0.0
