,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
100.9298@637.15,114892.10734,109580.84645,193269.23225,89599.51187,64170.33598,280997.24798,217604.57494,278709.40506,113452.62877,287999.55616,97791.29904,151023.20091,284827.69008,93316.41048,295637.51165,134385.32738,119146.34968,287323.52012,138987.44228,237514.35373,281038.84053,303691.54705,229871.34702,316142.78693,276431.62772,55936.59866,67910.43758,296781.6629,277639.69432
101.9273@636.52,191563.70942,327977.77429,11284.35295,231185.08877,275189.96268,15442.13062,312097.35372,15024.30151,263978.9186,14813.0132,259506.17852,284155.93601,14445.52362,171747.252,435303.99375,425846.79877,268912.23342,16488.1076,293260.47326,12337.13276,14435.64942,420850.00995,11243.82425,17412.08726,439284.71074,174481.27096,190117.81425,14642.57996,15903.21628
102.9743@635.73,38126.35293,29409.72202,58917.01565,37799.92061,34424.75365,55318.69988,39721.57648,105533.40519,30479.73726,158087.42416,37366.34349,44720.72268,16100.32398,39854.99818,201058.88347,40582.95655,34592.21381,149598.99276,37737.87209,80979.32947,105171.62068,136378.00363,18910.06009,133848.51193,189886.33046,14042.62807,14897.78242,128490.32881,101478.34676
109.9332@609.05,462218.25356,439130.24818,853449.1759,329300.29714,202700.83541,1471741.03899,896818.33594,735959.8331,493142.6045,1384085.40681,360730.88866,653457.2204,690656.53898,330903.24653,602850.50118,527880.12502,906027.52287,1268256.12079,214014.76461,612623.19056,429854.25963,1359548.21407,530597.5808,590306.40463,1705054.46997,153432.98253,238887.60165,719601.98782,984452.22419
111.9365@636.84,85474.31216,80172.08491,67407.862,86439.43192,69925.08028,50936.85277,67073.14532,59155.2932,76820.80886,58276.9107,87498.39546,67380.92755,58006.79532,89636.55884,57178.47167,74093.41996,73963.10695,56250.12879,72801.75701,66484.00444,59459.86582,58006.94888,67013.38651,59281.46452,57129.99992,58894.59347,78472.30002,60382.03922,60067.36842
112.9375@28.1,72864.26999,71992.23329,51648.77509,70336.63278,11721.70112,7471.599,60695.77869,16922.92759,14468.16556,5484.48631,36992.85827,17267.35886,63981.53626,9469.08529,30623.09769,70865.75859,54723.11366,888.56329,38960.17869,30765.04217,169995.62712,3095.57729,36474.49426,80557.18468,63782.16277,12201.21138,25273.85418,164849.84759,1482.28319
112.9535@634.39,60489.54769,62281.84528,68214.14666,57023.75662,50892.19548,29458.88068,64971.01472,71368.41326,57640.94654,76426.0471,28513.53355,26687.05551,71149.98632,54416.17277,26244.31954,63963.45491,60671.94192,27892.26428,61585.61707,22253.90766,70672.33085,29805.34553,71809.77217,16552.63839,29425.72535,41978.68837,54383.45981,28258.72599,72052.66714
114.9364@636.17,6942914.33449,5788179.00205,6255833.70452,6896174.29273,7054944.43634,2663905.76219,5811718.82155,5586110.86929,6815947.48238,3923476.92917,6974066.27611,5787214.69614,3259077.91088,6824970.60956,4030548.70768,6784569.82861,6968493.50278,4694058.00757,6888733.24831,6121932.87646,6309853.41469,4886126.7292,6014696.3891,4178676.79959,3934422.93034,12317004.03299,6758557.08094,3125245.94217,5359413.20812
115.0431@637.21,13632.06471,12822.04512,18496.75289,11495.47222,9994.8318,18257.61414,13309.79124,15475.6636,11879.96845,16954.39921,13914.27887,13911.92317,18618.50793,8670.3997,17088.13512,13435.21943,15664.67221,18668.41419,13673.5672,16342.6493,16954.12007,16564.29415,19163.80545,16070.34771,16129.08873,7838.72717,8517.1273,17825.03642,9710.17365
115.9197@608.14,559010.667,1572780.14066,397470.39465,594603.63297,1065594.95155,794518.3929,691760.70071,1445783.17484,68464.85145,1153604.68707,692623.75273,316241.87818,1694543.81438,553691.81229,1205328.04977,767144.74299,324179.45927,2280043.08809,596120.74984,1268821.07897,2537183.41265,393307.29258,1428624.50594,153550.71341,3142299.11904,337292.14166,519124.23869,2673689.41707,1235183.8794
