,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
618.2355@154.93,62890.11226,174968.77243,84417.15353,237998.64504,16035.938,113919.37294,164487.20572,71132.79698,143735.17852,54584.69475,47927.42833,187371.24996,204277.41564,131817.86002,105942.06426,59415.68474,151680.10651,152650.19248,33204.23848,75949.78337,113828.50738,19718.2883,183014.77918,152448.0565,175511.99325,83830.86215,70351.679,67891.78049,29733.93282
337.2358@479.5,2352160.34858,2710200.03361,2400323.24945,1971235.96813,2353157.83367,1890239.94678,2263391.62376,1810299.35819,2005776.83833,1659998.26044,1665934.4994,2135195.48477,2128309.1828,2030364.52563,1592907.13603,2121742.29475,2419401.7605,2373823.81799,2156974.07644,2239095.23594,1930069.63384,1246354.26798,2525469.98504,2553403.37302,1646321.13139,1856293.79433,2136251.90054,2390546.61695,1712942.16391
588.5098@479.38,1244034.41261,1847856.58206,1080150.67821,1099679.942,1680724.1769,579791.07109,1261124.122,683739.24967,1012524.05285,558523.3755,674002.8794,1169655.65425,963732.32225,1046221.27926,553967.25439,967425.76351,1551205.09306,1114834.92771,1079847.60965,1196177.51685,899057.91397,380908.85363,1571284.05197,1221886.06243,524093.01537,1076128.75149,1317381.38617,1047542.95729,665296.97684
802.846@507.08,1883.65387,313496.04655,4507.58681,114977.73647,422371.21943,143514.59777,1069226.29714,1228173.51137,569555.85089,1505289.00714,586038.36358,911078.31232,638621.41495,153716.21557,815215.97933,981218.87487,130719.04111,27209.43523,1699.00994,479157.29097,627477.23839,1329542.44174,1292831.52517,4396.98016,3117.78347,411111.59191,672330.46354,683926.76388,1081508.86228
241.1447@229.53,358946.81114,363309.97864,402194.1787,315287.64901,246745.77374,337253.83059,443013.60417,386450.39877,328379.3398,365104.55701,279790.80607,421500.32047,431511.47466,296043.02047,304405.85755,341527.65526,410406.7398,402978.13018,368777.59084,368240.7093,441315.9601,273498.63461,473149.97662,414967.34057,435807.72514,239455.32487,252467.87164,443844.01172,318033.91251
928.7883@488.27,137601.485,207822.68247,99846.03817,126901.57258,210763.94885,40383.31751,133101.53256,56803.22694,93186.79757,45340.91493,61174.83747,121965.96762,85794.29863,113481.32276,50257.22846,111936.59343,190711.22667,131898.01389,114665.39938,134294.976,95400.60539,24526.17723,155524.03676,118599.48818,41645.3264,122507.64992,142362.00988,96714.91681,50696.66565
259.2424@438.69,14751.32277,26220.91848,20453.08211,12959.19089,30962.58063,8435.60999,15775.12671,12341.32516,13092.92308,3687.91047,7066.46796,12146.0026,17121.72869,11249.23391,8201.038,9595.72272,23613.82176,22067.20102,16521.78194,12662.58424,17801.61591,1252.01474,20988.9736,18694.01498,7980.74013,7201.52311,11584.99625,15647.35012,4001.60483
400.2534@480.95,13549.21687,22626.72421,11853.07392,9488.71992,17571.96913,9536.27545,12478.35693,10299.6375,10709.67263,9875.56483,9702.64173,12072.39287,9741.62916,11612.50366,6670.12806,9213.89495,10610.12932,14995.6866,12797.45784,14270.95063,9906.55236,7461.28066,14272.47898,13752.60532,9149.27456,6439.10129,4491.64917,6950.11746,8273.74213
164.071@127.85,328605.72026,272846.6301,349194.20284,355093.62707,361169.75293,211303.76679,349113.57308,288894.03179,188557.8966,87853.96824,195734.19846,201083.14289,304131.02335,349464.27389,306504.12204,245658.33415,317921.6898,325237.89568,234017.10034,182743.61592,371026.49824,38590.34235,312543.37193,296058.60968,265095.95264,322933.52214,241191.34811,318767.16057,81392.12713
251.2008@393.71,45714.47006,127281.16343,45066.18911,47145.99534,89690.01939,8375.80634,89320.75432,25418.46947,25072.41571,9537.70914,5872.79501,52971.9737,31965.39695,27141.52566,14572.93222,31091.00769,96411.20959,85653.56819,42153.21419,58410.59058,35845.24113,2464.00762,108187.45862,68116.42664,18238.86493,17793.51295,56973.94669,57471.64062,15584.87934
296.2279@479.12,155101.60671,185120.88906,162550.32687,127811.54964,160809.95482,123275.36407,161379.24019,120203.1973,137182.81667,109153.76015,106854.5235,143846.3281,145896.02295,133169.6303,109043.97056,136102.1251,166700.67735,164931.3934,149685.17934,152743.49311,135912.81889,84597.00257,175682.16617,177218.28379,106134.31722,117782.15816,144596.23887,163959.67935,114874.74488
