,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
279.2238@411.9,28559.71872,88243.81094,31531.53079,36019.08655,92178.85924,4754.6067,98069.33882,17310.50727,16689.27998,6960.38981,4766.38828,37988.6867,35970.97647,23652.82304,14341.52597,22858.28879,55888.0784,57050.25861,40784.72454,37162.0851,33886.39314,243.38659,221988.09526,66898.69631,11702.88688,10317.40492,61096.79289,54322.36894,8423.96469
727.6058@488.51,133819.66732,203545.4382,116086.13356,126278.83676,195826.15069,54179.16633,153979.41755,90626.59873,109561.49617,54537.99962,69692.13413,141302.47883,115872.28264,136593.66989,64801.88819,131507.63724,207786.45206,147336.81748,110350.58299,159374.92767,127421.4161,28982.51122,176469.19897,129474.32924,44104.43443,116546.26939,152613.64607,127847.1293,71047.79949
282.2432@446.93,48743.25757,147969.57181,42248.59848,43551.94728,123747.50962,21849.61803,103462.63541,23880.73673,34698.20877,15274.64292,15511.27805,59587.16555,49680.48524,41481.15061,24432.73263,38641.18711,85230.26383,89007.83873,52615.50994,66705.56769,55594.92054,2660.33765,97271.85002,89685.95957,22772.71739,41886.66653,66921.63564,65010.09566,18877.59113
336.2978@537.42,7057.54215,22891.33198,5999.54858,11592.26197,17501.6723,1603.26992,11267.17218,3224.01431,4698.883,1049.13044,1770.76963,5506.88633,4657.68282,4892.22992,3352.24127,4458.83332,7669.7851,7332.76881,3714.30054,12351.2701,7019.18441,485.50444,10404.67393,10228.02845,2977.76708,5118.34598,7384.64176,6065.54081,1836.31998
265.253@530.67,13132.16244,19337.24053,13817.19737,13808.64668,16452.44077,6045.78916,12385.27119,6477.84082,10796.22942,5454.96459,7584.83866,9501.86196,13461.91664,11662.32837,11379.66328,10402.13757,17444.01224,11970.66967,11314.78169,16411.33007,14041.65149,4327.7893,15972.18334,15028.33376,6295.52023,7845.21388,13031.32195,9437.09225,5907.6564
334.7965@645.09,14439.72845,15269.04413,14635.78563,14026.72881,17061.78661,12284.96002,13693.65612,14977.73903,13993.6044,14339.88619,13651.85477,14910.0365,11908.65019,15734.93508,15926.77587,2648.41367,14418.2566,11921.39794,15549.5771,14964.85793,14137.74749,1391.63245,14572.68395,14128.04617,14883.62345,19461.4253,15423.48147,13751.88168,14458.36412
698.5555@524.34,16251.33571,12759.3623,15929.05922,6207.80287,5659.05227,1229.88635,16791.55311,43208.73973,16125.60996,28831.68386,11002.92855,6747.21797,37131.16811,6308.27533,61202.12564,20411.73223,13654.10375,31946.81344,21269.22835,7716.23042,22898.90793,45014.60867,28355.13408,24104.54585,32280.49639,6906.41833,557.45463,7326.00062,35416.49643
229.2071@415.28,22001.08578,31847.85406,25393.52624,11953.80741,38792.85913,8772.01628,33122.8864,11774.05754,11900.25419,6800.19732,8408.83382,20084.64308,21094.84449,16529.85087,10705.12611,16818.43781,104075.04612,44361.89821,25991.54104,25665.3157,18383.31495,7138.226,43697.45954,29800.62471,9154.37466,17151.08567,30178.24245,25204.28481,15206.25391
970.6368@509.44,4017.64529,78340.50779,14751.91142,46311.64896,56932.07421,85948.43572,106590.17431,112591.86261,63110.57092,160463.54659,95430.43082,115212.21575,91380.65907,55782.96518,129235.08066,124317.33719,41612.71009,33488.463,5465.49618,99261.47912,104181.34451,156001.44633,123757.2531,11583.1626,11328.56952,11125.49441,86292.696,106952.78067,130764.92515
601.4417@478.94,276243.3794,442012.30121,288368.18126,164059.57861,296028.56552,127217.8113,269032.57209,124106.97445,160962.535,103419.29359,70448.84189,186307.72616,187166.04611,155638.50764,87572.23429,178507.16323,289221.71443,341978.60152,219348.7052,248624.463,149528.46596,30038.93512,326890.12787,364129.50151,98778.80643,124375.92007,212959.11346,281909.20061,94942.99745
653.4724@488.03,306099.15011,585741.32198,302030.30836,236842.51705,330958.1407,160969.84053,304734.82685,143014.01716,179367.17068,147013.71532,92793.03753,223652.6885,169643.55,221872.40556,102601.30208,231229.87677,344072.11322,369220.50065,208175.05556,256607.62522,190601.93024,23250.23783,365132.33093,354401.24578,103407.83058,184777.08128,233310.24761,302119.32968,100740.84174
873.5879@519.59,22522.06284,42815.42448,81532.88602,23384.82302,25971.1634,44322.76786,34632.70367,74584.18792,16283.0123,152210.63118,43821.19626,12599.04969,95781.39722,26818.99567,238112.55521,80602.37392,21017.728,100384.82432,19032.09485,49590.34401,60009.54506,186055.25057,38126.89345,46536.4783,23218.06646,15810.70776,18981.72808,93226.00881,42137.00914
348.2227@446.92,31770.05329,111813.23426,28885.46651,30507.80176,90175.9606,8853.34717,78032.43737,13098.77531,21279.28618,8773.10024,6331.59767,42608.6105,34576.33522,26102.53915,13811.78958,25323.44409,52685.35232,63416.82886,33235.41984,44445.71725,36091.15057,1569.17901,76732.55108,66053.43118,13556.08097,23689.44459,42511.80328,49784.1521,10209.19818
617.7338@642.37,14216.6151,24517.78637,15269.3904,30661.12709,4885.32727,19991.03389,22996.15947,15548.12123,23677.72483,16684.15458,8597.78829,25464.5405,25918.15945,22248.10642,25180.79063,11555.70589,23160.90846,25313.14969,10142.45516,17409.33914,18830.82893,10411.39799,25751.93168,23057.61811,27516.74366,15221.19099,11969.19994,16684.77889,12429.91533
517.4802@479,142966.38714,276591.35755,141173.89477,77417.64273,192358.05361,48617.62937,173409.27752,56534.46316,79280.27332,41725.12942,29844.40132,123987.01742,112308.82665,73402.15271,49247.89008,89916.71808,212775.5286,194354.19342,118976.52529,158583.83027,94295.47982,13618.92921,235812.80669,224879.82732,44833.39091,56253.47565,119828.09653,156760.25794,47048.17155
215.1281@156.3,15680.8665,17955.4027,17386.52226,17515.67987,16960.15503,17624.40533,18044.90771,16618.31697,15582.74269,16723.06486,17389.78572,14906.03703,16966.82642,20063.1592,16711.40461,15237.83686,18281.62409,108755.55931,17218.9946,17076.73668,17311.03284,16031.59224,20658.18459,17150.10885,17009.12,17494.99645,16693.18273,17185.16153,16967.71921
286.2727@530.79,40992.3921,67594.99117,49343.92403,41423.95636,58918.70221,25920.17259,46107.81415,25287.25983,42142.98853,24689.89043,27345.89512,37329.11577,45280.7417,47240.92322,45255.71167,36714.62907,67533.31418,46597.26549,45421.21487,59153.06918,47586.60295,13839.02052,60178.70676,57606.4102,25818.69944,34029.93012,45289.59392,38443.53444,22979.87591
654.4754@488.03,110456.10404,212159.97206,107661.95767,79313.85603,116596.38243,55552.42798,107772.62947,49320.89984,61973.18999,50994.3115,30735.71377,74745.56209,56421.37618,76304.65362,34700.81685,79252.28961,118767.84721,132014.37639,74154.35225,87924.73891,64123.72895,4860.28578,129619.7898,122026.00945,37220.859,63360.64792,78247.68361,107920.84925,32787.41213
516.4791@478.81,10386.48171,19894.97089,9736.97541,4920.67676,14836.01737,3185.8111,12204.61228,3809.31398,5128.89324,2013.38171,1407.16865,8748.75355,6855.56888,4874.43968,2668.17649,5841.48723,15269.79925,13475.26539,7162.20232,10741.35306,6224.71026,390.31541,16883.5924,15954.67017,2588.75839,3828.33488,8106.12329,11239.93491,3314.72926
283.2565@488.24,6462214.08866,9416875.99504,6039149.55616,5722299.88003,8151725.5506,3073439.78546,7718182.74705,3988606.29649,4969909.00988,3794456.40016,3422446.32321,6407834.4137,4847481.40124,5312641.60085,4208969.85779,4853308.55999,8794884.14773,8301793.6224,874737.65653,7274863.20267,6029119.896,1222012.17793,8603462.78773,7537262.68109,1087655.03795,3905860.19352,5846093.57646,6397138.74824,2825753.17464
618.2344@642.42,10274.49883,17614.56793,11581.5975,22901.90709,3266.17939,14786.59056,16925.42897,10564.18245,17013.73983,12022.80625,8186.63278,19924.78556,18355.69735,15251.9151,18147.08532,8926.3258,15971.35898,14401.95278,5885.58086,11938.12401,11981.08317,7724.3681,18401.98056,16595.84921,18764.02648,10467.20326,9615.91075,10339.34557,7134.9168
309.2708@497.09,103422.59998,355342.49709,98776.04937,128428.00445,211619.37442,35236.19172,185866.20685,63204.83841,72069.68295,34343.00933,27670.75621,120836.63375,80540.02673,75281.14792,49642.59636,73961.46435,143390.48091,156036.50991,91458.79934,152642.43161,106147.83136,7149.95674,164233.7955,179057.28926,44029.71076,45987.7065,99080.84348,133737.94158,41968.22675
357.2264@478.81,6195.97682,7121.99118,7667.96452,5474.98982,7661.9757,5933.34331,4496.78417,5260.12917,3688.71402,3946.06562,3466.23806,4627.28482,5267.20332,6425.8009,3347.68207,6241.53752,4603.38253,5328.08287,6154.55141,5204.48286,219432.17213,1240.62339,5578.19479,5514.98277,3516.00922,3230.66292,5866.88231,6817.93759,3427.36611
889.7239@487.98,1083718.80773,2487500.03219,1052641.76802,810990.64992,1318527.81471,342274.31946,1232894.77515,359077.24852,528815.025,300394.82026,146909.15906,787245.57474,540058.824,701972.87218,256547.9585,748587.81898,1412624.01356,1539178.3914,686982.40518,991644.33202,716371.20782,15736.44329,1592854.3746,1413585.06871,255237.80494,600862.03913,780494.26741,1121466.65383,236932.95417
536.4643@478.91,60100.88627,119521.28717,53535.14444,32404.12442,85847.9234,19418.49396,68838.58091,19982.63471,33784.02361,16613.24332,10806.51464,55463.96447,46807.86261,29980.28744,19633.19682,35394.96169,95348.18163,75515.89885,45607.71453,66917.6607,40429.36691,2977.37504,100331.81922,90088.90492,14691.18445,22755.68409,49950.8472,63253.11868,20841.1252
284.4373@530.54,115754.43109,682133.3814,452272.61109,347067.45199,587522.21041,131731.01463,199341.35516,128747.54077,53499.88108,83852.90037,158743.12458,303513.19054,406012.88256,415238.5125,388740.73045,29255.40154,685663.90985,440619.66063,378583.34607,563119.24206,454893.90088,20790.92354,343149.07753,559804.9315,108304.94248,227294.91733,365649.70343,322108.86398,101816.5259
347.2195@446.92,159828.37566,574788.24044,151373.93498,152065.37733,472451.53903,48862.09243,393660.56223,66873.4443,119510.28071,48305.83469,32366.1779,216440.06999,177777.86334,130138.4534,72840.33496,127046.14855,291598.46587,323816.8554,179469.93666,227381.06205,184711.50298,14025.45305,403708.13535,348740.40343,76236.3696,119042.92008,214465.65795,249101.29111,55911.51479
283.2643@530.71,23497034.1323,35877870.83652,28434710.83789,24344882.19,33436103.33729,15300069.39121,26480261.32929,14953139.85567,24460841.27187,12973955.88176,16711689.99797,22601076.0056,26222629.74227,27257768.08075,25617718.20762,21612490.71223,36234393.1164,27506681.82501,25578130.10047,32113527.94009,27777980.27751,9265951.88426,31308702.43079,31391120.7483,13741692.41813,20059979.53606,25589469.3097,22982747.82728,14134300.39588
518.4835@478.95,46559.01072,94951.59628,47951.05541,26231.68227,64996.20397,16076.8871,57211.47874,18595.04743,26225.36375,13914.39813,10179.46611,39582.28097,37320.2428,24500.32167,16577.73603,29102.94956,72236.94549,63779.83716,38469.03669,51968.60169,30545.23574,4767.18632,78983.50834,72027.12121,14542.7223,19203.31031,39828.12217,52826.0157,17102.02077
344.1642@479.11,11894.9036,17733.45505,10765.81606,8891.58142,16684.42853,5333.68932,14484.63623,6466.1523,9264.47948,5445.61332,4983.02106,13225.22264,10786.49462,7353.8933,7397.67893,9983.12836,16849.37193,11727.83847,11356.50251,14066.69367,10128.91815,2641.78714,17211.46424,12981.83775,5962.41864,8578.8683,12134.05059,11352.80765,8637.31673
890.7272@487.97,615714.82385,1440410.32837,595159.42889,444602.89156,751850.19146,190961.98235,704789.02797,198660.41031,301244.64816,161205.48766,81132.57968,439044.48476,288673.55453,391755.75069,138403.37627,418234.85805,804376.91359,869838.71555,385611.6596,557563.4231,395677.2149,7900.13469,905930.63307,809713.54709,131960.95345,339638.94725,438332.21142,620625.88421,118626.06732
141.0172@31.71,4205271.82704,4042012.12769,4312832.46967,3945945.3235,3397053.56299,3901051.897,4041966.70425,4081316.30166,4248152.7519,2089654.65076,4063887.3778,3852424.76437,4004724.31966,3967669.78832,1666439.65247,4361560.48244,4167104.93423,3660131.91179,4146331.81915,3325465.84191,4431056.34773,1862744.56077,4376228.93226,3890959.17113,4067097.87194,3820600.75326,3823499.37414,4398191.44721,2533735.36259
468.1342@486.36,192140.41883,222941.28654,162571.9783,245446.30041,264150.34453,144691.25034,176572.66205,162740.76554,188236.41956,122248.45311,198224.95487,166062.06536,180656.71736,253759.98008,100934.69636,162989.27315,184322.43994,151652.9914,181252.38361,152368.57787,207279.84867,115686.5387,182819.6366,168774.17853,129639.03314,317665.58367,235669.64083,194263.65446,133226.8537
288.0716@494.49,210511.1829,203430.15824,367623.16249,186772.6649,114594.31,232840.99913,342890.01977,270715.28091,199729.04213,216555.40149,245621.09608,232999.62945,233048.18391,239294.58383,161898.00522,178372.20919,237621.34558,239742.54095,199555.3546,327631.0359,268706.01028,181753.87801,472891.97182,209181.93666,151251.34694,120564.65883,131625.80258,250802.77868,193112.2251
429.193@479.71,33668.96762,35566.67708,35582.71966,27154.35151,28809.20123,29872.41041,29356.31967,28150.33035,26991.51001,27269.23051,27287.12926,23497.62589,26347.10324,33009.07287,18872.91065,29903.83846,27784.91057,21137.86915,29164.01222,26776.16758,21609.8492,15854.1093,29959.48081,31920.55684,22027.51917,28564.50768,28241.34293,27185.30231,21843.96458
271.254@497.76,51938.6613,78945.05462,60903.20495,38008.28875,83246.93266,24029.79251,60216.85285,27787.89309,38921.53833,20196.83088,25213.23517,45908.62978,43925.3984,44069.58398,38447.4592,52272.22056,166569.00018,94196.7032,55678.13396,86175.83975,49771.46883,14809.68917,63932.58858,65793.3218,26113.95866,27286.77622,53275.76732,48967.0082,26754.24598
280.2364@446.92,4950960.46381,18676161.78358,4610130.32429,4710350.19787,15416719.00767,1506863.9397,12527325.43494,2081580.64235,3669224.03121,1475720.01353,977011.12091,6659779.53719,5373096.21404,4066501.11885,2177565.04105,3923054.62521,9168114.87657,10232759.98584,5466811.14447,6909130.30946,5677849.65814,391538.77165,12636741.2906,10908415.72381,2273162.0211,3818145.79091,6895866.12757,7730363.35649,1694810.57046
295.188@415.14,6439.04875,10257.18693,7030.14339,4395.94825,11575.25742,2468.44783,11302.26501,4328.2969,3544.32371,2396.29517,1868.76781,6230.80944,6650.74435,2670.89908,2971.97316,4790.60161,33135.48911,14348.82343,7685.99527,8532.43194,6039.5045,1421.43168,14175.08253,10367.0588,3593.89825,6156.95794,10153.05903,8614.25991,5333.82032
344.2797@246.51,8351.87444,10778.25013,10173.96069,9322.77464,10127.94297,9906.79976,10644.03252,11012.54984,8521.23905,9091.99347,9068.5693,8875.01312,10374.52505,10071.19833,9802.1437,9879.76336,10624.40538,11051.78822,11453.31732,10672.45712,11970.44231,9553.3741,11675.32552,11106.67675,10107.48817,10207.39627,9068.49597,11145.86418,3021.5565
270.2516@497.73,484730.77352,754519.51146,588749.55516,355042.45667,780513.3809,247219.98756,586378.46505,254682.22972,363477.42528,195650.79838,247758.40016,431863.90394,420867.77087,421874.1238,354779.22252,496611.80216,1562750.51864,896078.99416,521666.12443,808807.02095,462695.76873,188778.88039,591201.47244,622723.81267,251428.894,244296.44315,497557.43167,464051.23911,266019.63614
406.132@281.13,41.42024,175.72253,532.58036,1873.36624,75.93566,626.84089,240.89822,130.34929,9570.77725,94.25244,10247.83848,38.50769,2135.33378,2709.16524,5939.60514,3238.39262,114.67724,45.05607,7193.35342,26.38039,144.58248,1971.78355,4659.32421,413.51315,2164.04779,576.54883,999.44045,394.55478,150.14003
269.2487@497.68,2512846.09878,3832855.95896,2980499.02237,1864455.80085,3904496.06566,1367433.09354,2973549.13108,1379268.25029,1904831.85154,1095174.27163,1333822.04334,2202778.9372,2212039.47324,2187445.77834,1864985.4758,2558809.76999,7870784.64613,4479208.81372,2659877.68179,4091141.70158,2392441.23704,1011896.77426,2987747.89515,3176894.12911,1336882.29221,1299492.12814,2547918.18203,2444689.22716,1435142.3739
281.24@446.92,640825.29696,2520643.57999,561689.10961,632064.68051,2003179.1578,182152.49107,1593370.74552,257661.38644,456819.08169,186241.24294,130406.13917,853937.59303,658059.90511,532337.54604,268576.10666,522333.64972,1197440.97231,1318400.79232,716158.24659,923616.46441,746614.08461,47599.07924,1624495.21096,1397683.65089,286621.44591,516217.03324,943113.13284,1000427.50009,211538.14328
549.431@478.72,53999.11305,100212.92117,52111.62701,32280.84141,74218.71697,21332.28272,70379.07919,16707.5552,33243.32032,12804.52168,5362.65763,44539.12226,43937.72832,27139.40208,3043.76487,31081.62707,78729.17563,66976.64157,50317.92306,59447.17667,37382.5907,2375.56355,87814.2443,75145.86593,0.0,13358.04419,34692.03014,51033.83398,17101.505
321.2788@519.79,12892.79665,27122.53113,11600.89888,14503.60748,15231.15458,7107.38066,14693.39289,9965.22815,13690.15092,5494.86969,10264.14184,10592.24546,12690.86973,10805.12419,12228.1616,10748.67429,21211.29857,17612.44341,13119.81081,19253.00071,15790.02875,4973.74226,28870.062,16618.06821,9436.44205,9301.24803,16212.57294,14446.41605,6364.22991
811.6767@478.81,806659.065,1570728.33702,798801.72414,355577.69216,989302.68303,205724.39974,828838.44028,209840.0625,381258.17359,137469.98836,92337.95563,539309.81408,489517.51457,324940.73992,156730.42523,426222.09438,1046354.67431,1037558.43031,595760.68077,767087.31036,368254.76005,21869.71489,1163848.25114,1198050.9313,163985.85356,236145.46003,568599.28398,814348.34828,162501.8878
524.277@386,154389.31549,602277.99947,208185.81609,176354.91762,255430.04232,79559.29769,527699.71236,323119.73101,58694.5913,40967.15856,144994.90097,123743.04948,276072.60921,131160.14879,114596.90432,175840.9196,313571.87373,178626.91996,144068.26061,250330.3486,194482.5896,27857.08172,278184.61668,162540.19955,374854.31702,205799.901,145165.62905,231130.50324,71402.91379
285.2064@251.4,24409.873,46190.40789,43103.33783,47876.11093,48665.70078,37284.00728,40958.53535,47527.31614,17593.29676,39942.1092,42294.59844,52671.01466,22406.86077,49421.89185,44420.49896,47341.4418,39971.93478,49423.72139,44245.89097,60957.59631,44868.45649,30774.78603,65523.72768,52659.22132,39566.1121,43627.95772,44634.23317,62224.70403,33764.92736
381.028@302.38,20814.67358,21635.08416,21151.04081,23855.11058,22313.77093,21046.51285,20851.32413,20425.59438,19009.48396,21181.07101,22397.35099,19237.13174,20926.46202,21514.61176,19103.80458,19996.13657,22319.64583,21183.8354,20095.58489,20710.76256,20384.25147,20622.24166,21638.3089,20069.27269,21114.49157,21959.22716,22886.62247,22695.23196,20866.10242
359.2193@411.84,8389.85601,37918.99099,7910.93846,12122.09856,24180.70121,2484.56937,30785.15749,6466.71427,4650.60571,2051.86789,1532.31426,11711.58275,11751.57337,6426.75024,4873.12653,6731.03075,17620.1938,18002.87596,11404.78537,11650.33656,12810.99897,740.31393,67392.70098,22737.27686,3876.1518,5381.23523,15880.67052,19379.42693,3365.96137
329.1742@254.2,9296.91552,6301.32011,3755.38179,11646.5453,11675.10643,10161.13788,18362.53255,9104.4813,5656.52399,2836.93518,10911.20953,8275.38205,20344.47618,4693.02992,1485.92528,13754.7083,15596.98613,5453.19757,7828.69225,10767.3002,20573.14572,1815.72838,18070.39019,17201.1867,18708.09067,16569.28362,7965.58614,18261.49616,1562.68253
661.2498@155.37,11515.48309,23356.79322,15700.77356,29987.96694,3032.48045,17497.53992,33639.10641,22706.8055,25522.21326,4044.55542,14971.37523,36615.36321,30983.85075,34964.2588,23132.29704,17472.20563,19936.71014,13336.81349,6155.25446,8768.06732,18188.06888,5814.62206,26631.82149,32109.77155,38215.68568,18415.07788,13689.01193,6322.2197,2754.33327
812.68@478.84,403931.40839,810389.51093,391328.35012,176233.16527,490293.5668,99052.05205,404590.67101,102920.5397,173879.4837,66697.51457,43019.67192,254008.04515,236964.44695,155700.75017,73324.83696,211090.89343,514932.62318,519285.17187,278310.38765,361481.15355,176425.0661,9416.91922,582555.59785,602786.5155,74053.73345,115478.79557,294291.55412,408650.42566,72322.91938
308.2675@497.04,735597.56115,2830666.48611,739257.53204,931206.37024,1633059.0249,270613.20899,1429249.84472,394689.74177,620007.39667,272927.81578,190698.86163,889056.72335,539094.27745,482309.63368,443607.37267,515662.51535,1126611.22454,1126865.22609,624032.69982,1160000.91729,766134.77772,54511.29485,1244047.12934,1389074.8828,349625.30136,410719.28023,710826.49089,1000668.20882,265108.15759
316.1171@31.98,4392.7643,4438.40163,11558.11708,7593.13668,7647.856,7602.11475,13960.80765,17269.35591,10982.12777,2489.63764,12600.31942,8461.87647,16198.62423,5800.57204,12629.62891,14245.67604,14224.59559,2497.93968,9468.53,6960.39934,13273.11904,9377.54098,14496.63044,9872.4922,10402.64507,10555.5689,9030.20108,10689.23535,14292.58674
347.2582@379.62,31164.01412,24070.14492,46301.09531,11896.40276,40411.05781,2299.02305,21912.1261,5854.17295,5513.8795,4636.68872,4760.14889,5582.64106,22538.72995,6194.11123,2910.1769,13193.92701,28226.15653,27512.17097,8426.54633,22002.34008,19615.59729,968.70155,13195.37219,17493.22554,4041.39358,2345.03451,16129.2368,10193.73814,1336.0924
229.1797@248.54,8609.58956,10064.08846,9203.13294,10270.48642,7882.70262,10348.81989,8836.52778,8614.90655,43412.50326,11612.57869,9558.41717,7866.11941,10259.43218,9622.90361,12163.4126,10062.6354,9601.49843,12969.81757,9220.13151,10754.0958,8995.53409,10893.70323,9573.0759,10269.79786,9591.85538,4979.076,9556.81683,4839.45177,35308.16112
277.2171@411.9,1193919.00011,5108951.87662,1241139.78452,1571566.74383,3659459.07787,320706.0762,3941798.1047,766755.04966,679170.40404,315268.4569,257784.39227,1504353.26115,1494504.27605,895783.76928,619573.27024,948242.04197,2164431.64303,2377791.62329,1594935.77142,1470287.66175,1406439.91963,63961.37526,8912096.8116,2816772.41516,517951.43545,525780.99867,2313706.01822,2271231.43332,463615.93541
307.2642@497.01,3304232.78403,12792089.76958,3317045.86984,4127138.30271,86388.05813,1249157.46117,6412727.32456,1773855.61786,2729160.72746,1242618.10443,887531.85946,3961762.3567,2410419.62697,2157803.9811,1999761.79468,2301376.92652,5059024.06516,5081739.01782,2782415.30316,5201095.46429,3456845.35387,262006.75723,5544330.68902,6243782.52037,1589629.53079,1853144.78327,3142805.78551,4456846.003,1227679.0929
329.2481@451.12,628770.98146,2412471.88008,549383.81162,801046.88222,1611679.9089,184532.61201,993657.66767,523065.67375,332475.1901,147646.3512,193206.8359,753069.78586,519777.33095,298723.27216,243201.81101,341458.72751,888447.6075,944838.7864,473274.05938,919421.20517,551857.00289,26886.6535,1279758.34334,943382.78727,232992.96971,460554.25417,634004.51322,860033.91257,269644.46895
278.2201@411.9,239963.13882,1056892.34721,253544.36456,322882.57064,766638.97915,62071.84047,813568.15911,152605.09013,142623.92038,62540.00136,48610.79595,303976.24484,304324.15017,180791.96333,121654.9667,190302.58941,447085.91633,496725.57251,327735.50759,304453.78912,286722.31406,12178.77694,1822746.70833,577765.26341,102701.24359,102161.96974,476770.76535,468094.66616,88678.90498
220.146@258.07,23239.01274,23426.3629,24599.42876,24020.22507,21869.66208,22667.85034,25333.37856,23605.99834,23038.06898,24006.41065,23300.0509,24216.67688,24241.93137,23535.24525,25190.52775,23894.70455,26742.3846,27204.44531,22738.24089,25207.23252,25568.79859,24620.42308,27371.15327,24452.8683,23422.51206,22380.38812,21494.27064,23951.11454,22776.14342
656.425@477.2,134874.35667,143036.07428,137713.22712,135907.68107,135435.56136,136623.97128,136895.54837,136226.24948,133241.7068,131549.30972,133371.1241,149929.19,146244.51657,137567.16947,126734.99384,135000.22973,146630.67896,150750.08218,136325.42644,154823.14635,144101.07051,138178.21053,153093.60929,140362.2201,129997.40532,126102.25186,130542.3081,146628.10333,142968.50175
762.548@523.69,29653.31211,16437.09299,22896.65644,16930.11566,11195.23811,232.54085,10361.54908,31162.07787,27725.93924,12087.39933,10446.62028,7839.91888,60627.83514,29749.75325,84022.48176,18431.36375,3178.17339,7632.74676,63887.54899,33340.93455,40997.95465,43664.04759,4629.11979,24700.97044,19531.65104,17520.51582,7258.94062,746.22314,40961.41523
319.227@344.95,300028.33063,235200.44218,801676.32155,171330.42371,607276.10501,24357.95985,294945.02817,70051.66821,58232.79781,52789.16607,55004.80789,32425.82068,409210.34468,60160.6118,31380.428,179255.26759,444053.05762,300846.07677,59992.68874,237077.74617,271535.19221,10278.57356,106140.30938,220416.29871,51338.80968,22262.2738,279794.44319,91135.73573,9502.29854
606.4933@530.7,7500.39165,13022.19901,5521.97534,6565.13639,9606.60763,2808.65791,6154.2762,4142.80765,6062.72564,1713.09109,4500.88555,3925.98375,5422.76386,7498.98751,2173.09497,6001.34602,12081.2527,4925.77179,6037.36295,9112.30649,6269.94609,950.83313,7831.26986,6347.48045,1841.02425,5321.51273,6139.09664,4615.92484,2329.28824
449.3111@520.26,339595.52411,328290.28865,316636.27566,363203.10726,366564.83883,408528.23378,358922.67752,369851.06462,326258.71882,377570.8419,392369.37442,445318.02214,330020.4464,388743.03881,276882.592,368678.88857,314750.27245,321730.52141,404616.85402,358552.85677,315691.4543,335389.90188,326298.23375,336265.9376,390051.00637,543613.02691,511479.18789,305542.01513,341705.65958
270.2518@507.38,868644.78169,2189378.28072,1085784.05515,816932.94232,1871293.12878,402030.1639,1240574.40585,440062.82523,790727.11286,368035.75402,317125.80497,882570.46441,849513.77999,771940.29589,620866.87977,865108.19641,2354038.03489,1441844.0244,904510.7878,1312202.4928,845093.14047,191718.18018,1298226.10313,1515683.39538,359753.50412,490429.91281,842142.4362,895324.43735,408783.49653
651.4217@478.84,26989.65726,23537.38721,23908.00883,16358.52849,17123.87368,15980.58571,20516.25025,11195.90996,13770.68611,10246.11403,9425.90868,11720.28662,13934.42602,15774.29826,8917.59552,18853.54208,14222.8581,21272.24313,17628.0909,14593.58861,8334.68536,2914.95433,17914.66585,22273.67374,9687.05092,11186.55399,16797.94828,23458.86543,8837.43591
306.2512@464.71,158524.55437,320370.80834,192549.70599,162700.50013,256127.96702,117478.04091,271843.53884,146217.70996,109681.63794,44772.80914,66660.60249,198027.6073,225730.29045,103188.37061,145369.81544,143480.89163,426059.99234,195773.1103,165236.46485,177671.69138,154136.10721,16404.17765,404862.45917,353689.87217,91440.57526,169874.17293,223450.5131,201030.1011,126789.81484
275.2008@384.92,15455.42289,40181.18784,18365.68715,53413.05061,24462.08207,5392.01361,31884.17757,30701.75311,6922.3133,2605.529,3782.67958,14484.67788,22193.98767,8575.29068,7105.9315,10492.28502,31954.91106,18317.20359,21042.87596,13874.10655,14798.18645,2126.11389,129367.32657,21646.97194,5767.20239,9162.9111,22883.70155,26092.35701,9277.98821
592.4642@493.55,33848.01081,40408.28,191065.77962,7285.11842,2327.44293,163887.02159,175615.35842,108574.14209,261461.85498,10305.92632,276288.11735,35035.85061,198516.67045,85276.20587,452619.02262,736931.34504,173975.38977,4924.23733,691188.72452,3594.47769,230888.05964,97742.50906,287389.1459,68157.95408,221921.64297,45172.4459,14135.48612,160766.51729,24167.97973
