,76,122,85,21,68,56,71,63,105,18,97,11,69,128,91,87,78,96,47,66,52,72,126,92,15,112,118,111,24,84,26,29,31,44,48,7,100,75,36,40,55,3,121,110,34,59,89,67,4,80,22,6,49,39,60,116,88,54,43,120,62,2,83,46
Label,OO,OO,OO,OO,CAN     ,OO,OO,SUN,OO,CAN     ,CAN     ,OO,OO,SUN,OO,OO,SUN,SUN,SUN,CAN     ,CAN     ,OO,SUN,OO,SUN,SUN,OO,SUN,OO,CAN     ,OO,SUN,SUN,OO,SUN,OO,CAN     ,OO,CAN     ,OO,OO,CAN     ,OO,SUN,CAN     ,OO,OO,CAN     ,CAN     ,SUN,OO,OO,CAN     ,OO,OO,CAN     ,OO,OO,OO,OO,SUN,CAN     ,CAN     ,SUN
['1'],-0.067122224,-0.089956611,-0.083881381,-0.079630325,-0.06835276,-0.08612474,-0.069932001,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.072281145,-0.098150067,-0.089391758,-0.069685359,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.055070003,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.096231556,-0.091072341,-0.064041926,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.082282329,-0.120933728,-0.065648376,-0.070983071,-0.070677438,-0.094249755,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.069620726,-0.101691386,-0.069792255,-0.078681661,-0.070478995,-0.087249058,-0.076333447,-0.082274113,-0.079198888,-0.085305483,-0.077268994,-0.076762356,-0.082468043,-0.086714266
['1'],-0.067122224,-0.089956611,-0.083881381,-0.079630325,-0.06835276,-0.08612474,-0.069932001,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.072281145,-0.098150067,-0.089391758,-0.069685359,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.055070003,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.096231556,-0.091072341,-0.064041926,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.082282329,-0.120933728,-0.065648376,-0.070983071,-0.070677438,-0.094249755,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.069620726,-0.101691386,-0.069792255,-0.078681661,-0.070478995,-0.087249058,-0.076333447,-0.082274113,-0.079198888,-0.085305483,-0.077268994,-0.076762356,-0.082468043,-0.086714266
['2'],-0.067122224,-0.089956611,-0.082390186,-0.078697098,-0.06835276,-0.085341752,-0.06794955,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.071506883,-0.098150067,-0.089391758,-0.067557822,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.053088274,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.095069589,-0.091072341,-0.063658435,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.080304516,-0.120933728,-0.065648376,-0.070983071,-0.068581499,-0.092605258,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.06818698,-0.100192682,-0.069792255,-0.07717153,-0.070478995,-0.087249058,-0.074383673,-0.080425817,-0.079198888,-0.082942426,-0.077268994,-0.076762356,-0.082468043,-0.086714266
['2'],-0.067122224,-0.089956611,-0.082390186,-0.078697098,-0.06835276,-0.085341752,-0.06794955,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.071506883,-0.098150067,-0.089391758,-0.067557822,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.053088274,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.095069589,-0.091072341,-0.063658435,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.080304516,-0.120933728,-0.065648376,-0.070983071,-0.068581499,-0.092605258,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.06818698,-0.100192682,-0.069792255,-0.07717153,-0.070478995,-0.087249058,-0.074383673,-0.080425817,-0.079198888,-0.082942426,-0.077268994,-0.076762356,-0.082468043,-0.086714266
['3'],-0.067122224,-0.089956611,-0.080823578,-0.077529817,-0.06835276,-0.084334273,-0.066051307,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.070714575,-0.098150067,-0.089391758,-0.065747592,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.051192722,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.093786806,-0.091072341,-0.063012051,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.078414451,-0.120933728,-0.065648376,-0.070983071,-0.066578404,-0.090843541,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.066707431,-0.098519132,-0.069792255,-0.075604347,-0.070478995,-0.087249058,-0.072335663,-0.078456718,-0.079198888,-0.080682432,-0.077268994,-0.076762356,-0.082468043,-0.086714266
['3'],-0.067122224,-0.089956611,-0.080823578,-0.077529817,-0.06835276,-0.084334273,-0.066051307,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.070714575,-0.098150067,-0.089391758,-0.065747592,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.051192722,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.093786806,-0.091072341,-0.063012051,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.078414451,-0.120933728,-0.065648376,-0.070983071,-0.066578404,-0.090843541,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.066707431,-0.098519132,-0.069792255,-0.075604347,-0.070478995,-0.087249058,-0.072335663,-0.078456718,-0.079198888,-0.080682432,-0.077268994,-0.076762356,-0.082468043,-0.086714266
['4'],-0.067122224,-0.089956611,-0.079221011,-0.076110819,-0.06835276,-0.083065459,-0.064244809,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.06992524,-0.098150067,-0.089391758,-0.064240213,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.049437467,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.092384692,-0.091072341,-0.062073375,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.076635268,-0.120933728,-0.065648376,-0.070983071,-0.064722055,-0.088952629,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.06516863,-0.096699018,-0.069792255,-0.073966375,-0.070478995,-0.087249058,-0.07023025,-0.076369903,-0.079198888,-0.078559521,-0.077268994,-0.076762356,-0.082468043,-0.086714266
['4'],-0.067122224,-0.089956611,-0.079221011,-0.076110819,-0.06835276,-0.083065459,-0.064244809,-0.065289834,-0.116620153,-0.06694918,-0.127798072,-0.084966988,-0.06992524,-0.098150067,-0.089391758,-0.064240213,-0.091500676,-0.086426349,-0.093220647,-0.077966286,-0.070785182,-0.049437467,-0.10624197,-0.080337194,-0.075222713,-0.099989231,-0.092384692,-0.091072341,-0.062073375,-0.062453869,-0.065218613,-0.069949718,-0.05831377,-0.068789346,-0.09010523,-0.076635268,-0.120933728,-0.065648376,-0.070983071,-0.064722055,-0.088952629,-0.090554704,-0.096108196,-0.096054673,-0.069584947,-0.086116232,-0.087181913,-0.065969305,-0.075225339,-0.067844612,-0.06516863,-0.096699018,-0.069792255,-0.073966375,-0.070478995,-0.087249058,-0.07023025,-0.076369903,-0.079198888,-0.078559521,-0.077268994,-0.076762356,-0.082468043,-0.086714266
