,6,50,44,16,57,43,63,18,52,55,25,30,45,58,34,29,19,40,24,10,46,68,17,70
Label,A,C,C,B,B,A,C,B,C,B,B,A,C,B,C,A,A,B,A,B,C,B,C,A
['1+1'],333626.778,0.0,0.0,0.0,58590.564,171969.368,0.0,0.0,1060843.09,2288237.25,0.0,497846.18,1763305.72,0.0,0.0,136565.098,0.0,1647525.15,0.0,0.0,0.0,0.0,0.0,0.0
['1+1'],333626.778,0.0,0.0,0.0,58590.564,171969.368,0.0,0.0,1060843.09,2288237.25,0.0,497846.18,1763305.72,0.0,0.0,136565.098,0.0,1647525.15,0.0,0.0,0.0,0.0,0.0,0.0
['1+2'],161344.393,202296.06,972545.342,82237.991,0.0,59170.032,0.0,74693.438,527957.275,132358.644,79172.689,42248.125,173500.192,39402.337,85844.584,0.0,15357.421,101797.268,17625.821,145533.576,25544.388,0.0,63266.794,0.0
['1+2'],161344.393,202296.06,972545.342,82237.991,0.0,59170.032,0.0,74693.438,527957.275,132358.644,79172.689,42248.125,173500.192,39402.337,85844.584,0.0,15357.421,101797.268,17625.821,145533.576,25544.388,0.0,63266.794,0.0
['1+3'],39631.755,7495257.8,10530934.0,328954.65,16504432.1,7915299.21,18480709.8,571365.488,7539049.06,3961830.37,1253761.3,3020294.83,3963956.35,12489495.7,6992482.03,1951581.63,781529.182,5212843.38,902653.336,35592.786,3391431.18,8463434.16,152524.612,0.0
['1+3'],39631.755,7495257.8,10530934.0,328954.65,16504432.1,7915299.21,18480709.8,571365.488,7539049.06,3961830.37,1253761.3,3020294.83,3963956.35,12489495.7,6992482.03,1951581.63,781529.182,5212843.38,902653.336,35592.786,3391431.18,8463434.16,152524.612,0.0
['1+4'],0.0,343575.382,104089.696,190148.287,0.0,192013.53,0.0,156337.67,2600048.8,241699.726,235795.858,0.0,0.0,0.0,57166.978,355545.996,9148.566,644087.101,0.0,38414.065,421941.564,12790.6,23885.139,0.0
['1+4'],0.0,343575.382,104089.696,190148.287,0.0,192013.53,0.0,156337.67,2600048.8,241699.726,235795.858,0.0,0.0,0.0,57166.978,355545.996,9148.566,644087.101,0.0,38414.065,421941.564,12790.6,23885.139,0.0
['1+5'],891054.64,0.0,5462.107,0.0,3739.259,19716.837,0.0,25591.467,0.0,0.0,0.0,16630.809,0.0,2805.428,4316.532,0.0,28249.818,0.0,41005.02,0.0,0.0,0.0,38045.736,0.0
['1+5'],891054.64,0.0,5462.107,0.0,3739.259,19716.837,0.0,25591.467,0.0,0.0,0.0,16630.809,0.0,2805.428,4316.532,0.0,28249.818,0.0,41005.02,0.0,0.0,0.0,38045.736,0.0
['1+6'],770749809.0,34770973.4,0.0,6497875488.0,0.0,0.0,225436.133,6981278354.0,937940.58,0.0,0.0,3926805834.0,21094333.9,0.0,3261783451.0,3247053340.0,6182794227.0,13790734.3,6187639700.0,919198919.0,0.0,324414.229,5684931297.0,5091714.21
['1+6'],770749809.0,34770973.4,0.0,6497875488.0,0.0,0.0,225436.133,6981278354.0,937940.58,0.0,0.0,3926805834.0,21094333.9,0.0,3261783451.0,3247053340.0,6182794227.0,13790734.3,6187639700.0,919198919.0,0.0,324414.229,5684931297.0,5091714.21
['1+7'],0.0,90438.805,218180.18,0.0,480464.945,43353.084,28683.804,0.0,434619.597,495378.757,0.0,159510.932,155886.759,430525.227,0.0,0.0,0.0,274903.999,0.0,0.0,0.0,119515.403,0.0,203231.355
['1+7'],0.0,90438.805,218180.18,0.0,480464.945,43353.084,28683.804,0.0,434619.597,495378.757,0.0,159510.932,155886.759,430525.227,0.0,0.0,0.0,274903.999,0.0,0.0,0.0,119515.403,0.0,203231.355
['1+8'],9540291.59,8615050.83,6899826.09,10780888.8,4130057.75,7532080.3,0.0,9422084.6,0.0,6262095.12,9348952.59,6597088.04,10999181.6,4115425.48,8038747.03,5542404.38,8746740.33,7058954.82,7982314.03,5890853.85,4873556.3,0.0,10759142.3,484512.909
['1+8'],9540291.59,8615050.83,6899826.09,10780888.8,4130057.75,7532080.3,0.0,9422084.6,0.0,6262095.12,9348952.59,6597088.04,10999181.6,4115425.48,8038747.03,5542404.38,8746740.33,7058954.82,7982314.03,5890853.85,4873556.3,0.0,10759142.3,484512.909
['1+9'],336979.179,92614.873,2400015.3,308025.594,252271.352,286216.331,0.0,217539.333,1979515.39,0.0,347142.643,288540.604,105091.618,243152.154,68863.314,250033.982,131451.886,348023.268,350630.462,436946.492,75693.096,0.0,109174.01,0.0
['1+9'],336979.179,92614.873,2400015.3,308025.594,252271.352,286216.331,0.0,217539.333,1979515.39,0.0,347142.643,288540.604,105091.618,243152.154,68863.314,250033.982,131451.886,348023.268,350630.462,436946.492,75693.096,0.0,109174.01,0.0
['1+10'],0.0,20330.239,0.0,25005.79,2701.033,3076.64,0.0,17856.998,0.0,7643.088,0.0,4666.77,64780.59,4442.909,0.0,0.0,17176.6,2940.033,11007.826,17498.634,4097.338,0.0,21629.732,0.0
['1+10'],0.0,20330.239,0.0,25005.79,2701.033,3076.64,0.0,17856.998,0.0,7643.088,0.0,4666.77,64780.59,4442.909,0.0,0.0,17176.6,2940.033,11007.826,17498.634,4097.338,0.0,21629.732,0.0
['1+11'],53356.329,0.0,522580.04,196387.813,0.0,126481.831,0.0,123395.963,369120.672,215815.353,61461.217,0.0,0.0,0.0,64884.517,149881.055,28703.708,0.0,90129.475,36772.525,0.0,0.0,107858.194,0.0
