,34.0,68.0,38.0,61.0,53.0,36.0,67.0,6.0,5.0,42.0,55.0,20.0,14.0,60.0,70.0,49.0,62.0,31.0,71.0,23.0,40.0,1.0,13.0,64.0,47.0,7.0,66.0,48.0,8.0,18.0,10.0,46.0,78.0,37.0,4.0,17.0,44.0,65.0,58.0
Label,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
['1'],15631.91325,8090.208268,9257.053463,10370.73717,17752.85981,12373.86712,12063.08201,15418.48791,16315.10418,10509.07265,9631.873391,17258.98937,7028.408469,15010.02997,11010.83338,11583.40006,10746.38598,17109.88794,12901.98629,11971.1412,8427.195675,12545.27455,10552.55565,12134.47248,14101.88439,11137.74901,14891.44209,14237.88301,12742.40786,6059.370253,12474.0,14124.27554,11834.47534,15887.5432,13917.89515,11623.64696,15713.36707,10851.16805,15677.96497
['1'],15631.91325,8090.208268,9257.053463,10370.73717,17752.85981,12373.86712,12063.08201,15418.48791,16315.10418,10509.07265,9631.873391,17258.98937,7028.408469,15010.02997,11010.83338,11583.40006,10746.38598,17109.88794,12901.98629,11971.1412,8427.195675,12545.27455,10552.55565,12134.47248,14101.88439,11137.74901,14891.44209,14237.88301,12742.40786,6059.370253,12474.0,14124.27554,11834.47534,15887.5432,13917.89515,11623.64696,15713.36707,10851.16805,15677.96497
['1'],15631.91325,8090.208268,9257.053463,10370.73717,17752.85981,12373.86712,12063.08201,15418.48791,16315.10418,10509.07265,9631.873391,17258.98937,7028.408469,15010.02997,11010.83338,11583.40006,10746.38598,17109.88794,12901.98629,11971.1412,8427.195675,12545.27455,10552.55565,12134.47248,14101.88439,11137.74901,14891.44209,14237.88301,12742.40786,6059.370253,12474.0,14124.27554,11834.47534,15887.5432,13917.89515,11623.64696,15713.36707,10851.16805,15677.96497
['1'],15631.91325,8090.208268,9257.053463,10370.73717,17752.85981,12373.86712,12063.08201,15418.48791,16315.10418,10509.07265,9631.873391,17258.98937,7028.408469,15010.02997,11010.83338,11583.40006,10746.38598,17109.88794,12901.98629,11971.1412,8427.195675,12545.27455,10552.55565,12134.47248,14101.88439,11137.74901,14891.44209,14237.88301,12742.40786,6059.370253,12474.0,14124.27554,11834.47534,15887.5432,13917.89515,11623.64696,15713.36707,10851.16805,15677.96497
['2'],167584.449,210669.9104,222360.6654,173400.6646,97133.24891,184941.6236,158138.0062,0.0,119346.7358,180074.3469,179953.5366,107398.1278,204177.8747,110091.9271,199468.7371,0.0,170121.2351,172171.4035,155887.3817,157185.0194,236660.7568,167237.3424,168069.3216,164614.2303,144867.6699,198442.1021,123142.8233,160834.037,153901.0529,0.0,166055.0,167741.3962,172123.2172,137115.2144,134301.8697,153854.2472,139259.2395,170683.337,110851.3497
['2'],167584.449,210669.9104,222360.6654,173400.6646,97133.24891,184941.6236,158138.0062,0.0,119346.7358,180074.3469,179953.5366,107398.1278,204177.8747,110091.9271,199468.7371,0.0,170121.2351,172171.4035,155887.3817,157185.0194,236660.7568,167237.3424,168069.3216,164614.2303,144867.6699,198442.1021,123142.8233,160834.037,153901.0529,0.0,166055.0,167741.3962,172123.2172,137115.2144,134301.8697,153854.2472,139259.2395,170683.337,110851.3497
['2'],167584.449,210669.9104,222360.6654,173400.6646,97133.24891,184941.6236,158138.0062,0.0,119346.7358,180074.3469,179953.5366,107398.1278,204177.8747,110091.9271,199468.7371,0.0,170121.2351,172171.4035,155887.3817,157185.0194,236660.7568,167237.3424,168069.3216,164614.2303,144867.6699,198442.1021,123142.8233,160834.037,153901.0529,0.0,166055.0,167741.3962,172123.2172,137115.2144,134301.8697,153854.2472,139259.2395,170683.337,110851.3497
['2'],167584.449,210669.9104,222360.6654,173400.6646,97133.24891,184941.6236,158138.0062,0.0,119346.7358,180074.3469,179953.5366,107398.1278,204177.8747,110091.9271,199468.7371,0.0,170121.2351,172171.4035,155887.3817,157185.0194,236660.7568,167237.3424,168069.3216,164614.2303,144867.6699,198442.1021,123142.8233,160834.037,153901.0529,0.0,166055.0,167741.3962,172123.2172,137115.2144,134301.8697,153854.2472,139259.2395,170683.337,110851.3497
