,65,108,46,95,66,82,62,19,41,85,1,11,101,49,75,22,107,63,127,121,10,110,120,67,51,34,61,31,89,53,68,77,29,43,4,69,28,111,83,103,35,18,105,125,104,74,27,123,14,23,98,36,6,92,70,119,44,90,15,47,117,118,13,60
Label,CAN     ,OO,SUN,SUN,CAN     ,CAN     ,SUN,CAN     ,OO,OO,CAN     ,OO,OO,CAN     ,OO,OO,OO,SUN,SUN,OO,OO,SUN,OO,CAN     ,CAN     ,CAN     ,SUN,SUN,OO,OO,CAN     ,SUN,SUN,OO,CAN     ,OO,OO,SUN,CAN     ,OO,CAN     ,CAN     ,OO,SUN,OO,OO,OO,OO,SUN,OO,CAN     ,CAN     ,OO,OO,OO,OO,OO,OO,SUN,SUN,OO,OO,SUN,OO
['19'],-0.080319932,-0.095652742,-0.081690012,-0.086071589,-0.071868448,-0.089465867,-0.072827821,-0.070006323,-0.075959562,-0.066495519,-0.098154043,-0.081343952,-0.105336564,-0.069463853,-0.052995224,-0.032732928,-0.116608466,-0.063147047,-0.09788591,-0.087812264,-0.09102793,-0.089904005,-0.065004301,-0.062083698,-0.065976706,-0.063248606,-0.072649393,-0.063006971,-0.082744232,-0.074770441,-0.065342584,-0.079926775,-0.066998373,-0.069222257,-0.078452692,-0.055967016,-0.072978152,-0.08369865,-0.08213093,-0.095566689,-0.063900271,-0.067938871,-0.107062859,-0.110774522,-0.090166278,-0.054317524,-0.049515704,-0.088823572,-0.074723174,-0.032331648,-0.114129542,-0.071480474,-0.072740681,-0.078182601,-0.056659725,-0.05903702,-0.066202635,-0.077443055,-0.072379147,-0.088982252,-0.074728137,-0.070955296,-0.085533076,-0.055201593
['19'],-0.080319932,-0.095652742,-0.081690012,-0.086071589,-0.071868448,-0.089465867,-0.072827821,-0.070006323,-0.075959562,-0.066495519,-0.098154043,-0.081343952,-0.105336564,-0.069463853,-0.052995224,-0.032732928,-0.116608466,-0.063147047,-0.09788591,-0.087812264,-0.09102793,-0.089904005,-0.065004301,-0.062083698,-0.065976706,-0.063248606,-0.072649393,-0.063006971,-0.082744232,-0.074770441,-0.065342584,-0.079926775,-0.066998373,-0.069222257,-0.078452692,-0.055967016,-0.072978152,-0.08369865,-0.08213093,-0.095566689,-0.063900271,-0.067938871,-0.107062859,-0.110774522,-0.090166278,-0.054317524,-0.049515704,-0.088823572,-0.074723174,-0.032331648,-0.114129542,-0.071480474,-0.072740681,-0.078182601,-0.056659725,-0.05903702,-0.066202635,-0.077443055,-0.072379147,-0.088982252,-0.074728137,-0.070955296,-0.085533076,-0.055201593
['21'],-0.080824427,-0.093483848,-0.080854399,-0.087127079,-0.070841344,-0.08900197,-0.071725756,-0.072438195,-0.074734361,-0.06689301,-0.099118114,-0.080529028,-0.103211841,-0.068966382,-0.051114463,-0.030629689,-0.114370654,-0.063490373,-0.095460618,-0.084879415,-0.090245121,-0.088587027,-0.064083652,-0.062523009,-0.068200377,-0.062040868,-0.073466402,-0.064876046,-0.082347844,-0.074002947,-0.063379716,-0.079516328,-0.067302781,-0.067053167,-0.080774762,-0.05620803,-0.07032089,-0.082284685,-0.081061813,-0.094611899,-0.062129415,-0.06988767,-0.105868464,-0.110102138,-0.090212792,-0.052088331,-0.046259188,-0.088294653,-0.073100554,-0.030500807,-0.11352227,-0.072275244,-0.071589889,-0.078887272,-0.057086532,-0.058211877,-0.06627536,-0.077090421,-0.072115454,-0.088960361,-0.072556369,-0.070165318,-0.084850195,-0.055126173
['21'],-0.080824427,-0.093483848,-0.080854399,-0.087127079,-0.070841344,-0.08900197,-0.071725756,-0.072438195,-0.074734361,-0.06689301,-0.099118114,-0.080529028,-0.103211841,-0.068966382,-0.051114463,-0.030629689,-0.114370654,-0.063490373,-0.095460618,-0.084879415,-0.090245121,-0.088587027,-0.064083652,-0.062523009,-0.068200377,-0.062040868,-0.073466402,-0.064876046,-0.082347844,-0.074002947,-0.063379716,-0.079516328,-0.067302781,-0.067053167,-0.080774762,-0.05620803,-0.07032089,-0.082284685,-0.081061813,-0.094611899,-0.062129415,-0.06988767,-0.105868464,-0.110102138,-0.090212792,-0.052088331,-0.046259188,-0.088294653,-0.073100554,-0.030500807,-0.11352227,-0.072275244,-0.071589889,-0.078887272,-0.057086532,-0.058211877,-0.06627536,-0.077090421,-0.072115454,-0.088960361,-0.072556369,-0.070165318,-0.084850195,-0.055126173
['22'],-0.081058194,-0.092354409,-0.0803531,-0.087381015,-0.070595907,-0.088818234,-0.071500392,-0.073560036,-0.073862232,-0.067073824,-0.099666971,-0.080063075,-0.102376964,-0.068769792,-0.050653764,-0.030046298,-0.113100556,-0.063763949,-0.094200138,-0.083467119,-0.089529941,-0.088023523,-0.063649485,-0.062975273,-0.069218357,-0.061578151,-0.073648483,-0.065776757,-0.082235793,-0.073418339,-0.062228164,-0.079308942,-0.067876836,-0.066023393,-0.08193347,-0.056207285,-0.06931212,-0.081623012,-0.080325903,-0.09409641,-0.061139181,-0.070844636,-0.105455217,-0.109664463,-0.090153293,-0.051396536,-0.044822524,-0.087924073,-0.07217766,-0.030218728,-0.113528178,-0.072908883,-0.071163924,-0.079294889,-0.057335254,-0.057874804,-0.066207002,-0.077257327,-0.071956309,-0.088821738,-0.071547597,-0.070042808,-0.084307403,-0.055255358
['22'],-0.081058194,-0.092354409,-0.0803531,-0.087381015,-0.070595907,-0.088818234,-0.071500392,-0.073560036,-0.073862232,-0.067073824,-0.099666971,-0.080063075,-0.102376964,-0.068769792,-0.050653764,-0.030046298,-0.113100556,-0.063763949,-0.094200138,-0.083467119,-0.089529941,-0.088023523,-0.063649485,-0.062975273,-0.069218357,-0.061578151,-0.073648483,-0.065776757,-0.082235793,-0.073418339,-0.062228164,-0.079308942,-0.067876836,-0.066023393,-0.08193347,-0.056207285,-0.06931212,-0.081623012,-0.080325903,-0.09409641,-0.061139181,-0.070844636,-0.105455217,-0.109664463,-0.090153293,-0.051396536,-0.044822524,-0.087924073,-0.07217766,-0.030218728,-0.113528178,-0.072908883,-0.071163924,-0.079294889,-0.057335254,-0.057874804,-0.066207002,-0.077257327,-0.071956309,-0.088821738,-0.071547597,-0.070042808,-0.084307403,-0.055255358
['24'],-0.081338004,-0.089976401,-0.079058987,-0.087079164,-0.070888055,-0.088715543,-0.071657896,-0.075682236,-0.071626148,-0.067312739,-0.100817972,-0.07892209,-0.101101858,-0.068774882,-0.05078,-0.029703108,-0.110417246,-0.064409783,-0.091753102,-0.080938,-0.087502799,-0.08715472,-0.062923691,-0.064272671,-0.070819172,-0.061037918,-0.073719255,-0.067409999,-0.082221596,-0.07206641,-0.060012375,-0.078932567,-0.069890612,-0.064265712,-0.084182644,-0.055558337,-0.067882387,-0.080433548,-0.078646696,-0.093097826,-0.059239403,-0.072646785,-0.104945257,-0.108655608,-0.089842154,-0.050851418,-0.042565247,-0.086940049,-0.070224183,-0.030819696,-0.114010115,-0.074494635,-0.070538813,-0.080013983,-0.057735699,-0.05736037,-0.065778074,-0.077863866,-0.071445372,-0.088026115,-0.069710516,-0.070287877,-0.082838876,-0.055604932
['24'],-0.081338004,-0.089976401,-0.079058987,-0.087079164,-0.070888055,-0.088715543,-0.071657896,-0.075682236,-0.071626148,-0.067312739,-0.100817972,-0.07892209,-0.101101858,-0.068774882,-0.05078,-0.029703108,-0.110417246,-0.064409783,-0.091753102,-0.080938,-0.087502799,-0.08715472,-0.062923691,-0.064272671,-0.070819172,-0.061037918,-0.073719255,-0.067409999,-0.082221596,-0.07206641,-0.060012375,-0.078932567,-0.069890612,-0.064265712,-0.084182644,-0.055558337,-0.067882387,-0.080433548,-0.078646696,-0.093097826,-0.059239403,-0.072646785,-0.104945257,-0.108655608,-0.089842154,-0.050851418,-0.042565247,-0.086940049,-0.070224183,-0.030819696,-0.114010115,-0.074494635,-0.070538813,-0.080013983,-0.057735699,-0.05736037,-0.065778074,-0.077863866,-0.071445372,-0.088026115,-0.069710516,-0.070287877,-0.082838876,-0.055604932
['25'],-0.081383249,-0.088724225,-0.078261817,-0.086482489,-0.071482028,-0.088831387,-0.071936892,-0.076716903,-0.070322409,-0.067385798,-0.10141195,-0.078218381,-0.100616762,-0.069072976,-0.051299383,-0.029880603,-0.109081378,-0.064745945,-0.090624188,-0.079882159,-0.086249284,-0.086868763,-0.062669634,-0.065097129,-0.071364237,-0.060958995,-0.073647557,-0.068122472,-0.082321368,-0.071428629,-0.059163664,-0.078753489,-0.07129974,-0.063588536,-0.085247596,-0.054879329,-0.067428227,-0.079914805,-0.077820214,-0.092664141,-0.05844221,-0.073436754,-0.104804312,-0.108122754,-0.089581059,-0.050945892,-0.041833154,-0.086338049,-0.069250072,-0.031606129,-0.114391204,-0.075339746,-0.070331227,-0.080229044,-0.057870246,-0.057194995,-0.065415954,-0.078114976,-0.071049544,-0.087288692,-0.06891357,-0.070613327,-0.081945091,-0.055782752
['25'],-0.081383249,-0.088724225,-0.078261817,-0.086482489,-0.071482028,-0.088831387,-0.071936892,-0.076716903,-0.070322409,-0.067385798,-0.10141195,-0.078218381,-0.100616762,-0.069072976,-0.051299383,-0.029880603,-0.109081378,-0.064745945,-0.090624188,-0.079882159,-0.086249284,-0.086868763,-0.062669634,-0.065097129,-0.071364237,-0.060958995,-0.073647557,-0.068122472,-0.082321368,-0.071428629,-0.059163664,-0.078753489,-0.07129974,-0.063588536,-0.085247596,-0.054879329,-0.067428227,-0.079914805,-0.077820214,-0.092664141,-0.05844221,-0.073436754,-0.104804312,-0.108122754,-0.089581059,-0.050945892,-0.041833154,-0.086338049,-0.069250072,-0.031606129,-0.114391204,-0.075339746,-0.070331227,-0.080229044,-0.057870246,-0.057194995,-0.065415954,-0.078114976,-0.071049544,-0.087288692,-0.06891357,-0.070613327,-0.081945091,-0.055782752
['26'],-0.081395378,-0.087431696,-0.077390535,-0.085606139,-0.072365571,-0.089061132,-0.072251854,-0.077754343,-0.06894989,-0.067464106,-0.102028127,-0.077417075,-0.100194072,-0.069604042,-0.052028167,-0.030245793,-0.107798566,-0.065073583,-0.089588205,-0.078997732,-0.084888192,-0.086686289,-0.062509374,-0.06602599,-0.071746196,-0.060984597,-0.073510953,-0.068762591,-0.082485657,-0.070896046,-0.058622444,-0.078561202,-0.072938959,-0.063058488,-0.086254721,-0.054018977,-0.067135986,-0.079444564,-0.07708952,-0.092302526,-0.057802178,-0.074114585,-0.104698197,-0.107596476,-0.089240409,-0.051218821,-0.041412861,-0.085686516,-0.068309591,-0.032632997,-0.114790379,-0.076138798,-0.07020173,-0.080287428,-0.057972271,-0.057100614,-0.064973831,-0.078221981,-0.070538404,-0.086295646,-0.06822842,-0.071036284,-0.080970859,-0.055970152
['26'],-0.081395378,-0.087431696,-0.077390535,-0.085606139,-0.072365571,-0.089061132,-0.072251854,-0.077754343,-0.06894989,-0.067464106,-0.102028127,-0.077417075,-0.100194072,-0.069604042,-0.052028167,-0.030245793,-0.107798566,-0.065073583,-0.089588205,-0.078997732,-0.084888192,-0.086686289,-0.062509374,-0.06602599,-0.071746196,-0.060984597,-0.073510953,-0.068762591,-0.082485657,-0.070896046,-0.058622444,-0.078561202,-0.072938959,-0.063058488,-0.086254721,-0.054018977,-0.067135986,-0.079444564,-0.07708952,-0.092302526,-0.057802178,-0.074114585,-0.104698197,-0.107596476,-0.089240409,-0.051218821,-0.041412861,-0.085686516,-0.068309591,-0.032632997,-0.114790379,-0.076138798,-0.07020173,-0.080287428,-0.057972271,-0.057100614,-0.064973831,-0.078221981,-0.070538404,-0.086295646,-0.06822842,-0.071036284,-0.080970859,-0.055970152
['27'],-0.081409669,-0.086102696,-0.076482586,-0.08449648,-0.073491092,-0.089392901,-0.072527114,-0.078802489,-0.067551085,-0.067587706,-0.102682283,-0.076522109,-0.099799817,-0.07036779,-0.052870577,-0.030765073,-0.106597567,-0.065383966,-0.088661418,-0.078303435,-0.083463254,-0.086602244,-0.062452987,-0.067045016,-0.071988406,-0.061087709,-0.073302996,-0.069334375,-0.082703691,-0.070506355,-0.058461006,-0.078337577,-0.074771917,-0.0626683,-0.087190537,-0.053059334,-0.067010986,-0.079013743,-0.076516543,-0.092025935,-0.057338788,-0.074661073,-0.104589596,-0.107092554,-0.088809833,-0.051597414,-0.041327811,-0.085014842,-0.067417909,-0.03383191,-0.115148321,-0.076835373,-0.070164474,-0.080155071,-0.058057232,-0.057084454,-0.064477624,-0.078132288,-0.069901338,-0.085048748,-0.067681056,-0.07152399,-0.079933542,-0.056191645
