,70,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Label,A,B,B,C,A,C,A,B,A,A,B,B,A,C,B,A,B,C,B,A,C,C,B,B,A,B,B,A,B,A,A,C,B,C,C,C,C,B,A,C,B,A,C,A,C,C,C,B,B,B,C,A,C,C,A,B,A,B,B,A,A,B,C,C,C,B,B,B,B,C
['1+655'],70196.651,149058.527,145275.574,118462.206,147073.145,133887.846,153562.885,126831.677,127882.514,140263.805,138537.192,134617.255,139186.239,140527.591,0.0,271420.13,291203.059,310008.205,261247.879,264788.751,292600.35,324376.855,136168.055,121588.699,128674.48,123173.582,0.0,179538.652,121985.603,98454.074,97432.94,105451.688,79478.685,114744.467,104659.262,53766.862,109238.79,104031.616,114191.835,114926.087,96271.255,88856.045,135817.72,116296.321,158045.781,189413.715,138130.221,147451.352,156347.149,122229.668,133693.128,242536.266,137462.664,183876.719,153537.038,177408.578,107685.484,60940.294,64649.719,60300.795,66115.692,57844.572,49436.639,57725.918,43458.81,60537.439,61282.82,59887.545,57363.608,54857.326
['1+655'],70196.651,149058.527,145275.574,118462.206,147073.145,133887.846,153562.885,126831.677,127882.514,140263.805,138537.192,134617.255,139186.239,140527.591,0.0,271420.13,291203.059,310008.205,261247.879,264788.751,292600.35,324376.855,136168.055,121588.699,128674.48,123173.582,0.0,179538.652,121985.603,98454.074,97432.94,105451.688,79478.685,114744.467,104659.262,53766.862,109238.79,104031.616,114191.835,114926.087,96271.255,88856.045,135817.72,116296.321,158045.781,189413.715,138130.221,147451.352,156347.149,122229.668,133693.128,242536.266,137462.664,183876.719,153537.038,177408.578,107685.484,60940.294,64649.719,60300.795,66115.692,57844.572,49436.639,57725.918,43458.81,60537.439,61282.82,59887.545,57363.608,54857.326
['1+878'],380183.118,415907.586,358928.375,262016.85,315151.27,299938.762,400103.545,400318.111,495135.236,374450.331,371077.209,413674.252,386524.494,367479.637,0.0,420844.376,576661.195,349237.862,389257.656,475043.18,365460.301,343615.635,485981.672,422600.498,458920.702,586865.264,0.0,477083.488,623509.682,432093.584,373103.289,246135.299,340057.018,336256.246,255686.471,235558.024,219584.391,349910.704,317729.998,282925.384,431295.803,405056.698,157246.084,729896.671,438613.433,452272.698,658269.312,913151.617,728474.616,742417.707,389591.599,982173.486,422152.07,469178.875,794890.249,800387.811,480417.419,219622.4,257364.336,278263.087,243746.092,270394.471,214846.202,215517.498,180658.022,267148.201,262957.223,290664.363,337498.64,238875.407
['1+878'],380183.118,415907.586,358928.375,262016.85,315151.27,299938.762,400103.545,400318.111,495135.236,374450.331,371077.209,413674.252,386524.494,367479.637,0.0,420844.376,576661.195,349237.862,389257.656,475043.18,365460.301,343615.635,485981.672,422600.498,458920.702,586865.264,0.0,477083.488,623509.682,432093.584,373103.289,246135.299,340057.018,336256.246,255686.471,235558.024,219584.391,349910.704,317729.998,282925.384,431295.803,405056.698,157246.084,729896.671,438613.433,452272.698,658269.312,913151.617,728474.616,742417.707,389591.599,982173.486,422152.07,469178.875,794890.249,800387.811,480417.419,219622.4,257364.336,278263.087,243746.092,270394.471,214846.202,215517.498,180658.022,267148.201,262957.223,290664.363,337498.64,238875.407
['1+879'],7281484.42,9782207.01,8733864.32,8593261.73,8957912.42,8151755.33,9853835.83,9729825.5,9460182.07,8514849.37,8408730.35,9545506.57,8674896.45,8232177.28,19921.911,10285122.1,10868493.7,9117061.64,10058505.6,11533275.1,10192916.6,9583052.29,9811630.15,10205981.2,10507905.3,10470509.6,6951.205,10104354.1,11028225.9,6315573.81,6536100.31,6176221.52,6936517.95,7069351.36,6122360.08,6137461.76,5707641.47,5952296.2,6173618.88,5219748.99,5934185.63,5824860.43,6115477.56,14270940.2,12631366.3,12516605.5,12096636.7,12309642.2,11375704.2,10232562.9,11336346.1,11008881.1,10282011.7,10465213.7,8964671.47,3434472.35,0.0,6938662.72,7491495.32,7670810.12,7315216.69,6826027.02,5647409.57,6299238.16,5483862.2,5997540.23,6046057.93,6539201.94,5828187.78,5740235.52
['1+879'],7281484.42,9782207.01,8733864.32,8593261.73,8957912.42,8151755.33,9853835.83,9729825.5,9460182.07,8514849.37,8408730.35,9545506.57,8674896.45,8232177.28,19921.911,10285122.1,10868493.7,9117061.64,10058505.6,11533275.1,10192916.6,9583052.29,9811630.15,10205981.2,10507905.3,10470509.6,6951.205,10104354.1,11028225.9,6315573.81,6536100.31,6176221.52,6936517.95,7069351.36,6122360.08,6137461.76,5707641.47,5952296.2,6173618.88,5219748.99,5934185.63,5824860.43,6115477.56,14270940.2,12631366.3,12516605.5,12096636.7,12309642.2,11375704.2,10232562.9,11336346.1,11008881.1,10282011.7,10465213.7,8964671.47,3434472.35,0.0,6938662.72,7491495.32,7670810.12,7315216.69,6826027.02,5647409.57,6299238.16,5483862.2,5997540.23,6046057.93,6539201.94,5828187.78,5740235.52
['1+910'],435580.114,845864.926,612922.719,433877.878,1005332.46,458059.803,751031.699,772350.35,574193.434,723117.998,695786.78,679564.083,702305.135,531390.36,740675.508,760638.94,795116.507,393815.639,855182.603,996002.564,967807.269,761934.016,768844.191,678891.076,779799.906,693817.655,57201.157,716761.06,788717.73,513343.164,482252.019,224974.972,404176.279,244373.603,264185.574,344213.415,263933.818,485333.481,317672.449,159982.098,348020.729,241207.553,297647.702,553939.493,399749.879,327806.84,314319.615,660798.309,468151.876,506630.453,377270.565,765097.692,291262.098,362222.176,502947.945,556233.179,398328.986,412591.903,429972.847,482706.372,342950.533,428622.361,258154.703,257113.361,234146.416,405842.721,341086.014,361220.021,408961.508,450839.584
['1+910'],435580.114,845864.926,612922.719,433877.878,1005332.46,458059.803,751031.699,772350.35,574193.434,723117.998,695786.78,679564.083,702305.135,531390.36,740675.508,760638.94,795116.507,393815.639,855182.603,996002.564,967807.269,761934.016,768844.191,678891.076,779799.906,693817.655,57201.157,716761.06,788717.73,513343.164,482252.019,224974.972,404176.279,244373.603,264185.574,344213.415,263933.818,485333.481,317672.449,159982.098,348020.729,241207.553,297647.702,553939.493,399749.879,327806.84,314319.615,660798.309,468151.876,506630.453,377270.565,765097.692,291262.098,362222.176,502947.945,556233.179,398328.986,412591.903,429972.847,482706.372,342950.533,428622.361,258154.703,257113.361,234146.416,405842.721,341086.014,361220.021,408961.508,450839.584
['1+911'],8678767.97,6478747.35,4726355.66,5871597.13,4307220.74,5765315.76,5992187.82,6062272.67,7620083.54,4652369.68,4453108.28,5263090.62,5231062.41,7408616.06,110852.498,6729189.44,9169843.61,7366252.47,4892089.27,6045821.85,8105607.39,6045478.17,6271482.87,4151971.02,5962238.7,7534034.38,216503.344,7220215.81,6431671.4,6357600.73,6110361.92,7453839.45,5277060.09,8907801.13,6844049.75,6535565.46,6646700.28,3796202.5,5314896.28,6866651.22,5780257.7,4349904.96,7145217.98,7755517.91,10687205.9,9712909.39,14414812.3,8366350.19,8501227.64,5900025.72,9113245.75,461835.202,17778654.0,17500512.0,11831766.2,7480636.68,11924170.5,5689133.15,6100823.53,7714964.91,6269659.38,5021668.79,9593154.86,8035022.62,5923065.22,4705789.79,5339439.45,4845486.53,6620495.82,10252156.1
['1+911'],8678767.97,6478747.35,4726355.66,5871597.13,4307220.74,5765315.76,5992187.82,6062272.67,7620083.54,4652369.68,4453108.28,5263090.62,5231062.41,7408616.06,110852.498,6729189.44,9169843.61,7366252.47,4892089.27,6045821.85,8105607.39,6045478.17,6271482.87,4151971.02,5962238.7,7534034.38,216503.344,7220215.81,6431671.4,6357600.73,6110361.92,7453839.45,5277060.09,8907801.13,6844049.75,6535565.46,6646700.28,3796202.5,5314896.28,6866651.22,5780257.7,4349904.96,7145217.98,7755517.91,10687205.9,9712909.39,14414812.3,8366350.19,8501227.64,5900025.72,9113245.75,461835.202,17778654.0,17500512.0,11831766.2,7480636.68,11924170.5,5689133.15,6100823.53,7714964.91,6269659.38,5021668.79,9593154.86,8035022.62,5923065.22,4705789.79,5339439.45,4845486.53,6620495.82,10252156.1
['1+934'],400097.714,649041.996,608925.306,194241.05,645954.844,1080129.39,757614.174,600689.591,638484.708,710069.678,627809.328,654754.945,740687.763,243378.706,344455.986,494142.62,608792.121,319344.339,1048566.52,793011.425,181788.046,245696.385,974459.668,530452.652,667340.426,835177.353,831581.705,803593.077,691123.24,637984.772,853807.279,210935.904,639194.534,265046.376,200430.879,118004.165,263558.437,645424.04,677941.13,244017.546,615016.812,598895.083,175309.475,706941.892,0.0,358760.85,213176.212,605940.16,1255920.15,0.0,247626.82,1861548.5,26094.617,410034.397,1032362.91,640033.158,673574.537,370224.694,527303.371,663662.022,362249.361,392611.108,100923.553,310073.959,80687.692,357980.693,329775.737,245041.922,644979.362,219968.715
['1+934'],400097.714,649041.996,608925.306,194241.05,645954.844,1080129.39,757614.174,600689.591,638484.708,710069.678,627809.328,654754.945,740687.763,243378.706,344455.986,494142.62,608792.121,319344.339,1048566.52,793011.425,181788.046,245696.385,974459.668,530452.652,667340.426,835177.353,831581.705,803593.077,691123.24,637984.772,853807.279,210935.904,639194.534,265046.376,200430.879,118004.165,263558.437,645424.04,677941.13,244017.546,615016.812,598895.083,175309.475,706941.892,0.0,358760.85,213176.212,605940.16,1255920.15,0.0,247626.82,1861548.5,26094.617,410034.397,1032362.91,640033.158,673574.537,370224.694,527303.371,663662.022,362249.361,392611.108,100923.553,310073.959,80687.692,357980.693,329775.737,245041.922,644979.362,219968.715
