,men_HCW011_RPLCneg,woman_Pt122_RPLCneg,woman_HCW019_RPLCneg,woman_Pt085_RPLCneg,men_Pt007_RPLCneg,woman_Pt038_RPLCneg,woman_HCW099_RPLCneg,woman_HCW080_RPLCneg,woman_Pt070_RPLCneg,woman_Pt044_RPLCneg,woman_HCW114_RPLCneg,woman_Pt032_RPLCneg,men_HCW237_RPLCneg,men_HCW059_RPLCneg,men_Pt095_RPLCneg,men_Pt010_RPLCneg,woman_HCW035_RPLCneg,men_Pt025_RPLCneg,men_Pt089_RPLCneg,men_Pt063_RPLCneg,men_HCW574_RPLCneg,men_Pt068_RPLCneg,woman_Pt164_RPLCneg,men_Pt047_RPLCneg,men_Pt074_RPLCneg,men_Pt020_RPLCneg,men_Pt110_RPLCneg,woman_Pt036_RPLCneg,men_HCW578_RPLCneg
Label,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC
100.9298@637.15,97791.29904,294260.7164,156611.7159,290097.37899,209170.96205,229871.34702,55936.59866,280997.24798,292978.47423,276431.62772,277499.16699,154564.65012,277639.69432,113452.62877,1757236.03514,93316.41048,288753.13547,114892.10734,76108.59469,109580.84645,134385.32738,275022.98779,287323.52012,287999.55616,66497.03923,295642.82104,296781.6629,236648.29073,295637.51165
101.9273@636.52,259506.17852,438425.52345,281150.96328,469568.38117,9431.41726,11243.82425,174481.27096,15442.13062,16033.84448,439284.71074,15934.5007,284777.66553,15903.21628,263978.9186,308077.82098,171747.252,500237.50405,191563.70942,277400.88371,327977.77429,425846.79877,14938.74665,16488.1076,14813.0132,195949.70728,447419.30344,14642.57996,12077.03483,435303.99375
102.9743@635.73,37366.34349,211547.0642,47007.72227,124442.13647,68063.6559,18910.06009,14042.62807,55318.69988,122613.80608,189886.33046,163734.89714,43497.82168,101478.34676,30479.73726,56277.08516,39854.99818,179051.20233,38126.35293,17176.48542,29409.72202,40582.95655,98443.85625,149598.99276,158087.42416,15503.27358,197108.97656,128490.32881,79546.53691,201058.88347
109.9332@609.05,360730.88866,544687.97446,620681.16167,435611.02683,947332.42885,530597.5808,153432.98253,1471741.03899,680050.04677,1705054.46997,2283143.3184,658489.59754,984452.22419,493142.6045,807093.9603,330903.24653,1390574.61867,462218.25356,237322.0179,439130.24818,527880.12502,401090.6463,1268256.12079,1384085.40681,193682.74696,467871.74545,719601.98782,543427.15043,602850.50118
111.9365@636.84,87498.39546,56984.02869,70863.10883,59449.85991,66175.17873,67013.38651,58894.59347,50936.85277,62029.01837,57129.99992,57782.28793,71081.9603,60067.36842,76820.80886,70326.37118,89636.55884,61901.55219,85474.31216,85168.0526,80172.08491,74093.41996,57989.50026,56250.12879,58276.9107,74864.3894,59799.97571,60382.03922,62354.39292,57178.47167
112.9375@28.1,36992.85827,36038.20607,37936.57681,16270.8342,9354.66212,36474.49426,12201.21138,7471.599,34209.45231,63782.16277,43024.70972,67297.87866,1482.28319,14468.16556,80549.41991,9469.08529,5319.16732,72864.26999,21603.48767,71992.23329,70865.75859,101848.67824,888.56329,5484.48631,22676.13697,125177.12255,164849.84759,73519.66397,30623.09769
112.9535@634.39,28513.53355,26483.77525,63809.24368,28880.36953,29428.82575,71809.77217,41978.68837,29458.88068,28313.19686,29425.72535,49760.00817,63284.18134,72052.66714,57640.94654,67234.48742,54416.17277,78712.91281,60489.54769,53240.02699,62281.84528,63963.45491,69819.20628,27892.26428,76426.0471,53667.68772,73281.4493,28258.72599,68790.96059,26244.31954
114.9364@636.17,6974066.27611,4386104.87779,5967389.73988,5144385.49564,6079911.64579,6014696.3891,12317004.03299,2663905.76219,5348438.0996,3934422.93034,3067229.63837,6190734.18984,5359413.20812,6815947.48238,5909970.33,6824970.60956,5282799.77582,6942914.33449,6728088.51954,5788179.00205,6784569.82861,5993742.6221,4694058.00757,3923476.92917,6905461.57652,4985163.19836,3125245.94217,5952521.19236,4030548.70768
115.0431@637.21,13914.27887,20249.43062,13467.18247,15156.89849,18383.83351,19163.80545,7838.72717,18257.61414,18806.03805,16129.08873,17672.30776,17147.58099,9710.17365,11879.96845,17968.63182,8670.3997,20698.40479,13632.06471,8622.49606,12822.04512,13435.21943,14919.79992,18668.41419,16954.39921,8808.03965,21781.1187,17825.03642,18455.45986,17088.13512
115.9197@608.14,692623.75273,3034498.99264,88864.91361,1649178.46364,971300.80171,1428624.50594,337292.14166,794518.3929,959884.09677,3142299.11904,1607006.40743,1035640.73425,1235183.8794,68464.85145,1170289.20776,553691.81229,999924.83757,559010.667,1005489.09223,1572780.14066,767144.74299,1418650.48547,2280043.08809,1153604.68707,178351.37048,1215873.15609,2673689.41707,2274263.67508,1205328.04977
