,men_HCW011_RPLCneg,woman_Pt122_RPLCneg,woman_HCW019_RPLCneg,woman_Pt085_RPLCneg,men_Pt007_RPLCneg,woman_Pt038_RPLCneg,woman_HCW099_RPLCneg,woman_HCW080_RPLCneg,woman_Pt070_RPLCneg,woman_Pt044_RPLCneg,woman_HCW114_RPLCneg,woman_Pt032_RPLCneg,men_HCW237_RPLCneg,men_HCW059_RPLCneg,men_Pt095_RPLCneg,men_Pt010_RPLCneg,woman_HCW035_RPLCneg,men_Pt025_RPLCneg,men_Pt089_RPLCneg,men_Pt063_RPLCneg,men_HCW574_RPLCneg,men_Pt068_RPLCneg,woman_Pt164_RPLCneg,men_Pt047_RPLCneg,men_Pt074_RPLCneg,men_Pt020_RPLCneg,men_Pt110_RPLCneg,woman_Pt036_RPLCneg,men_HCW578_RPLCneg
Label,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,COVID,COVID,COVID,HC
553.3321@377.58,66592.50381,56867.71331,91803.57579,15135.93677,193682.01987,43834.32185,126969.44513,83720.1911,42125.48499,76186.37838,40732.33137,65066.99281,47157.01718,46582.87156,20144.30748,16917.89974,32285.72334,49804.67995,22879.33845,11424.73997,89338.00596,29550.1264,21902.71741,2802.19001,31258.69005,36634.39792,58343.95681,26673.02479,85657.84327
641.5536@488.26,6892.86591,24410.49573,15731.4258,13967.2331,36375.29467,40784.99739,23841.90189,9542.56353,28781.38229,8863.29168,26956.22604,30957.45649,10452.81996,19051.91301,30835.64488,25364.84199,2544.62727,33456.79592,21497.30018,51751.11013,24458.78634,22874.49119,30659.32572,9668.40073,30129.99023,21854.36774,26762.7257,34223.27486,8188.28757
309.2794@532.6,497503.1244,1873795.12267,466394.79096,644075.15719,2588630.90667,3422034.80245,2036169.11232,454471.32983,2045136.5974,696104.68034,1263320.78853,1978335.97519,538330.12254,983971.39455,2567814.96363,1298981.31635,155643.84302,1402263.15036,1156050.5664,3247657.18536,921424.00424,1742779.12279,1955035.55662,466166.64692,1831651.44565,1502331.62018,1146467.48057,2005927.6142,811824.78374
361.1901@438.65,5711.32943,15045.74358,4521.95054,8813.17767,13920.36605,15084.40256,7560.12398,8564.32763,15494.19805,7089.8982,12580.63367,8257.21603,4305.68147,9050.55996,14064.03044,9300.96658,3058.77296,9531.99423,14010.87937,17535.09532,6879.69862,12150.82708,17741.27506,5971.84792,4830.1321,18541.08544,14028.18636,7868.262,7445.95866
379.2316@488.08,19775.57259,32633.71321,21193.69961,19229.16646,47512.91277,45636.12759,29093.385,20109.81461,43953.88314,22297.93674,45223.1019,38774.9837,24882.50152,27568.89065,39593.11406,34952.72165,9301.96597,37635.2132,27687.22382,43071.5905,35514.47847,34072.60468,35362.0034,23475.20746,31483.03012,33256.76114,32849.18282,39793.87472,21198.21408
267.2324@460.18,202059.21053,787845.88566,329895.74761,358905.08388,1046754.63665,966258.38236,241831.26676,193773.5037,782746.84037,199256.11775,706050.98057,648177.0069,269278.60334,381409.20028,368714.48987,333685.16493,114317.06846,781414.91702,306617.91992,1128552.8967,432196.90536,506598.97452,1423312.42376,195129.53757,563842.28129,458680.75665,710733.24147,1031312.87633,311508.20473
310.2826@532.64,108209.08949,422191.40999,100703.10912,138571.94978,580985.16089,779494.94102,455644.26025,99112.72015,453157.64435,149338.63854,276755.7033,441013.75712,117284.24781,220495.44602,575869.23171,284686.89252,34466.92933,305977.4243,252751.497,731142.33999,200888.82146,381327.74142,436938.81745,94251.5895,404333.36945,334852.0618,250854.00131,443917.00585,172884.95867
618.7367@154.93,18430.91138,79896.65403,20926.68886,21353.43936,62870.90524,70440.73299,31198.97708,41237.14628,127140.99861,67945.72736,46691.7781,74431.70704,9442.15934,58088.34311,43592.02674,52675.30708,4164.7658,24246.85614,30596.53332,67238.35683,21571.53198,53853.93266,59269.03364,19961.56779,26335.32783,57403.91209,24816.69617,39678.78151,42855.38154
308.2675@497.04,190698.86163,992344.66063,281102.54178,377733.08463,1132722.50794,1244047.12934,410719.28023,270613.20899,1101078.85858,349625.30136,1030562.17242,911255.63694,265108.15759,620007.39667,1350691.30128,482309.63368,46437.84121,735597.56115,565570.55867,2830666.48611,515662.51535,967090.32264,1126865.22609,272927.81578,1063812.76192,1106983.97686,1000668.20882,991947.89337,443607.37267
347.2195@446.92,32366.1779,250851.952,67192.54046,98697.56965,273564.24072,403708.13535,119042.92008,48862.09243,335118.28498,76236.3696,227467.95014,210632.86645,55911.51479,119510.28071,230334.29858,130138.4534,10205.00315,159828.37566,102775.37312,574788.24044,127046.14855,222468.72178,323816.8554,48305.83469,177548.20147,248344.94786,249101.29111,284882.54138,72840.33496
241.2168@447.82,271385.29523,552934.68745,834214.74593,331968.69123,684404.26452,612233.59339,408762.45545,269863.30707,674262.39599,282153.1511,497782.92896,419575.64448,307029.35472,360345.52055,415690.37069,444580.58076,242882.0691,489417.24734,405439.71515,689087.91306,434120.72325,458969.26296,836465.18467,235911.80095,538386.55794,527615.29797,445209.02623,472272.7454,312999.51169
313.1672@358.51,299517.18232,309632.98069,366111.99628,333351.16291,327282.1307,303197.55473,363460.88777,328241.28529,339792.01758,277769.64131,283519.95878,285874.22938,343377.33539,365966.67322,359130.34512,330071.8906,332023.06296,280851.96103,293244.71719,387464.38947,366622.80749,276374.78862,338875.95742,316356.6706,290621.70305,291681.89847,319312.75515,316484.71888,276694.41089
348.2227@446.92,6331.59767,49568.53748,13061.84969,18556.24924,52949.92938,76732.55108,23689.44459,8853.34717,65958.1848,13556.08097,43242.11096,40333.98263,10209.19818,21279.28618,45684.09062,26102.53915,1040.53775,31770.05329,19499.68996,111813.23426,25323.44409,43262.59053,63416.82886,8773.10024,34353.9919,49111.71142,49784.1521,54726.86615,13811.78958
164.071@127.85,195734.19846,269574.27875,257551.98824,127115.51976,326284.15449,312543.37193,322933.52214,211303.76679,362954.52403,265095.95264,263532.63028,260318.41953,81392.12713,188557.8966,276389.26134,349464.27389,62078.09926,328605.72026,355362.33603,272846.6301,245658.33415,442187.53848,325237.89568,87853.96824,270521.71065,481556.66452,318767.16057,249386.2651,306504.12204
307.2642@497.01,887531.85946,4449617.79455,1289032.54529,1716436.37462,5045502.05595,5544330.68902,1853144.78327,1249157.46117,4937869.08526,1589629.53079,4580219.43326,4069526.99565,1227679.0929,2729160.72746,6014881.23482,2157803.9811,228798.87051,3304232.78403,2535475.88411,12792089.76958,2301376.92652,4316615.71046,5081739.01782,1242618.10443,4724762.13679,4930007.94448,4456846.003,4550397.31935,1999761.79468
272.2305@359.86,12302.91129,17849.1422,23411.38358,11138.7174,17980.39464,28268.52317,14334.3386,11670.33449,20864.14973,13418.6099,16487.869,18701.55764,9315.80297,17527.82013,17628.86896,15701.13785,5249.55053,17856.64454,13577.52134,18433.56169,19671.83984,19662.72007,19270.74613,7835.94987,15806.16521,26264.2829,26086.6257,24881.40866,17578.39571
902.7688@479.29,23666.62889,42569.57487,30562.75272,35694.27436,55059.03858,57236.11308,34260.15089,14976.44931,49601.33885,20846.80699,41640.96271,36433.70003,20688.34395,32305.12951,45872.64064,32181.72876,11290.74576,38924.30832,38280.57454,69729.00311,46114.57393,29336.30886,54817.02075,21607.76837,43876.43897,28181.01198,32041.07224,35790.82067,23376.79766
257.4459@478.71,18079.9779,152623.36357,169414.20258,323415.17155,456474.98393,975505.52246,47067.2239,173132.26808,458521.80916,127026.85595,145800.61147,281763.07109,55381.22085,179715.14133,148556.82028,150954.03614,844.44777,325255.22581,149336.42633,498940.88879,201800.81523,135101.1811,346388.85182,21259.72245,344741.1618,352922.34409,153850.39537,245642.3834,141341.54739
315.1881@478.99,30942.27159,39167.5364,33282.70869,30244.09221,49330.44275,57694.63006,42275.78032,27316.29975,42857.50915,25133.82974,46576.77905,47019.96051,24189.45207,42472.46136,51006.76055,46477.8076,17221.52204,59312.27993,44962.40613,79808.68733,41073.08959,35391.07225,49805.19881,25088.23218,55271.32953,39646.89132,42698.289,43230.83653,22054.70693
268.2355@460.18,32854.86824,146609.11699,69440.4262,63829.4113,196145.2977,181477.24335,45325.33615,34865.59901,145727.29382,37047.434,131619.33435,119717.10537,47678.80579,70005.70709,67888.86348,62218.849,19107.76021,146884.58323,56089.2096,210278.04001,79780.64599,92048.03408,275024.75212,33723.23911,97355.75594,84915.44066,130693.93054,185551.14517,56511.27155
605.3639@406.72,279212.646,264148.85597,220544.08268,73484.39917,474933.18199,278274.1061,375283.97512,402042.98669,218638.08479,254561.27765,388767.1046,157554.26639,225521.42811,163918.40487,93145.78254,62592.99193,79732.86604,98126.837,161840.17967,59513.8778,275445.36829,136913.6227,64597.2902,33246.04127,104327.80493,381373.96565,187691.39611,75267.12639,692300.11321
552.3291@377.54,239170.36077,218821.97552,327740.99854,56157.91056,698177.79304,445660.00509,445253.98943,314103.76733,166928.52171,296380.39143,388251.98683,270963.40179,187250.19343,164056.99975,76254.51361,69980.5044,123152.15969,210620.80146,84821.59021,45592.31394,340964.34598,110467.38302,83541.54993,10968.26669,132790.39804,139479.91012,263061.82216,91302.96829,313147.20598
269.2487@497.68,1333822.04334,2872904.6586,3105231.40023,1444201.50356,4176686.77923,2987747.89515,1299492.12814,1367433.09354,3000616.90112,1336882.29221,2835124.52728,1930445.32108,1435142.3739,1904831.85154,2120273.92046,2187445.77834,1091978.30689,2512846.09878,1553165.61536,3832855.95896,2558809.76999,2425490.98668,4479208.81372,1095174.27163,2783425.00575,2225964.73431,2444689.22716,3099989.91519,1864985.4758
604.361@406.74,888189.065,830729.92343,694611.58708,236142.10789,1498814.61379,880448.499,1169597.80893,1254125.47916,691665.42333,798089.58125,1225774.20203,465660.561,724170.22332,522413.33981,303349.9682,202666.31759,263406.95837,353436.39462,518283.70834,191051.81592,867664.51922,474606.78535,204900.78941,106870.95842,382773.46653,1201683.61956,656856.80257,247882.24649,2147707.47258
313.2555@482.46,416230.04269,186078.29866,104105.08838,286226.76432,203104.94308,200836.61955,286480.24648,346977.2604,213820.13294,221229.85735,224833.32814,278548.8444,262986.3677,283169.3227,236204.96038,265418.92726,311068.63231,260006.60793,292016.64475,254092.53375,258034.75907,231011.06618,182658.9646,262454.45283,170344.44061,178559.85469,230137.85588,212549.53754,226900.324
347.2766@488.18,39077.67498,62091.15685,45909.18524,45700.60635,64938.88033,70773.44067,42273.31627,53616.11066,61174.65729,42939.05434,74134.32976,60988.85243,43017.5906,53571.59685,66770.78291,57612.36741,30352.14676,62943.76913,45880.4039,81823.66663,60007.95683,57633.70435,73087.77776,47720.22014,55450.12551,64447.88729,70958.00696,73930.61007,42456.18215
530.3236@406.53,269880.97983,274123.76574,204731.96786,67962.67758,402771.43429,284322.45215,388138.52262,362988.16741,218109.96901,246781.65451,389428.00782,150923.71151,235316.54436,163252.83273,96992.48476,63814.07285,72022.68914,98978.12198,165733.38565,55627.90139,277711.57857,136033.14199,57663.2543,34863.33567,106534.86941,386583.54201,185704.24211,67283.71139,703159.54252
501.2408@481.73,48359.43735,28774.26375,33227.61031,32881.88251,27336.6294,26689.05913,39857.27423,57377.70643,22027.96911,37689.47472,49601.72127,36639.55431,34977.5092,46588.9398,35613.1609,43931.56302,55957.48283,40315.45443,18172.96685,35103.8827,42023.12292,15639.82078,29506.64565,46461.93212,29226.32987,31125.09716,37521.20964,39530.50122,22403.3877
903.773@479.26,9123.91463,15065.85539,10788.97978,11765.46907,20315.58819,22061.55453,12361.19479,5516.56901,16967.87745,5228.61804,14254.80655,13545.92189,7735.12466,11851.62716,15545.13032,11415.19276,3901.59907,16031.2395,14648.12702,26120.35991,15476.22386,10229.25357,20719.54519,5959.82708,17030.10585,10394.21611,11841.66825,13624.97883,6775.77233
285.5937@487.98,122835.73793,917327.80798,260761.73198,361322.92801,1114321.60651,917355.20393,437511.48824,171556.87003,1081936.76489,224720.96172,315110.0346,679263.00702,287756.05101,377592.05418,356676.34987,461138.64818,1688.26608,358061.4455,390815.00658,1016345.50732,246056.08936,309224.31875,922577.85657,180422.85026,327054.46461,647381.30153,324945.05499,1057976.73864,132374.62773
614.5259@488.29,1034938.12929,1665293.87186,1331556.94889,1175605.22262,2465568.54348,2497785.2635,1942594.37101,895213.29381,2056277.5617,858262.12281,1780675.67783,2147680.54523,1016060.84339,1672810.65485,2000374.82637,1990685.54241,385958.29438,2267614.29472,1722165.60838,3218634.6832,1823578.1516,1669255.02395,2191777.93917,903723.52766,2341792.73332,1570887.37851,1802351.8673,2229473.95621,965168.85403
571.5187@487.96,1043.00844,16354.86727,2969.68063,6469.07617,20339.6205,26851.30596,8984.57825,4114.9453,17845.14908,2448.47532,16932.12429,14797.76744,5095.76502,9224.07537,13671.18588,10863.96103,106.71682,16819.34651,6296.14183,33321.20015,9436.60029,12524.30841,25595.48627,3921.96575,10789.01123,14897.82651,15922.05697,22206.96667,1959.09368
819.5617@514.45,1778720.84831,4052903.28984,2794586.89034,6070317.44626,3814269.45064,2864793.76007,4691397.78154,1747730.83711,5944656.87183,98164.06297,296698.2993,1792425.16186,5645600.47042,1961223.76113,2886579.27592,1406947.41657,4436351.05977,84650.473,1556222.02851,2251695.65623,5372877.70217,2533904.41989,1131303.6451,6517416.22261,5054263.69946,2755610.91997,5457285.34422,3220952.544,2643141.04638
590.3448@406.57,240323.54924,246037.09725,183251.94241,62768.62613,434355.71419,247421.48356,359060.42737,345901.53895,193350.17125,240890.75219,362179.60436,138265.10652,208996.36047,157333.96006,90882.09213,57957.45813,66285.76268,89492.17869,145721.30799,57249.29443,256699.2205,122603.41608,56256.92179,31082.13713,97061.11603,354269.89467,164994.94629,62852.99084,651269.91948
610.4077@498.88,15527.21866,6206.52889,10116.67824,1159.2196,5857.11765,4746.89167,9140.80178,13626.09401,1593.97889,10447.79677,9543.48083,4835.24561,1324.53887,5327.08393,8294.66072,3441.33705,10887.50243,1884.02335,6474.37885,2246.39521,19800.95779,2710.04554,743.50502,468.77738,2115.23115,4431.11562,5762.10286,2287.02343,10391.99015
715.5086@498.83,34331.39767,189259.52073,148365.98304,11348.32053,86988.20352,198087.0331,480673.59659,140105.01365,111823.42824,141834.09353,121385.61579,86686.28848,153873.18113,121237.85216,105018.07006,143606.92192,402660.98777,69456.65249,55622.17436,134873.69225,108960.35114,75018.5445,117599.88566,16904.81927,108847.81444,124201.93448,137236.98168,133745.35232,198542.54275
654.4754@488.03,30735.71377,99775.38781,29078.84326,48459.07193,101294.30158,129619.7898,63360.64792,55552.42798,88538.06191,37220.859,127309.77231,85964.54379,32787.41213,61973.18999,110779.9544,76304.65362,7524.32991,110456.10404,56871.34845,212159.97206,79252.28961,68698.88204,132014.37639,50994.3115,70788.48179,93166.7212,107920.84925,126534.40731,34700.81685
905.6975@487.91,1925.75824,15389.29458,2680.30785,4302.34427,18752.00696,24038.7098,10632.69426,5131.40117,15777.17012,3857.05722,18303.83682,15367.47215,2025.11286,7739.71068,19060.15804,12126.32009,136.67701,19594.50592,13596.38204,45326.48878,13189.2908,9594.54868,22217.01603,3123.54663,10659.25402,13996.82604,16639.59857,22459.63207,3084.57156
281.24@446.92,130406.13917,1012757.88445,235237.16334,374411.8657,1083026.20837,1624495.21096,516217.03324,182152.49107,1343552.00348,286621.44591,934351.66651,854235.73243,211538.14328,456819.08169,944616.19454,532337.54604,36422.13418,640825.29696,443961.01454,2520643.57999,522333.64972,900235.77866,1318400.79232,186241.24294,727806.3539,1024745.31186,1000427.50009,1145288.85277,268576.10666
343.2271@340.17,10346.49549,37174.26887,11655.19072,23969.48091,27616.00213,30002.43101,9774.43182,5686.13479,41936.57936,10904.17084,13258.30012,23738.26811,4715.33373,8584.00861,46295.39767,15069.73626,5571.49712,34117.80295,49101.71195,81699.35358,37093.89679,38887.35886,46030.83953,7300.31398,23741.8222,60573.99936,18377.01783,13064.97672,4127.34972
813.6828@478.76,9132.68505,77184.83439,28916.64408,26817.91186,106288.1755,146131.83653,26579.64354,20150.11074,103628.76833,16986.05128,95002.23817,62003.05223,15735.06685,40367.92915,83896.358,36892.82196,32641.20279,98558.05493,34529.72991,209653.11226,46935.11888,53433.39096,128859.06367,14686.79163,74130.49303,78749.87409,99943.98293,84841.56123,16540.3455
727.6058@488.51,69692.13413,125122.11622,91782.46342,86626.56664,173210.48273,176469.19897,116546.26939,54179.16633,143965.52175,44104.43443,125877.73158,122108.84087,71047.79949,109561.49617,140603.62101,136593.66989,15169.90823,133819.66732,107400.02964,203545.4382,131507.63724,115699.45617,147336.81748,54537.99962,147221.04317,118460.88068,127847.1293,158069.41488,64801.88819
891.7303@487.99,25220.70799,174288.91214,29826.87763,57485.84233,183618.70237,273728.60177,94625.71165,55870.67354,164046.77887,38945.00805,211138.04318,151070.4514,33885.44263,84227.05214,182237.00741,119194.3057,2377.1851,179233.72554,85522.88902,445140.1625,123215.33625,114497.14648,250933.4362,46683.52766,121183.26186,155287.37247,179080.41025,250179.8131,38383.86058
890.7272@487.97,81132.57968,576895.35357,103722.0244,203478.93852,644914.2124,905930.63307,339638.94725,190961.98235,575745.93353,131960.95345,730489.47703,527179.14987,118626.06732,301244.64816,625235.43688,391755.75069,8067.16083,615714.82385,266052.17006,1440410.32837,418234.85805,399127.23214,869838.71555,161205.48766,412972.74988,541422.28055,620625.88421,832655.21312,138403.37627
587.505@479.42,1653761.54105,2147517.03479,2165888.7602,1797468.55193,3061588.58552,3560071.44184,2505469.67456,1397507.10921,2907178.70633,1297083.96345,2214654.41619,2604598.70772,1609463.14956,2392065.5592,2773028.45882,2525510.695,836614.42857,2991311.17491,2598191.01552,4266660.19794,2360725.18884,3185081.93479,2640998.52344,1348336.75112,3357510.93285,2190128.31643,2564045.6528,2625009.34197,1398454.09916
653.4724@488.03,92793.03753,282636.92943,92268.32157,139912.74535,293323.5552,365132.33093,184777.08128,160969.84053,260806.08234,103407.83058,355858.14278,241483.01338,100740.84174,179367.17068,307765.64251,221872.40556,28348.4422,306099.15011,166371.058,585741.32198,231229.87677,196056.98951,369220.50065,147013.71532,213528.59489,268239.79422,302119.32968,357949.00951,102601.30208
893.6768@478.8,148177.78325,64003.67583,37336.36973,34873.15438,75522.64029,96026.3192,39146.07364,47074.26647,76223.6908,30641.03686,101164.73108,57149.5329,27369.12309,51802.46038,78794.51336,53367.05876,11302.26312,93881.61504,45852.65505,141231.04331,63615.10143,52761.90351,97574.5676,32345.28152,59261.10484,69674.92946,97176.76372,72671.54767,24813.84354
601.5217@497.49,90117.12646,126787.73291,180030.0136,72916.67448,239134.2306,160648.73829,110218.86372,66149.45451,156945.21637,67307.14426,134265.39386,116206.7695,71663.92415,119578.8049,134090.13398,167853.78897,52353.98424,166126.82819,116513.38005,263589.7814,162077.24865,111547.1923,229349.99704,56436.10899,207937.79537,98940.64453,118470.07746,163907.23894,85181.54805
887.7087@479.24,7760.52205,23772.97451,6851.90164,11987.28762,24766.02471,33737.37713,12176.20377,11276.87057,20690.34968,9672.15509,29393.41608,18965.04825,6319.65025,11363.72428,25353.68954,13574.52308,4949.75493,28215.21183,13132.89438,64776.9617,16653.38596,12334.07116,34405.90914,8763.80111,22060.54721,20777.92273,28004.54318,24587.43024,7140.43693
306.2513@513.71,78644.79939,146316.4005,151829.29434,69532.09161,72250.47237,164101.37439,171008.98778,74613.66491,67385.21339,144889.73217,150789.43004,147516.14612,143894.16857,78413.29745,167175.02837,175704.78944,76292.25737,157368.8377,176431.30016,170765.76491,165965.94992,148464.95247,160614.87203,151075.01343,173657.69312,72017.18717,72090.59447,156920.39765,140412.21135
879.6611@478.71,196631.32247,52509.98932,23982.93056,25482.39235,68092.14122,81438.40102,26381.29617,26660.19754,63896.8526,16858.63017,75449.16915,48096.82082,15974.34885,40355.71276,64629.61937,36426.17122,3296.04796,74830.53628,26197.70676,129214.74553,52070.63372,37610.01303,84271.29954,19037.67256,51057.51761,60525.05384,75893.71088,61239.9151,14206.30316
606.3595@406.62,76038.67852,82244.20246,58953.08168,20955.20538,142606.80502,85268.68301,113058.58263,108842.50094,65154.24804,79319.25583,118491.41943,44702.45893,69979.96637,52149.14257,28181.2103,19571.64967,21222.10712,30346.23177,48405.51756,17579.68984,82417.19228,38887.00257,16571.52373,9057.88887,32060.37803,113090.07352,56899.04807,20710.47382,215221.15097
776.5992@493.07,246578.515,282337.21271,55487.22562,329729.90353,47606.9414,93621.1431,1590522.95117,2723765.07272,309313.31911,192439.14369,28016.80806,233326.65242,37732.71725,186044.71095,391743.50292,67412.94671,515325.93589,100722.64669,117437.60566,270387.7938,466456.08414,329111.36715,141395.46052,123592.18013,96744.80214,453197.15762,202043.04956,241738.62781,68137.56216
295.188@415.14,1868.76781,7447.80045,8269.33195,3796.37548,14985.70198,14175.08253,6156.95794,2468.44783,10842.37341,3593.89825,7031.77236,5187.85498,5333.82032,3544.32371,5398.04228,2670.89908,1747.62277,6439.04875,4992.00982,10257.18693,4790.60161,6069.6259,14348.82343,2396.29517,7460.68758,7828.59004,8614.25991,8204.89117,2971.97316
213.0148@523.98,7414472.59874,5321097.49052,3443323.64377,5219637.7862,4094351.41917,4545486.65326,14042114.49404,5436238.34039,2830214.38096,5225532.97663,5444826.93424,4450669.1178,4849972.58448,3678483.36483,2982560.34288,4114799.95065,5331058.08202,5746458.77047,4290996.78781,3759980.97757,6325725.44492,5483045.73098,3293457.04122,5280655.5612,4366804.1307,5279332.20143,3474293.98879,2674274.65505,5259035.73647
591.3482@406.55,71392.76751,78000.82658,54448.27171,19140.25908,109015.79554,73377.99108,105699.96072,103243.96994,57805.20879,69146.09068,109509.79531,42446.15943,61815.50078,46066.58698,28385.80754,17481.14911,19066.57896,27391.64536,44804.89007,16614.18476,75141.6349,37406.61666,15308.61665,9058.82224,29707.93026,105552.79831,48958.48155,19659.9569,198535.40494
284.4203@488.01,103459.20161,795136.32237,208217.45337,281324.91993,907116.53765,13937.87866,416876.27337,190688.01342,892841.47617,243957.04546,667509.98679,573908.13183,243233.28669,324707.31213,660406.8295,422928.05704,2400.73385,139716.53873,334934.6161,1018947.51297,455783.89584,610656.89391,1003291.85657,178772.14321,553538.32057,679432.74169,539735.58955,887484.61251,291085.12186
585.7303@487.98,50273.45305,174338.5594,126837.59486,221231.36941,237553.62843,826312.81156,343459.23115,97377.75517,218256.77381,121487.36525,526107.92181,182227.14757,25009.6775,64031.04164,530981.29486,93020.87774,685.81546,179309.25177,262375.54561,375980.86282,91928.3327,436734.77005,268406.84529,43260.559,430816.42642,142528.20121,506000.74349,251203.98024,153705.95205
588.5098@479.38,674002.8794,901299.43269,905179.28903,742362.12639,1278339.37011,1571284.05197,1076128.75149,579791.07109,1245295.31575,524093.01537,907389.04448,1068955.88202,665296.97684,1012524.05285,1180837.81531,1046221.27926,327788.14578,1244034.41261,1063380.87502,1847856.58206,967425.76351,962999.85902,1114834.92771,558523.3755,1390221.10382,897459.40117,1047542.95729,1085380.16497,553967.25439
281.4187@515.83,280924.44374,526994.48189,284170.98138,265099.64477,697442.43657,823259.01409,515310.58392,274471.84708,563333.91682,215842.53487,468370.69674,454331.284,197567.97659,384307.45413,480186.66329,531719.02684,238346.43222,549090.1508,437449.56317,1098661.27428,395029.78803,377853.49975,775066.9495,254408.24311,605157.1602,468379.06112,475602.17545,622273.71072,256421.75654
307.2544@464.79,7161.01964,27186.87429,11437.16186,9174.83423,53873.25106,50121.04299,17206.68923,10960.82805,36557.99073,9560.59002,30533.66188,22291.47611,11793.79051,13789.07526,21466.17859,10897.83959,2056.64108,19085.15064,18247.40992,39895.99518,20413.67788,23760.99749,23050.90127,4367.88547,27556.81054,39939.40291,24338.67058,15357.15795,17585.8639
449.3111@520.26,392369.37442,309305.70115,340149.90411,440277.54289,421237.27228,326298.23375,543613.02691,408528.23378,404860.94764,390051.00637,301377.95128,367774.65704,341705.65958,326258.71882,312406.02293,388743.03881,405513.38157,339595.52411,394176.91941,328290.28865,368678.88857,292778.36847,321730.52141,377570.8419,355124.63325,292716.12813,305542.01513,319718.61896,276882.592
589.5097@479.35,204739.29904,264010.42794,269447.90477,217409.56116,384069.7146,460918.94645,318103.50223,168564.29147,364169.89434,149169.51996,270798.29804,317386.65629,196378.07187,305625.80174,352263.62587,330016.56548,97366.84237,381074.48621,323488.92617,541513.63035,294739.4798,293529.02452,331509.66795,160661.5683,435404.7518,273694.02789,318816.97139,328517.29772,164386.16946
618.2355@154.93,47927.42833,218576.36327,51146.25824,56061.5111,163388.45077,183014.77918,83830.86215,113919.37294,335687.47787,175511.99325,112510.76212,184476.49639,29733.93282,143735.17852,111932.23502,131817.86002,11105.26788,62890.11226,77081.71886,174968.77243,59415.68474,136902.8784,152650.19248,54584.69475,66243.92282,147244.57271,67891.78049,102248.28509,105942.06426
243.2227@447.8,4395.59902,7431.30502,8440.05787,5478.22113,13255.60188,9807.10181,5590.14102,3097.72768,11314.80183,3399.87581,11419.32662,5706.56816,4324.85814,6349.96879,5892.20871,5816.68999,2655.24228,8101.60591,5011.06157,11368.03106,6222.09087,7868.221,13907.4947,2699.24758,7597.98245,8870.97685,8343.62238,7240.47774,4445.3652
617.734@154.91,72731.95277,333690.99089,73548.79815,84712.50061,246446.12638,278047.74223,127391.27641,172287.58775,485341.98917,269270.41456,179274.06795,283861.92076,42668.84044,222789.23609,171558.40067,205881.19972,20798.66098,88754.04584,117879.92198,264612.17239,83452.86292,215473.95681,232710.15271,88171.00311,99328.01411,229542.16054,95515.75222,158001.06311,168322.22481
254.2202@430,96549.24237,885658.18678,236914.12711,417905.04126,1444980.0223,1522488.48178,277770.14724,118427.7255,744508.57741,169254.47491,816836.77265,886109.10614,232059.13105,330730.2586,300372.26935,272058.13245,58024.35678,1252814.5552,245191.2029,1038838.34962,354192.88121,581243.19033,1991074.86572,152148.35963,538156.99578,545129.9637,1232020.48972,1542611.82158,170855.94347
928.7883@488.27,61174.83747,100249.15539,72593.05748,65149.45727,147826.02277,155524.03676,122507.64992,40383.31751,121772.87192,41645.3264,106928.75834,127698.74453,50696.66565,93186.79757,126246.3077,113481.32276,16204.87375,137601.485,103128.3784,207822.68247,111936.59343,89485.65295,131898.01389,45340.91493,144165.33312,84023.14912,96714.91681,122190.0588,50257.22846
615.5257@488.29,428723.9778,590952.79003,518366.28946,428250.23125,875377.12879,883465.50113,732119.18785,344283.438,729498.62715,325363.93079,637718.26524,760784.88543,388640.76276,629277.89406,722359.75378,748990.78472,182458.85124,815163.25424,661688.09253,1131669.6721,676201.4755,594022.68023,758738.56239,322811.83285,867606.49187,529174.78912,643350.32773,776345.10056,352425.92536
253.2171@430.01,559025.58549,4724747.75046,1319547.08851,2280056.50558,7771010.39346,8517177.73852,1519659.85178,679951.09983,4207736.71116,960178.50038,4353489.99825,4733980.70348,1315867.31914,1795906.21934,1656671.20233,1493305.9075,348437.68208,6733783.88669,1376437.68702,5539220.30701,1947506.12869,3112245.04031,10812369.19646,809196.3921,2899206.14363,2968838.33744,6606976.51615,8367956.45062,965106.42086
320.2205@479.12,2246.63463,4848.88967,2952.22786,5380.07017,6064.83993,8865.25143,2514.46847,3592.27807,7339.66125,3540.77185,6083.61412,4401.61752,4483.24786,3002.18364,4889.9173,3024.00417,1896.28181,4832.56857,2512.2857,5934.95186,3251.87676,6044.71038,5689.72321,2464.84914,3453.79994,4958.52665,7185.12816,6768.47088,3332.96234
251.2008@393.71,5872.79501,51518.20753,16992.63883,21377.5866,69964.48981,108187.45862,17793.51295,8375.80634,45694.58712,18238.86493,48203.00335,46820.58286,15584.87934,25072.41571,26823.2931,27141.52566,2025.65956,45714.47006,20253.20852,127281.16343,31091.00769,31636.27607,85653.56819,9537.70914,32467.97225,47359.50287,57471.64062,52748.05553,14572.93222
