,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
165.0409@129.83,37122.38918,375.60608,19.39177,11297.93732,5483.85468,2281.26691,15792.41533,20061.56388,22095.93003,2689.82272,27757.97134,480.41132,13060.50136,37081.95048,580.25635,11845.41073,22912.40132,30332.62137,31312.66714,8114.41856,445.16754,4559.6308,5044.33027,2039.11945,355.41566,31627.08009,4376.81974,244.94902,5844.7438,157.29708
660.3477@391.07,30917.67748,19089.15348,20456.80585,38605.33955,10332.63365,21836.39283,31827.94839,15294.49081,54015.89625,27715.96468,19152.45143,20205.87433,22306.92683,19338.51295,28317.16688,41352.54664,22753.32665,19617.74998,47697.4301,14447.24685,27077.98331,38477.83615,12930.27898,31918.9739,23555.48226,32721.79819,13926.45356,8418.83765,36479.2366,36006.63278
564.3301@391.04,1190425.02879,779228.48032,853784.36363,1616934.99506,413051.14421,963125.8431,1315551.23489,680015.58532,2252813.27271,1132145.2847,751111.91899,817005.25344,888099.55857,752782.91539,1175353.98806,1859312.20116,917466.39771,720016.33054,1977204.44055,597316.81079,1180702.71748,1540835.67095,490948.36214,1348442.96551,950859.99281,1407170.46034,584979.46104,371262.76145,1457706.73587,1540750.62245
578.3458@391.04,4404839.56298,2819262.23338,2910202.563,5661505.62818,1458202.17112,3309378.45414,4545765.73603,2252471.25325,7913585.20199,4144535.06532,2699840.87668,2840892.85061,3178310.88804,2730218.23907,3908156.76913,6573181.20236,3306884.09055,2622411.03208,7043296.72396,2162200.87119,4151093.62298,5692264.98837,1718235.44074,4718890.23629,3374581.10037,5195700.70835,2078414.92693,1351683.13092,5319213.61135,5351373.67332
579.349@391.04,1320354.26419,852923.5012,881845.20358,1687535.46023,441831.18192,993773.42096,1363010.79189,675264.05161,2341577.87579,1238571.25076,813447.86599,853808.34917,953573.97617,819848.93928,1170321.04641,1953870.81001,986199.55532,793426.51493,2083308.12562,657355.2554,1234166.48989,1694383.17404,521741.28942,1407997.17637,1015633.30274,1549441.95973,621470.74549,399959.70603,1586294.3848,1595422.30761
504.3089@391.04,1482059.67975,958923.06323,1019205.80207,1947734.18588,498657.19048,1148801.16637,1562320.16014,771245.98247,2690935.93942,1447745.5928,919450.81064,966454.16845,1079338.46097,934530.60864,1348425.26992,2227541.06298,1120772.11697,918133.84337,2387630.68754,735094.77398,1404017.26808,1968019.92463,584828.81368,1608461.81072,1174686.8388,1767311.9193,703811.47593,452519.10022,1799816.54226,1829318.86757
505.3118@391.03,401245.94799,257906.44749,277682.98674,524936.26846,133195.12534,312414.63532,420119.90485,205016.76207,725500.19054,385227.66228,249153.82535,260059.77669,290040.67778,253422.46588,364136.40329,602043.51836,304030.25756,247538.85989,642561.30822,197871.22406,383124.732,568887.96979,153937.16043,440437.96018,315836.32183,477568.50555,184308.90936,118831.12395,489500.24044,496990.3939
173.9855@96.75,21.78801,40.21861,37.02593,386.02244,28.41913,156.31052,131.73086,21.9934,438.86531,51.60493,23.0032,45.26192,67457.29876,230.81137,0.0,301502.23611,37.32614,11714.63907,25686.83425,35.67111,173.75023,217.24958,303.40875,347.29673,31.15249,178.00218,21352.77663,91.45746,1746.68984,17.83951
565.3329@391.04,344989.2895,225719.9093,244652.60181,476107.09415,117455.19591,282522.37037,384966.33605,195034.48528,654876.75469,330887.39845,220539.77654,238086.51827,256185.70549,217436.18459,343305.80523,543034.35842,266022.55368,213768.54114,573135.0925,168070.16484,338650.50648,444424.39002,140456.66374,395380.2316,273130.71178,409432.74437,168904.68503,102553.0182,426083.11215,449925.71967
464.2858@459.7,26609.19854,10828.61166,16153.0124,6023.24171,9070.60316,13206.15136,35279.21572,10382.09637,17960.67616,16770.40008,9074.40038,8920.51658,22423.93376,12619.82747,18541.97595,38138.71767,14380.00352,8752.93901,23337.97427,13779.28419,19927.4605,21590.04474,5042.73734,20738.07548,13524.35411,22420.20305,7320.03132,7806.32601,23688.19853,15781.04423
463.2819@459.87,52047.78502,53299.42718,76555.40461,40626.83875,41335.70202,68570.41433,173297.99756,44446.41187,86848.96624,80998.62728,37618.52114,38968.53887,99862.75928,55691.21445,92073.60384,168566.05495,62930.51698,39187.47176,111272.06659,58159.85204,96714.11057,107691.25233,22677.3787,87273.06051,77410.8125,95514.45195,30667.94785,35691.88172,111487.98264,78966.80029
677.4839@504.04,6593.17188,1225.7525,18290.38386,29191.48124,336.15968,11454.1551,34693.47361,4690.07283,17701.06814,2960.27771,1781.54601,525.99093,26861.75252,230.30309,1672.78286,17505.5109,5942.11,7442.15996,49773.16225,12116.39051,8870.26872,1952.51161,3374.81285,668.08183,236.55525,6127.29584,583.25232,407.31468,7436.92571,2871.86779
188.9852@141.2,14289.36732,6567.03532,24187.96575,53790.21762,37776.31143,23641.89714,36313.67761,1357.39593,28066.78161,509.76364,2150.6311,7418.16624,162509.06446,58969.29735,13638.7586,305378.2772,43178.19295,196446.34967,335802.19234,78195.51817,28340.81453,137081.79296,42362.31992,1947.05698,0.0,113693.74038,34160.26624,275.94712,87644.82536,60626.21434
537.2189@391.3,16101.33863,12551.55675,10213.40849,12344.31019,5515.96766,10272.75331,12595.20622,8026.02783,15027.77945,9654.09075,7923.3779,11174.5683,10707.06701,9354.01513,12316.76575,16860.98975,9130.67208,9667.87741,15290.50692,9111.4954,9742.92792,11949.33118,8132.18173,12553.54711,10263.06463,14469.06202,10021.35766,6816.29522,11475.28024,12074.69216
522.3556@484.22,12301.64336,8811.02384,14588.20734,16455.44181,6118.63559,10169.84119,36817.55946,7339.05012,29729.08132,16127.36013,9933.90739,8836.86666,22385.87517,17759.2156,17292.98987,48516.02796,11588.86788,14521.59204,39174.70845,12274.01404,20912.93103,22008.55432,5051.4568,17498.46279,9496.53509,14055.47057,8468.56782,4192.82424,57464.21927,15976.1989
327.2894@413.55,14411.96173,5201.79525,5904.83622,10941.08231,4821.58368,5974.67618,20986.12976,7823.00863,50573.30935,14955.17245,8989.02102,6315.46003,47811.35763,10680.75733,6966.87709,25550.57167,19755.35677,6954.62877,49069.30644,7176.3412,9674.3031,15229.51517,4435.65065,15006.85876,5817.21188,38759.76174,3912.71684,4095.85412,14058.49508,8247.0447
515.2375@391.17,26099.56249,21301.60908,20814.06275,31722.21459,9991.97655,23317.1158,29240.59628,16424.95048,40709.98533,24491.3677,18761.10351,18758.91918,23450.32625,19666.06899,27504.68855,31125.6101,21482.90785,20543.61964,37375.97118,17689.39676,62846.60149,32910.59393,16908.10607,30349.69078,24814.37705,33371.5206,17927.52581,10211.42853,28471.41917,29803.99182
530.3236@406.53,218109.96901,86260.39187,163942.52615,388138.52262,98978.12198,152039.18304,329322.58191,178052.15949,348802.92025,115428.07327,106534.86941,55627.90139,142531.24848,106598.74429,150923.71151,381918.08866,182974.32275,63814.07285,204731.96786,235316.54436,386583.54201,226883.4832,72022.68914,274123.76574,136033.14199,402771.43429,49399.36966,67962.67758,250843.82592,163252.83273
606.3595@406.62,65154.24804,26362.5632,49468.68725,113058.58263,30346.23177,46981.02905,97941.46992,54537.03854,103504.61605,43300.1937,32060.37803,17579.68984,59513.09329,30673.00114,44702.45893,125473.34205,58199.78986,19571.64967,58953.08168,69979.96637,113090.07352,68870.69815,21222.10712,82244.20246,38887.00257,142606.80502,15967.39195,20955.20538,67588.5298,52149.14257
570.3664@459.77,248696.59282,132662.80131,168213.38396,137896.43206,125739.58311,198182.67261,388458.19562,124561.40184,191925.40825,203085.60993,119671.80152,121350.17495,241609.30692,175525.4378,225723.32108,367022.13121,163983.13881,117235.72264,251820.47755,145420.772,210035.11274,230181.54656,61741.74999,211761.3804,162379.63619,265055.61698,77960.31927,101286.81346,278680.7563,208399.65017
204.9804@118.14,1609.27651,1694.63281,3418.98114,9625.33093,764.77892,2252.9907,65608.37294,1065.09282,1374.64803,944.95816,971.0655,1338.20743,41394.37715,10865.60335,5840.12303,116862.95475,5782.27034,1640.91697,458553.5315,36474.33191,1146.61865,8143.97178,22875.54009,8044.46765,6229.63233,5199.32938,19562.22725,1086.30217,4016.32478,3125.42693
605.3639@406.72,218638.08479,98782.63992,157916.37243,375283.97512,98126.837,150517.01332,326619.90521,197856.44859,342053.20586,143428.87154,104327.80493,59513.8778,197176.9399,101532.10631,157554.26639,417158.4487,198347.83582,62592.99193,220544.08268,225521.42811,381373.96565,242696.72864,79732.86604,264148.85597,136913.6227,474933.18199,48406.34367,73484.39917,253336.45106,163918.40487
568.3615@459.77,4264080.91375,2357911.63831,2953100.34044,2442672.48819,2214775.62145,3377155.62991,6816805.01675,2202506.37146,3381178.11775,3502506.45785,2084056.8371,2146200.50058,4230333.52447,3029593.33369,3894721.73924,6311306.4809,2876913.84875,2066036.33395,4313362.13708,2557657.88546,3656642.44789,3895249.3152,1111483.34271,3680221.54603,2805185.32388,4461589.04226,1424092.3866,1774249.95069,4781942.56641,3635462.01817
604.361@406.74,691665.42333,320013.93799,502061.30304,1169597.80893,353436.39462,478514.48194,991545.00277,619606.24894,1064375.89063,443427.65304,382773.46653,191051.81592,690102.6789,330362.134,465660.561,1312076.0803,578706.73876,202666.31759,694611.58708,724170.22332,1201683.61956,704684.99218,263406.95837,830729.92343,474606.78535,1498814.61379,163155.72866,236142.10789,797837.52515,522413.33981
522.3549@459.8,53725.37673,29421.78382,36320.43174,25157.69643,26843.31804,37110.81984,71298.85465,26491.20874,40339.64745,44261.00119,23635.18072,25607.36605,49891.74465,31895.54373,69382.91012,75690.84112,35734.0177,23300.83888,61175.80604,32278.84705,43066.09208,48896.34613,15359.51187,44589.80144,35075.02384,49336.62806,18653.38019,21998.71231,54508.08828,38962.13702
590.3448@406.57,193350.17125,80178.10774,145713.43832,359060.42737,89492.17869,140071.84653,290537.40836,168407.41464,319708.67387,126371.14906,97061.11603,57249.29443,185595.19197,98013.22926,138265.10652,350636.12063,164126.07064,57957.45813,183251.94241,208996.36047,354269.89467,206309.63051,66285.76268,246037.09725,122603.41608,434355.71419,42698.02597,62768.62613,214297.08885,157333.96006
510.3454@459.79,167057.75765,83679.50748,107183.11974,83241.63048,89322.58437,138769.39633,285787.6113,81374.21874,125349.68755,135049.61336,77926.94076,76744.67062,153143.1781,109973.76342,139649.30662,244550.3675,99945.86371,77903.82116,166930.53816,103147.16305,130777.34383,147975.44774,38769.02969,138882.66007,104294.51796,160564.02918,51031.75485,61522.30598,174875.03563,132462.02564
591.3482@406.55,57805.20879,24663.54008,43388.53641,105699.96072,27391.64536,41823.27994,86018.00795,48916.50838,94881.90799,39930.79829,29707.93026,16614.18476,54605.79155,28799.42124,42446.15943,118195.1589,48569.92638,17481.14911,54448.27171,61815.50078,105552.79831,61203.73415,19066.57896,78000.82658,37406.61666,109015.79554,8673.48326,19140.25908,65081.1826,46066.58698
569.3645@459.77,1255700.69456,695328.35021,867888.94147,716109.84646,652498.3769,1001384.0381,1966997.61347,652599.84907,992394.58042,1038306.14584,623442.29977,629866.95344,1227332.39883,896056.7384,1139820.95699,1830815.08246,845565.09712,613814.4608,1257956.66408,762360.7462,1065958.55856,1143965.38696,323697.82821,1084544.73255,829807.67577,1311592.38391,413407.13476,522053.39433,1401809.29796,1067576.41875
590.9839@525.98,11032.1422,22801.78908,20908.24805,41790.78869,25830.81274,18813.4035,25463.42869,24810.32983,12830.09699,21138.09634,37066.17167,25743.45543,14861.62598,30533.59021,27848.11617,15626.437,16874.44105,30740.65543,19004.37619,21240.7108,15364.28354,22076.41201,19460.23595,17344.8423,11604.74604,17668.90583,19483.60398,21452.57784,26447.00454,29539.16436
134.8644@136.92,233699.91548,288479.89519,252799.52617,413512.85914,286677.90529,372126.06911,302470.64885,143587.06269,271731.52378,259712.09292,377483.26463,344623.67684,194048.06501,292710.47259,251975.05682,294889.61889,269634.69674,310136.74812,274307.47018,241915.81861,254784.7342,250109.41764,252333.30047,160570.73347,332854.41034,273850.63337,254175.09834,230066.83029,297327.16266,298947.22092
141.0159@641.56,305963.99369,328247.5284,268057.08766,389553.94689,373215.32724,369252.80384,376633.06604,334718.13532,329917.94186,259774.35409,395747.28279,234898.62754,302371.93216,390588.80615,364187.72941,312646.15468,312664.74064,408515.0505,339312.49641,287306.99229,314813.12774,287207.65309,326502.25023,328496.73342,300945.91928,328055.53513,323844.72803,302965.10547,355489.92066,382474.00315
508.3403@459.85,3662019.61642,2085440.24098,2653789.62492,2036701.49418,1956696.26086,3021172.10776,5655514.9526,2028807.51644,3065061.10931,2946225.03631,1877439.32341,1721763.69611,3398825.82758,2625237.41998,3068515.90172,5390943.3397,2243144.9962,1760914.55481,4064573.53882,2330072.7098,2954043.82284,3232274.44496,882134.88966,3025743.34239,2316166.45611,3908037.15422,1307078.57684,1381823.19144,3787510.05018,3181011.25526
283.528@487.98,1689290.64756,436477.34521,66451.02891,890241.50882,388786.71995,1894478.82729,601532.68433,410118.75831,465029.52712,1627038.39462,1134662.71383,2173109.52162,313446.18526,312953.84275,404662.43898,175338.4407,1287022.3384,257964.03921,530940.1024,561235.3805,1320952.12418,993980.22758,3244.10633,443259.43412,1160470.50707,1780386.83214,5171.87469,204645.37961,1012793.94279,818533.91787
559.4702@486.62,751681.07678,938922.81939,441538.93628,662480.03435,820897.84096,1118973.99836,1033566.11526,811668.11677,578575.54757,868506.27139,840119.44758,1284386.38275,595101.94925,785185.8851,871987.55221,407105.54708,628198.74133,745842.20086,575011.21986,435064.60386,622208.86498,629253.71085,385149.27828,886638.78142,588236.93282,1126586.8149,317975.30209,539922.53568,825396.30759,590013.26613
219.0043@653.17,231429.35269,217803.92429,214787.11241,250780.10217,232066.49325,245701.62215,228734.26673,223503.22133,210212.61679,226173.19401,227101.60379,221161.63427,214967.83182,226940.50815,215945.87038,210523.75889,218107.42419,249717.99069,223470.50462,222878.59343,206611.90512,208486.08618,221001.47711,215620.57556,231502.84799,236802.74105,211137.1156,220529.57245,228779.95498,225910.74814
234.1492@415.94,75690.38641,69987.82756,70185.95765,70734.41184,71628.65842,76379.86288,80648.89276,72103.60344,73583.07467,72005.38226,74015.22848,67889.13907,69846.49781,71336.31093,68542.83715,71264.64549,68790.47073,71654.75315,69331.53005,69484.44343,68430.25597,68477.9866,68094.43397,72023.24412,71314.32139,71987.86895,68565.75342,69153.56405,72845.32841,70384.63293
664.379@459.8,85739.93308,41565.13887,53384.62889,38511.54788,41962.54337,60565.38827,112231.74606,42566.61024,33481.63592,69462.45122,37363.48676,38476.70375,71881.95889,49469.75168,66969.76221,120165.56235,47789.15101,35780.09293,82485.59916,48094.90172,63687.99041,76040.25456,21389.30792,70322.65763,54048.96954,73523.47184,27356.60022,30209.38295,82780.07214,61518.34259
582.3771@459.79,9215119.69117,4565287.43715,5835314.17167,4343017.12003,4352954.4864,6617170.44442,13862019.91044,4485019.45786,7690587.09939,7342684.86696,4037327.51492,4182398.62672,8361580.52573,5659445.77248,7468988.87221,13489570.46749,5419554.79712,3808505.63704,9125316.51631,5107002.52001,7262821.02648,9092834.77182,2132866.57296,7498088.22816,5681984.66318,8510944.03879,2866047.4967,3318189.74515,9200718.45302,6989791.58944
560.4736@486.66,247420.78622,320030.57232,175319.81906,223990.49467,283227.26182,393888.72841,354386.68081,279027.50926,182581.41895,295685.67149,292863.04301,447488.54691,193469.57791,270611.88014,281000.84149,124504.50236,203790.02439,257765.35408,190638.87217,148146.82183,189653.07379,210674.23518,172778.0066,284492.38063,189120.28774,367240.36086,133524.71735,185776.16257,259102.85263,197593.46834
517.2533@420.63,34171.27988,30596.66837,26668.06163,34339.48872,23450.26756,24768.76782,42179.02216,21068.83402,43944.41795,35838.35573,21764.62929,20057.91711,30772.92098,25654.0709,19935.0313,49169.46744,27162.76894,20988.99992,34098.73619,22320.16999,32231.25615,38748.76336,17712.24046,30134.93786,25083.43363,47296.10437,12207.97884,13538.66158,40629.59812,28423.97723
217.0026@653.02,10048098.65859,10036110.58622,9974163.15602,10999764.26181,10202864.29019,10776866.14529,10031561.19843,9862394.73677,9945244.09987,9939686.6522,10150769.12694,10263145.90475,10228669.56837,10277166.28373,10453568.43762,9895152.691,9978917.42056,10844318.14592,9871557.39105,9872336.06464,9971390.30117,9770810.31187,10013608.71912,10004550.54096,10074656.95853,10489462.31082,9940950.94336,9960489.8188,9959824.05205,9783428.13965
583.3806@459.75,2749440.64232,1371758.03617,1753579.83453,1317435.92347,1321764.97038,1995264.22419,4137406.41073,1358980.78307,2032166.45653,2202061.68352,1231951.60523,1266017.46612,2492707.2606,1708319.16182,2234771.86595,4025539.62453,1632044.14946,1160947.4958,2718557.18282,1539417.76671,2176704.9024,2406242.79145,651761.65042,2253597.15945,1715198.2049,2546992.28213,871822.27859,1011479.97481,2752727.83463,2113362.72488
584.3777@459.76,754318.05861,385964.17052,496522.81952,361134.39757,370989.09102,553637.0512,1078887.493,376562.38,556338.15401,616437.16213,340854.61929,353649.48563,695972.10913,469933.39189,614484.81589,1093810.71668,464439.89493,323130.65569,745812.41618,433931.24323,607615.04628,675477.82067,188879.7919,633249.14241,480779.93318,701831.39333,243748.41755,281947.9077,750533.72575,573310.5197
479.3552@491.32,11465.85151,53890.72266,46770.55471,23679.07784,16792.14191,37416.18383,28189.37993,18445.46486,14306.65909,13208.68492,67065.71328,19617.77498,16421.50534,18714.49141,22204.02479,8891.89362,39737.49528,26438.90529,18980.4676,11709.30065,6862.60771,14211.48494,16783.75859,14476.44804,14881.60205,21378.6329,31250.18131,13131.02822,11256.26499,27939.29622
279.2323@510.95,2623034.91157,2564992.85833,2265693.32909,2757661.32702,2465365.42747,4690369.16575,2558006.78728,2789096.47656,2303410.77542,2646517.87881,2860102.35026,4099147.89055,2103993.93061,2650155.83867,2699721.51501,1801389.52554,2352852.8937,2695130.10055,2435980.04506,2236186.22714,2405931.36949,2431124.03652,2119056.56496,2333067.03357,2482371.88413,2668385.87759,2200858.96755,2350133.88221,2557498.38079,2601492.38298
582.3758@483.95,104026.2982,57773.06902,82093.58661,66933.86089,56377.44702,82311.12622,178223.75838,56181.69136,95665.43835,89169.60999,53230.83751,59775.71289,119431.04333,81714.08156,95568.87805,212785.14735,74930.45756,56678.29207,147201.04135,72777.04879,89970.36726,104611.95095,38302.41217,98771.60897,64769.01268,103035.62741,52656.29284,49237.08929,155224.55587,97564.81007
403.3058@515.22,243486.26043,248946.83917,240235.38176,313876.54972,349880.42966,393003.35878,250302.53747,350453.22864,350736.33586,265893.14171,389054.12427,291025.82297,239305.97517,303542.81503,352570.98965,299486.70509,299859.60739,320553.4313,117648.93344,250796.92646,235278.649,251701.22136,336605.321,219545.92173,243366.11072,231396.00784,203954.11231,332082.36795,266286.65586,264547.9539
315.1881@478.99,42857.50915,44476.61255,27731.78365,42275.78032,59312.27993,71819.08883,60975.54015,43294.2685,24320.04679,52776.38474,55271.32953,79808.68733,42723.52752,47754.32919,47019.96051,24688.6812,34608.23476,46477.8076,33282.70869,24189.45207,39646.89132,35380.15618,17221.52204,39167.5364,35391.07225,49330.44275,17286.32326,30244.09221,45315.86873,42472.46136
511.348@459.74,24713.60964,12066.39584,15360.97317,11541.362,11875.85178,18572.67261,38060.43845,11997.92476,17125.61485,19445.76373,11325.86352,11203.4245,22037.46039,15929.44839,19257.15851,37411.44335,14210.70917,9274.14846,24631.34265,15140.4955,18612.19767,21924.2634,4555.56439,20742.54543,14964.65872,24147.2252,7445.4827,7520.05095,26306.05615,18509.36024
711.0195@526.57,45139.58496,43086.47519,44979.48548,75452.76774,56501.66358,83503.16662,42889.65591,47749.81255,46654.62937,51233.35553,73024.39475,55292.96553,29453.18782,63517.5251,54294.01971,37246.81249,35301.97211,66651.58711,38484.8835,45293.72083,37371.97173,50881.85814,34806.6913,37417.44994,48419.19256,45684.07122,43032.63191,42661.13052,58225.79424,51169.96441
300.2042@395.6,13045.9242,15252.07578,14003.45313,12761.066,11690.29297,13353.32945,13603.61971,11523.18209,13017.48412,13326.66777,12704.34196,12544.96203,11497.89114,12615.0541,13773.30898,11877.87546,13896.80849,12855.77674,12861.87766,12801.07106,13075.64079,12728.13023,11823.01234,13718.51409,14472.6354,12880.53785,13128.91592,12657.19596,13480.54087,12315.04925
610.4077@498.88,1593.97889,2058.98883,9393.96671,9140.80178,1884.02335,4271.91092,12697.40936,1498.64204,6952.54176,4684.14931,2115.23115,2246.39521,6124.70251,6127.08745,4835.24561,16774.93737,2563.08622,3441.33705,10116.67824,1324.53887,4431.11562,5962.42998,10887.50243,6206.52889,2710.04554,5857.11765,1527.83473,1159.2196,15900.43401,5327.08393
499.2429@421.41,3593.91636,3392.95427,3774.55341,3852.18055,2200.07541,2483.86358,6597.96456,2463.29007,6450.83559,5287.18038,1780.03502,1794.41736,4032.59662,2190.41111,3139.89713,8746.01718,3979.57196,1544.76453,5807.80916,3100.0674,4842.52061,6596.65118,1739.99753,4327.47251,3757.88289,6444.91754,1938.80876,942.84926,5020.23971,3742.11189
355.2845@444.72,6358.60122,2501.40544,1337.042,1830.87976,1618.52134,22629.56169,901.03336,789.03528,4457.65664,4039.70658,2074.02284,1452.09587,3279.09093,13227.16661,8858.04694,7767.99399,3444.21551,1627.1137,3386.41477,2692.18052,13879.21837,11216.06852,1229.16392,3897.73527,1987.62364,4803.88068,5117.37568,770.34288,4382.2955,2343.25925
442.243@406.52,22198.8201,7922.24134,16389.23883,18527.92534,7309.24222,8154.9524,23852.63727,14092.2898,29370.00685,13370.03175,6343.88035,3725.36408,20806.17368,6483.92631,10791.94661,36422.18456,18851.92304,4064.11909,15609.35116,23407.63218,37443.24473,22498.57711,8102.88618,26966.85159,13715.02409,41513.50192,5634.13352,7168.37586,17788.79764,11921.05966
281.2485@518.83,17905812.43396,17643561.56608,18269415.27909,18983676.47374,18300166.33695,19844725.97119,21330927.16279,20333185.57041,19103520.43275,21076040.84871,22010254.93433,25016305.8111,19178141.43021,22276402.88617,17159271.56012,18376189.2825,19462357.63417,20949435.98719,19063007.25953,17625590.93945,17624032.79183,19992489.16469,19230203.51839,18112334.30469,17183205.06744,18269829.26184,18624897.91935,19904737.5244,21203137.07921,20502038.78072
738.9564@518.55,12522.69242,12582.68472,12656.94415,19627.39825,14416.37559,19212.30675,14000.19637,13981.77391,13070.63942,13875.85424,20360.45826,15125.43359,12215.4613,18695.12704,14376.27915,9688.76875,10267.98665,19071.99557,13479.27022,11916.25815,10763.55991,12342.24575,11655.34165,10382.24017,11637.92372,11789.26368,11820.55796,12923.38507,15144.92166,16141.66116
316.1171@31.98,11335.79264,6960.39934,4473.96477,10555.5689,4392.7643,6676.49856,14224.59559,8461.87647,14225.72291,16252.01671,7831.70548,4438.40163,5295.96278,7593.13668,10407.41278,20408.74996,7588.93669,5800.57204,10619.41963,14292.58674,10926.37882,16198.62423,7440.52039,11836.75754,7505.82486,11248.93296,9377.54098,9325.50118,9468.53,10982.12777
461.2659@421.04,33264.93979,28155.87036,22880.43044,31799.1521,14816.43524,17005.29173,47386.88171,13693.24141,57260.95754,30272.95729,15104.96963,11570.73592,22757.17959,18094.60049,23546.64246,72640.9393,22298.36694,12923.25758,40307.31822,12186.3431,25861.31754,39344.32471,11970.89833,27449.68836,19639.95635,62638.71908,10457.92593,8429.17635,41285.75285,25214.42904
375.2292@423.18,12445.25643,9112.14848,10441.70388,6148.01926,3270.66698,5957.07352,17464.72739,8321.7762,22911.32027,14319.00444,4879.53325,5198.67823,18654.42213,5966.65753,9163.1174,46748.41245,13856.42125,5925.94195,18762.42686,9268.82577,14489.75612,21459.78952,5273.17596,15532.82386,9215.68028,18774.70041,7117.31865,5900.50788,21572.48878,17127.72547
218.0055@653.23,723098.27885,726171.4389,715795.52226,783259.82171,731836.84648,727023.30914,712605.14014,710791.45557,705332.15928,753482.11084,741149.06091,727360.2887,738348.60246,741075.948,760042.72369,714547.37301,702627.49009,782649.28671,707773.05027,708165.56425,704391.51066,707344.50654,736707.81087,726511.93049,709174.77181,713022.72488,715510.82919,744206.3217,728183.70568,706912.13672
596.391@484.05,25441.06285,17727.26385,40501.27873,38153.27619,12076.37237,25939.17189,68319.0871,14569.40904,36135.88467,28611.91958,11756.65265,30619.82645,39783.01685,29299.05706,31227.04037,104039.25991,22413.32089,18030.38303,73489.43403,24228.40444,28171.11669,42247.43071,13981.9593,31775.81695,19166.57418,24295.59512,18971.68995,10072.72706,87484.97748,32203.13679
662.3633@420.84,28974.96499,23687.22672,21612.38328,28534.83047,16491.41561,17564.81878,30633.2936,11846.41924,42479.03664,27973.10718,15788.1845,13435.40873,21629.51047,17874.65374,22245.81633,50907.99769,19498.17289,14106.35881,30785.2894,16882.44816,24199.06095,33010.15203,11056.60389,23327.66595,17830.0861,44679.07715,9449.09946,6291.6691,33813.15393,22074.24896
943.7872@507.61,1406249.61419,2432403.37241,2231400.01013,2212703.55999,2027112.56176,2164806.12344,2618287.25432,1830079.56228,2287626.52557,2492456.67456,2185255.3033,2293842.78114,1530946.9138,2880161.02762,2585711.69653,2020659.22664,1926356.70338,2981076.6677,1780375.01628,2238855.6725,1915505.71188,2263983.91645,2250459.39669,1844577.04197,2266583.29403,1811833.82101,2088434.89077,2158436.21684,2669901.05027,2742203.59988
441.2397@406.53,91868.45279,35489.55811,65299.7747,85281.80122,29176.04093,32805.71316,97367.84952,61829.58051,123540.00647,56809.96354,25070.94864,17745.10728,86158.60573,26657.55254,51310.81184,155526.0103,80319.98369,16753.11581,69512.46696,100099.39387,154583.94093,98286.78924,34148.91987,116685.15081,56346.20542,142632.54504,23657.24228,30594.82365,72124.35076,54981.67328
465.3568@374.09,81724.22869,7473.28864,21054.13127,14306.77588,51486.1185,28170.75971,23103.49652,43488.22214,96147.34724,125750.21053,109473.67482,45492.04874,210065.02305,36360.08331,67048.4958,117704.2527,17809.84181,41905.8344,57920.87747,21277.86503,223177.93328,123130.45157,6421.67249,73993.00022,147463.17225,50049.33359,23666.72553,10284.83789,166687.05957,113891.3928
665.3824@459.74,26119.58552,13597.44324,17109.96457,12601.69392,7702.07273,19827.29665,33958.6781,13228.5743,18758.81232,21486.07402,12823.83817,11767.87053,23229.79235,15798.85527,22036.7358,38982.13375,14795.6228,11265.69176,27360.25793,15069.29916,21232.91397,24203.99441,7029.2324,21055.58658,16161.97546,22400.93502,8494.45546,9702.94518,26535.6247,20820.72742
479.3187@482.55,46410.03787,57167.96325,298535.23623,199426.38785,26057.08959,77332.0351,66922.46023,35889.65208,88375.74005,44856.56315,20304.38089,23225.78591,26126.32096,19933.8869,110780.54986,145684.09694,32221.43221,40113.15322,58100.67457,40852.4786,77858.43018,31540.73408,17575.5666,103864.14221,94379.70054,27068.94223,12242.92775,15011.30831,117766.03918,54522.71222
