,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
874.7056@514.2,1886656.39695,2017474.07233,2089226.64657,2310290.86914,2218929.47281,2228458.73052,2041822.63677,2177000.32828,2037340.54263,2193112.4132,2435673.31226,2372671.62699,1758195.43373,2159753.53331,2157141.00674,1697309.32628,1652081.00539,2400095.37317,2154387.18634,2137316.48141,1600355.68431,2109093.90854,1906886.93214,1597802.11675,2035615.60185,1960191.53877,2033920.75809,2021993.47666,2211772.16139,2177691.70031
518.3277@635.85,9699.23366,12357.58714,11316.22591,11834.39473,16601.35103,14338.11811,13414.57003,9284.22965,5064.70654,9916.92065,15988.54671,14329.67035,7670.04694,17525.81601,10717.56392,7732.80316,7620.45416,16119.52925,10479.09818,8624.93358,9771.4654,8662.7604,8510.28219,7759.64141,8072.71959,9127.40588,9767.46237,6968.63743,11763.08001,12666.33993
641.5536@488.26,28781.38229,29109.20609,7729.41961,23841.90189,33456.79592,40678.1289,47146.56665,30392.52696,10841.33478,35098.31162,30129.99023,51751.11013,20840.45477,26599.57819,30957.45649,10562.35084,22490.18367,25364.84199,15731.4258,10452.81996,21854.36774,18921.73657,2544.62727,24410.49573,22874.49119,36375.29467,3032.42158,13967.2331,24814.96636,19051.91301
555.9807@475.84,147607.56764,148749.54344,155103.29726,231723.29094,192608.46694,225667.6187,177684.38041,174168.10798,161091.46999,156073.77078,221698.36786,186360.719,142598.13945,207139.97629,171453.29716,137245.74793,130245.3067,207338.12511,173639.09758,155552.52692,131250.44536,152940.2612,139541.57149,135543.88823,151792.15308,160575.74683,144093.48379,143422.61257,174573.96295,184722.87406
373.2021@479.14,171700.96311,166450.25902,149637.47603,147947.58224,222943.45897,179706.8281,170489.66278,151812.47012,124132.83616,220388.69792,177105.50805,239305.18554,214522.32526,166701.77489,173817.969,157021.90311,149928.16114,173712.85749,130230.4825,124723.85681,174631.92193,163360.18718,111425.28564,172995.29116,152101.44167,175845.90695,78495.79069,142861.17821,188241.50037,165192.0845
767.013@513.83,47101.81718,50229.85542,52637.50978,99036.23511,65495.08551,96037.27253,58915.06803,58395.39767,55153.0359,54648.77863,95543.11111,72007.65128,39560.78207,83361.35776,60800.9265,41654.2079,41209.38143,81861.5295,53925.74742,46521.64307,43138.58829,50736.16826,37052.73025,39763.19068,53937.07712,52334.36271,45101.43432,47095.09407,63166.41064,69913.29288
740.4532@474.51,118974.12051,79913.49545,63812.50975,51666.10852,9704.76101,36758.43208,56826.75064,71576.56687,148258.56158,27226.09763,58794.9557,57201.00727,37485.26403,138408.02818,137252.90942,34156.98011,120276.74258,55872.72705,155871.65511,125553.6923,83802.79884,81698.00217,36292.22136,131744.95618,84712.62977,75258.46389,160076.10858,107593.30905,14129.16532,97634.98183
717.128@499.34,20112.41135,22553.50396,22269.34175,30156.39076,21607.98985,29830.52717,22286.33034,24347.95222,23756.06934,21298.44576,28587.27578,24627.73513,17933.9117,25618.9855,23049.5237,16663.67038,17993.8835,28009.23355,22124.39445,20727.71879,17359.20479,20787.90668,19270.53705,15424.84972,19032.83061,20554.16742,17846.61166,20586.16544,24674.12075,24626.41239
632.001@526.54,17202.10979,17378.39636,17331.17097,30535.10102,20684.21495,28501.86696,17917.88675,19677.927,19256.50953,18428.94676,29250.35342,19521.1121,14074.20766,24946.2694,19678.68781,13564.60038,12884.65581,24585.55391,18178.04837,16163.86365,13970.90533,18389.7646,14782.9328,13806.48207,18699.86781,16955.29737,16446.28547,14838.51232,21582.88176,22537.61026
437.3625@502.31,131315.76703,20750.83632,31574.94168,54933.2446,111360.10111,82134.57536,132612.52822,88295.48947,100131.21663,316201.0487,139752.74671,99834.0441,357698.14725,94793.08187,250759.40921,338183.96664,79461.85011,175017.66794,263630.18142,61416.66291,314865.88431,148055.65568,38112.43896,276625.13227,272514.88874,138764.71614,78788.6456,27639.47934,395443.25372,207083.1156
691.5045@487.38,136236.35529,135899.30349,2184.86966,123300.03206,151126.07693,244838.41749,185892.79311,131856.87191,44505.58676,150476.34828,148355.25039,249334.02744,88235.38199,138129.13713,131995.94287,34145.664,141715.74823,100070.83646,48016.84209,53667.92459,100963.36407,92570.25413,0.0,150652.3963,95143.32195,181198.62788,3764.76915,58564.8674,104391.5665,83504.54332
795.079@511.14,27061.22782,25939.83718,24471.32175,45517.40817,33601.86152,43590.44244,31546.98045,32305.89235,27746.61784,28943.78027,39889.7281,29256.84261,26742.98013,38498.78424,31346.95742,24565.64374,23264.8979,37844.97111,27958.32879,29932.13826,17969.76119,26484.0525,21235.38056,20455.92726,21586.16142,27596.9382,23336.26805,26024.01784,31831.76132,30268.23468
671.009@526.45,172948.94866,170273.28899,167072.55618,320730.11049,202346.69178,297104.36495,137104.91085,196298.27704,186478.0487,186821.61598,297735.60267,203993.84916,136154.26723,260042.21462,208645.27,137385.57251,135829.75915,266392.34298,171572.60478,164591.30934,139851.60469,187722.56668,150184.76003,147234.31187,180780.33609,164965.22514,161535.19785,164737.93347,208000.12574,223362.4719
288.2172@176.6,13133.99731,11747.29024,11688.38661,12000.14019,11594.10617,10972.69086,11988.25306,11817.65657,12260.58771,12881.22511,10850.7123,12318.26068,11385.84661,12277.34436,12426.52174,12149.17299,13014.3519,11914.70177,10578.87757,12641.94569,12379.58865,11690.1195,12774.30505,11786.08365,11933.4002,12491.37305,12195.71099,11990.45581,11813.32022,12415.6604
887.0593@517.2,12518.09327,14797.08433,14919.66492,16152.62902,12738.16747,17209.69973,13596.94692,17363.92791,14220.87867,12645.74478,15867.19655,14830.18577,13129.32536,15349.8337,14373.4391,11836.19248,15293.79083,15245.69373,14358.5088,13791.51607,14296.94544,14427.24357,13715.43057,10103.72845,13996.98223,13697.27268,9022.51562,10332.86032,12102.18891,13609.35015
111.9365@636.84,62029.01837,66484.00444,61594.24731,58894.59347,85474.31216,64117.03651,73963.10695,67380.92755,65548.99639,62367.5863,74864.3894,80172.08491,58981.26632,86439.43192,71081.9603,59440.58349,55857.95742,89636.55884,70863.10883,60067.36842,59799.97571,58006.79532,61901.55219,56984.02869,57989.50026,66175.17873,58006.94888,59449.85991,72801.75701,76820.80886
569.5113@487.96,293673.95111,268228.92619,30887.03837,135142.09637,244312.97419,339884.25383,366482.0063,215437.92319,56715.27444,334234.3628,181640.75145,468067.02946,189935.6865,182640.69338,232766.65367,90481.47056,203126.19665,151759.20337,63110.23992,71982.09446,240939.8151,149349.27712,7405.3556,268098.15719,197548.92621,302749.52175,8926.55197,103391.08641,168584.87993,128323.15759
284.2665@498.26,992025.43105,1086059.79583,1118020.30601,1238780.23588,1125895.78695,1146494.55069,1026118.21555,1149403.71527,1141380.47129,584642.06273,1210460.82465,1159276.6027,1063802.54935,1233656.67155,1133331.02457,990906.35346,1002729.10182,1269575.80013,534082.35267,994155.72992,1017650.93881,1079186.76966,1114222.85655,591406.58838,1051059.084,980613.25097,1070467.50514,1083546.69963,620815.73965,1322308.95192
576.9459@509,240054.4206,267853.90539,263305.81143,385756.47334,292252.9832,385396.52804,293896.65519,290025.37541,267614.52029,270417.17222,358438.83283,318369.90755,240729.023,341281.08991,295314.93708,215540.88945,215476.92452,339081.66205,287837.16441,255202.80208,215361.31192,254531.56267,233761.70257,213106.40261,258752.51753,256075.48933,241539.31178,237122.12669,296977.02079,304208.33239
259.2424@438.69,18121.55595,12662.58424,8464.76109,7201.52311,14751.32277,33297.78433,23613.82176,12146.0026,8699.58386,23408.15441,24913.68171,26220.91848,9324.92728,12959.19089,9802.61096,9500.92546,12195.29273,11249.23391,5663.09424,4001.60483,22264.08194,17121.72869,1028.60161,14809.97709,15037.66213,19231.29742,1252.01474,9472.01994,16521.78194,13092.92308
296.2279@479.12,163235.0932,152743.49311,119269.17261,117782.15816,155101.60671,160532.5249,166700.67735,143846.3281,108712.6539,175845.20246,146177.84602,185120.88906,157941.70476,127811.54964,143839.319,116724.03928,137692.1746,133169.6303,128260.62592,114874.74488,148625.71533,145896.02295,87687.12859,148519.15763,140205.80146,156156.70194,84597.00257,124376.15013,149685.17934,137182.81667
463.327@513.58,728074.5713,735385.33374,924120.68086,911814.43847,785256.33551,843526.77896,695517.71402,801929.95804,905970.34373,773697.94141,876686.2676,734207.89392,731697.35888,869446.1268,825940.08337,688001.98576,680264.70095,938559.02091,815948.0705,883056.49505,692909.21618,799958.27317,875884.58702,684999.39339,761028.39712,693510.30336,906545.50628,789179.27607,787005.3376,290770.3926
283.1006@288.85,22053.71097,22812.90528,24600.03105,21868.00249,20363.2152,21842.2056,22717.2025,19647.40379,21398.70866,22734.50844,20387.54341,22897.44331,21981.15786,22155.15372,22181.54693,20897.41919,25597.57616,22008.62751,22589.53295,20993.18426,24174.5884,21381.87503,22031.42599,23134.81604,22649.23913,22736.98402,20991.19987,22630.60021,22482.99024,20513.27527
363.3255@583.05,9241.26983,10764.34055,3156.70633,6800.37039,9288.28962,17517.25175,7485.54462,7667.41684,3350.27924,7221.35903,13332.00236,14509.93499,2871.9126,12045.83281,5540.17115,2662.13186,4561.36331,8895.10204,4257.54817,1496.90438,8640.06606,4543.18469,186.1774,6906.75752,9554.10795,6876.51206,806.66179,1862.81789,4824.27853,5407.7362
