,24,14,83,102,95,78,41,5,34,113,117,89,49,65,69,124,48,23,94,3,25,64,33,104,96,29,9,38,111,39,93,20,127,79,86,47,12,56,72,101,123,16,82,119,60,88,22,114,115,59,10,87,1,97,116,106,17,120,91,18,85,126,109,118
Label,OO,SUN,CAN     ,OO,SUN,SUN,OO,OO,CAN     ,CAN     ,OO,OO,CAN     ,CAN     ,OO,OO,SUN,OO,SUN,CAN     ,OO,SUN,CAN     ,OO,SUN,SUN,OO,OO,SUN,OO,SUN,CAN     ,SUN,SUN,OO,SUN,OO,OO,OO,OO,OO,SUN,CAN     ,OO,OO,OO,OO,CAN     ,CAN     ,OO,OO,OO,CAN     ,CAN     ,CAN     ,OO,CAN     ,OO,OO,CAN     ,OO,SUN,SUN,OO
['1'],-0.064041926,-0.079635187,-0.082468043,-0.123975269,-0.083665791,-0.091500676,-0.083334252,-0.09801125,-0.069584947,-0.094965585,-0.101195195,-0.087181913,-0.069792255,-0.08073239,-0.072281145,-0.099119074,-0.09010523,-0.06586687,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.099257939,-0.086426349,-0.069949718,-0.108943954,-0.081464713,-0.091072341,-0.078681661,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.089768677,-0.093220647,-0.084385449,-0.08612474,-0.055070003,-0.134705224,-0.089424468,-0.070397263,-0.089039936,-0.084385683,-0.070478995,-0.076333447,-0.069620726,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.069685359,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.085305483,-0.089391758,-0.06694918,-0.083881381,-0.10624197,-0.113577817,-0.096231556
['1'],-0.064041926,-0.079635187,-0.082468043,-0.123975269,-0.083665791,-0.091500676,-0.083334252,-0.09801125,-0.069584947,-0.094965585,-0.101195195,-0.087181913,-0.069792255,-0.08073239,-0.072281145,-0.099119074,-0.09010523,-0.06586687,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.099257939,-0.086426349,-0.069949718,-0.108943954,-0.081464713,-0.091072341,-0.078681661,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.089768677,-0.093220647,-0.084385449,-0.08612474,-0.055070003,-0.134705224,-0.089424468,-0.070397263,-0.089039936,-0.084385683,-0.070478995,-0.076333447,-0.069620726,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.069685359,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.085305483,-0.089391758,-0.06694918,-0.083881381,-0.10624197,-0.113577817,-0.096231556
['2'],-0.063658435,-0.079635187,-0.082468043,-0.123629211,-0.083665791,-0.091500676,-0.083334252,-0.096941438,-0.069584947,-0.094965585,-0.099598068,-0.087181913,-0.069792255,-0.08073239,-0.071506883,-0.099119074,-0.09010523,-0.064701342,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.098069515,-0.086426349,-0.069949718,-0.108943954,-0.080520118,-0.091072341,-0.07717153,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.088679497,-0.093220647,-0.084385449,-0.085341752,-0.053088274,-0.133730778,-0.089424468,-0.070397263,-0.089039936,-0.082364329,-0.070478995,-0.074383673,-0.06818698,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.067557822,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.082942426,-0.089391758,-0.06694918,-0.082390186,-0.10624197,-0.113577817,-0.095069589
['2'],-0.063658435,-0.079635187,-0.082468043,-0.123629211,-0.083665791,-0.091500676,-0.083334252,-0.096941438,-0.069584947,-0.094965585,-0.099598068,-0.087181913,-0.069792255,-0.08073239,-0.071506883,-0.099119074,-0.09010523,-0.064701342,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.098069515,-0.086426349,-0.069949718,-0.108943954,-0.080520118,-0.091072341,-0.07717153,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.088679497,-0.093220647,-0.084385449,-0.085341752,-0.053088274,-0.133730778,-0.089424468,-0.070397263,-0.089039936,-0.082364329,-0.070478995,-0.074383673,-0.06818698,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.067557822,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.082942426,-0.089391758,-0.06694918,-0.082390186,-0.10624197,-0.113577817,-0.095069589
['3'],-0.063012051,-0.079635187,-0.082468043,-0.123298265,-0.083665791,-0.091500676,-0.083334252,-0.095876985,-0.069584947,-0.094965585,-0.097995473,-0.087181913,-0.069792255,-0.08073239,-0.070714575,-0.099119074,-0.09010523,-0.063495576,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.096881847,-0.086426349,-0.069949718,-0.108943954,-0.079653197,-0.091072341,-0.075604347,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.087466007,-0.093220647,-0.084385449,-0.084334273,-0.051192722,-0.132562129,-0.089424468,-0.070397263,-0.089039936,-0.080314494,-0.070478995,-0.072335663,-0.066707431,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.065747592,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.080682432,-0.089391758,-0.06694918,-0.080823578,-0.10624197,-0.113577817,-0.093786806
['3'],-0.063012051,-0.079635187,-0.082468043,-0.123298265,-0.083665791,-0.091500676,-0.083334252,-0.095876985,-0.069584947,-0.094965585,-0.097995473,-0.087181913,-0.069792255,-0.08073239,-0.070714575,-0.099119074,-0.09010523,-0.063495576,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.096881847,-0.086426349,-0.069949718,-0.108943954,-0.079653197,-0.091072341,-0.075604347,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.087466007,-0.093220647,-0.084385449,-0.084334273,-0.051192722,-0.132562129,-0.089424468,-0.070397263,-0.089039936,-0.080314494,-0.070478995,-0.072335663,-0.066707431,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.065747592,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.080682432,-0.089391758,-0.06694918,-0.080823578,-0.10624197,-0.113577817,-0.093786806
['4'],-0.062073375,-0.079635187,-0.082468043,-0.12296095,-0.083665791,-0.091500676,-0.083334252,-0.094795298,-0.069584947,-0.094965585,-0.096394169,-0.087181913,-0.069792255,-0.08073239,-0.06992524,-0.099119074,-0.09010523,-0.062232756,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.095717055,-0.086426349,-0.069949718,-0.108943954,-0.078843649,-0.091072341,-0.073966375,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.08612771,-0.093220647,-0.084385449,-0.083065459,-0.049437467,-0.131216238,-0.089424468,-0.070397263,-0.089039936,-0.078265825,-0.070478995,-0.07023025,-0.06516863,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.064240213,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.078559521,-0.089391758,-0.06694918,-0.079221011,-0.10624197,-0.113577817,-0.092384692
['4'],-0.062073375,-0.079635187,-0.082468043,-0.12296095,-0.083665791,-0.091500676,-0.083334252,-0.094795298,-0.069584947,-0.094965585,-0.096394169,-0.087181913,-0.069792255,-0.08073239,-0.06992524,-0.099119074,-0.09010523,-0.062232756,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.095717055,-0.086426349,-0.069949718,-0.108943954,-0.078843649,-0.091072341,-0.073966375,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.08612771,-0.093220647,-0.084385449,-0.083065459,-0.049437467,-0.131216238,-0.089424468,-0.070397263,-0.089039936,-0.078265825,-0.070478995,-0.07023025,-0.06516863,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.064240213,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.078559521,-0.089391758,-0.06694918,-0.079221011,-0.10624197,-0.113577817,-0.092384692
['5'],-0.060845555,-0.079635187,-0.082468043,-0.122591142,-0.083665791,-0.091500676,-0.083334252,-0.093673131,-0.069584947,-0.094965585,-0.094800068,-0.087181913,-0.069792255,-0.08073239,-0.069141442,-0.099119074,-0.09010523,-0.060891656,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.094600187,-0.086426349,-0.069949718,-0.108943954,-0.078062947,-0.091072341,-0.07225419,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.084668829,-0.093220647,-0.084385449,-0.081523058,-0.047862512,-0.129714266,-0.089424468,-0.070397263,-0.089039936,-0.076245416,-0.070478995,-0.06811134,-0.06354644,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.063000531,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.076602566,-0.089391758,-0.06694918,-0.077616866,-0.10624197,-0.113577817,-0.090871918
['5'],-0.060845555,-0.079635187,-0.082468043,-0.122591142,-0.083665791,-0.091500676,-0.083334252,-0.093673131,-0.069584947,-0.094965585,-0.094800068,-0.087181913,-0.069792255,-0.08073239,-0.069141442,-0.099119074,-0.09010523,-0.060891656,-0.08253209,-0.090554704,-0.081223132,-0.078786316,-0.086294695,-0.094600187,-0.086426349,-0.069949718,-0.108943954,-0.078062947,-0.091072341,-0.07225419,-0.09087607,-0.067386216,-0.102660537,-0.088444279,-0.084668829,-0.093220647,-0.084385449,-0.081523058,-0.047862512,-0.129714266,-0.089424468,-0.070397263,-0.089039936,-0.076245416,-0.070478995,-0.06811134,-0.06354644,-0.098864828,-0.102264299,-0.086116232,-0.090201865,-0.063000531,-0.0975102,-0.127798072,-0.087249058,-0.103887292,-0.088969751,-0.076602566,-0.089391758,-0.06694918,-0.077616866,-0.10624197,-0.113577817,-0.090871918
