,33,49,12,9,45,22,37,21,53,68,24,42,16,26,19,63,30,55,64,66,38
Label,C,B,A,A,C,B,B,C,C,B,A,C,B,B,A,C,A,B,C,B,A
['1+13'],54315.253,675905.938,449227.252,101393.107,102190.369,0.0,257642.033,0.0,0.0,0.0,0.0,149680.57,12090.066,0.0,0.0,0.0,0.0,340593.708,0.0,0.0,162236.726
['1+14'],169077.273,152359.144,160603.739,129482.71,170912.381,225719.843,127025.589,315981.201,308919.299,0.0,355174.918,230495.387,198834.035,0.0,377629.544,0.0,210612.019,0.0,0.0,0.0,176352.435
['1+14'],169077.273,152359.144,160603.739,129482.71,170912.381,225719.843,127025.589,315981.201,308919.299,0.0,355174.918,230495.387,198834.035,0.0,377629.544,0.0,210612.019,0.0,0.0,0.0,176352.435
['1+15'],172128.168,0.0,0.0,0.0,0.0,301683.527,0.0,0.0,164091.018,53819.892,303877.412,0.0,309745.724,0.0,327538.68,0.0,0.0,222334.697,0.0,0.0,0.0
['1+15'],172128.168,0.0,0.0,0.0,0.0,301683.527,0.0,0.0,164091.018,53819.892,303877.412,0.0,309745.724,0.0,327538.68,0.0,0.0,222334.697,0.0,0.0,0.0
['1+16'],224551.262,448721.461,667994.964,3129812.53,363347.045,332636.889,318492.394,299721.707,269315.353,0.0,411292.871,0.0,647928.781,5259.238,399859.93,0.0,429512.46,368163.922,0.0,0.0,0.0
['1+16'],224551.262,448721.461,667994.964,3129812.53,363347.045,332636.889,318492.394,299721.707,269315.353,0.0,411292.871,0.0,647928.781,5259.238,399859.93,0.0,429512.46,368163.922,0.0,0.0,0.0
['1+17'],0.0,0.0,115076.752,125504.028,59934.795,4287.963,0.0,5706.139,0.0,0.0,4743.931,0.0,24969.044,0.0,34254.677,0.0,3004.024,0.0,0.0,0.0,3025.518
['1+17'],0.0,0.0,115076.752,125504.028,59934.795,4287.963,0.0,5706.139,0.0,0.0,4743.931,0.0,24969.044,0.0,34254.677,0.0,3004.024,0.0,0.0,0.0,3025.518
['1+18'],22421.834,51547.604,30484.056,19482.972,52009.007,10238.502,35359.427,42959.317,66230.325,3531.386,41282.118,38882.734,15411.206,0.0,37514.999,0.0,36612.559,70056.766,0.0,0.0,38522.617
['1+18'],22421.834,51547.604,30484.056,19482.972,52009.007,10238.502,35359.427,42959.317,66230.325,3531.386,41282.118,38882.734,15411.206,0.0,37514.999,0.0,36612.559,70056.766,0.0,0.0,38522.617
['1+19'],354190.679,1584169.68,956887.107,933549.13,563643.017,348251.347,1044009.64,492722.979,15649.726,548228.387,736606.34,591885.6,700819.424,0.0,547563.874,7280.068,675681.763,1992037.76,0.0,12898.526,963724.887
['1+19'],354190.679,1584169.68,956887.107,933549.13,563643.017,348251.347,1044009.64,492722.979,15649.726,548228.387,736606.34,591885.6,700819.424,0.0,547563.874,7280.068,675681.763,1992037.76,0.0,12898.526,963724.887
['1+20'],166214.685,34290012.2,0.0,0.0,19699410.0,0.0,20368012.7,1587642.63,145608.177,0.0,203301.032,22947468.9,479293.822,9823830.1,429220.169,0.0,14447577.3,74095592.1,111772717.0,125480368.0,20694681.4
['1+20'],166214.685,34290012.2,0.0,0.0,19699410.0,0.0,20368012.7,1587642.63,145608.177,0.0,203301.032,22947468.9,479293.822,9823830.1,429220.169,0.0,14447577.3,74095592.1,111772717.0,125480368.0,20694681.4
['1+21'],6592346.95,37511643.1,6630707.17,10754812.2,0.0,11106984.9,12736938.6,10742864.5,3527679.94,0.0,10827974.9,2845966.33,9443146.86,0.0,11233674.0,0.0,8024824.16,0.0,0.0,0.0,8673195.05
['1+21'],6592346.95,37511643.1,6630707.17,10754812.2,0.0,11106984.9,12736938.6,10742864.5,3527679.94,0.0,10827974.9,2845966.33,9443146.86,0.0,11233674.0,0.0,8024824.16,0.0,0.0,0.0,8673195.05
['1+22'],0.0,204656.043,0.0,0.0,0.0,86428.191,179486.917,0.0,0.0,159839.073,0.0,0.0,135761.133,17431102.0,0.0,0.0,0.0,437467.803,0.0,0.0,0.0
