,23,32,70,54,15,3,43,69,62,44,60,6,36,35,25,61,7,27,51,18,31,34,29,10,41,46,40,17,52,11,39,57,5,20,65,4,50,2,13,59,47,8,14,56,1,58,67,28,48
Label,B,B,A,A,A,C,A,C,C,C,A,A,C,C,B,B,B,A,A,B,C,C,A,B,A,C,B,C,C,B,C,B,C,C,B,A,C,B,C,A,B,A,B,A,B,B,B,B,B
['1+1'],0.0,80793.653,0.0,0.0,0.0,0.0,171969.368,0.0,0.0,0.0,0.0,333626.778,0.0,507845.236,0.0,0.0,0.0,378695.328,0.0,0.0,267568.368,0.0,136565.098,0.0,417660.084,0.0,1647525.15,0.0,1060843.09,0.0,246589.697,58590.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129902.112,867018.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685838.352
['1+1'],0.0,80793.653,0.0,0.0,0.0,0.0,171969.368,0.0,0.0,0.0,0.0,333626.778,0.0,507845.236,0.0,0.0,0.0,378695.328,0.0,0.0,267568.368,0.0,136565.098,0.0,417660.084,0.0,1647525.15,0.0,1060843.09,0.0,246589.697,58590.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129902.112,867018.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685838.352
['1+2'],20513.399,0.0,0.0,15134342.5,73917.8,0.0,59170.032,0.0,0.0,972545.342,0.0,161344.393,62043.244,112844.154,79172.689,0.0,33477.754,123078.192,0.0,74693.438,59432.799,85844.584,0.0,145533.576,71644.54,25544.388,101797.268,63266.794,527957.275,141082.106,0.0,0.0,20383.252,64035.109,0.0,43345.467,202296.06,0.0,160020.861,0.0,67929.981,733872.154,0.0,0.0,0.0,39402.337,0.0,53845.781,0.0
['1+2'],20513.399,0.0,0.0,15134342.5,73917.8,0.0,59170.032,0.0,0.0,972545.342,0.0,161344.393,62043.244,112844.154,79172.689,0.0,33477.754,123078.192,0.0,74693.438,59432.799,85844.584,0.0,145533.576,71644.54,25544.388,101797.268,63266.794,527957.275,141082.106,0.0,0.0,20383.252,64035.109,0.0,43345.467,202296.06,0.0,160020.861,0.0,67929.981,733872.154,0.0,0.0,0.0,39402.337,0.0,53845.781,0.0
['1+3'],1491070.55,1396183.88,0.0,1248610.65,120971.719,0.0,7915299.21,14619913.7,21674724.1,10530934.0,22577119.3,39631.755,4708245.7,5891440.9,1253761.3,18836647.2,0.0,2185957.62,672718.177,571365.488,4894604.97,6992482.03,1951581.63,35592.786,5686200.31,3391431.18,5212843.38,152524.612,7539049.06,57777.355,3751620.83,16504432.1,0.0,642091.989,5129009.67,103484.995,7495257.8,0.0,0.0,21451214.1,8019808.35,0.0,0.0,567236.376,0.0,12489495.7,0.0,1819272.1,8817130.8
['1+3'],1491070.55,1396183.88,0.0,1248610.65,120971.719,0.0,7915299.21,14619913.7,21674724.1,10530934.0,22577119.3,39631.755,4708245.7,5891440.9,1253761.3,18836647.2,0.0,2185957.62,672718.177,571365.488,4894604.97,6992482.03,1951581.63,35592.786,5686200.31,3391431.18,5212843.38,152524.612,7539049.06,57777.355,3751620.83,16504432.1,0.0,642091.989,5129009.67,103484.995,7495257.8,0.0,0.0,21451214.1,8019808.35,0.0,0.0,567236.376,0.0,12489495.7,0.0,1819272.1,8817130.8
['1+4'],233012.878,0.0,0.0,82202.248,60055.451,0.0,192013.53,0.0,0.0,104089.696,0.0,0.0,259908.868,0.0,235795.858,0.0,39589.738,0.0,64247.66,156337.67,51700.403,57166.978,355545.996,38414.065,95917.439,421941.564,644087.101,23885.139,2600048.8,0.0,493151.425,0.0,0.0,115813.435,0.0,68704.705,343575.382,0.0,0.0,0.0,1239912.7,64282.591,0.0,0.0,0.0,0.0,0.0,107292.829,0.0
['1+4'],233012.878,0.0,0.0,82202.248,60055.451,0.0,192013.53,0.0,0.0,104089.696,0.0,0.0,259908.868,0.0,235795.858,0.0,39589.738,0.0,64247.66,156337.67,51700.403,57166.978,355545.996,38414.065,95917.439,421941.564,644087.101,23885.139,2600048.8,0.0,493151.425,0.0,0.0,115813.435,0.0,68704.705,343575.382,0.0,0.0,0.0,1239912.7,64282.591,0.0,0.0,0.0,0.0,0.0,107292.829,0.0
