,56,22,25,52,55,70,13,64,63,48,38,30,5,24,19,42,46,7,36,54,23,67,66,61,31,53,3,60,20,37,26,18,57,44,6,43,62,65,33,51,32,47,9,29,28,2
Label,A,B,B,C,B,A,C,C,C,B,A,A,C,A,A,C,C,B,C,A,B,B,B,B,C,C,C,A,C,B,B,B,B,C,A,A,C,B,C,A,B,B,A,A,B,B
['1+251'],0.0,75044.118,117590.088,33559.624,168516.941,69087.882,29110.484,22644.384,31211.037,120303.829,91143.037,67666.916,25294.28,88509.476,112236.165,39207.759,40046.339,74514.953,31242.113,254117.719,79212.692,67210.854,51654.29,66226.202,22973.947,68612.302,24288.473,80611.223,42245.321,125963.911,225218.92,101237.162,79638.701,37789.684,68151.064,74292.54,29993.049,56412.083,26535.076,221060.271,76044.145,145182.073,94132.732,79600.263,95240.618,62707.033
['1+251'],0.0,75044.118,117590.088,33559.624,168516.941,69087.882,29110.484,22644.384,31211.037,120303.829,91143.037,67666.916,25294.28,88509.476,112236.165,39207.759,40046.339,74514.953,31242.113,254117.719,79212.692,67210.854,51654.29,66226.202,22973.947,68612.302,24288.473,80611.223,42245.321,125963.911,225218.92,101237.162,79638.701,37789.684,68151.064,74292.54,29993.049,56412.083,26535.076,221060.271,76044.145,145182.073,94132.732,79600.263,95240.618,62707.033
['1+435'],2235419.85,802787.901,824212.396,2054452.76,580138.736,1684033.31,845899.922,1344731.78,1804354.44,685153.586,694496.978,1074700.3,1096118.03,858788.56,982827.016,539433.768,720530.584,997873.391,682662.393,1427060.1,897350.049,1164231.2,1008292.27,2030754.88,1015421.98,1088757.32,1186580.69,2638708.49,1015380.22,587861.548,229266.89,877043.655,3703297.94,472849.136,1071300.21,526993.032,2092758.96,1076751.74,788931.582,2605994.61,767065.019,679773.033,1002106.74,989551.327,938140.157,1341559.35
['1+435'],2235419.85,802787.901,824212.396,2054452.76,580138.736,1684033.31,845899.922,1344731.78,1804354.44,685153.586,694496.978,1074700.3,1096118.03,858788.56,982827.016,539433.768,720530.584,997873.391,682662.393,1427060.1,897350.049,1164231.2,1008292.27,2030754.88,1015421.98,1088757.32,1186580.69,2638708.49,1015380.22,587861.548,229266.89,877043.655,3703297.94,472849.136,1071300.21,526993.032,2092758.96,1076751.74,788931.582,2605994.61,767065.019,679773.033,1002106.74,989551.327,938140.157,1341559.35
['1+749'],118055.039,58393.841,98374.833,78759.596,6762.964,82788.427,78628.681,50245.852,53166.414,94170.27,70702.146,91177.617,51544.477,52291.92,75392.695,76296.539,0.0,62634.379,15181.213,169641.865,56164.156,103288.938,0.0,89229.016,60475.579,113924.647,63965.581,92388.999,0.0,76156.125,0.0,106139.769,62312.639,109995.397,74240.526,109740.765,64522.851,67699.077,57945.173,131801.477,83275.689,101685.323,115227.098,103866.285,102381.43,71073.567
['1+749'],118055.039,58393.841,98374.833,78759.596,6762.964,82788.427,78628.681,50245.852,53166.414,94170.27,70702.146,91177.617,51544.477,52291.92,75392.695,76296.539,0.0,62634.379,15181.213,169641.865,56164.156,103288.938,0.0,89229.016,60475.579,113924.647,63965.581,92388.999,0.0,76156.125,0.0,106139.769,62312.639,109995.397,74240.526,109740.765,64522.851,67699.077,57945.173,131801.477,83275.689,101685.323,115227.098,103866.285,102381.43,71073.567
['1+834'],685037.609,500176.663,625228.203,800437.298,929852.164,509207.59,346727.111,255094.106,325458.833,721136.196,585145.5,417678.686,195160.386,456569.357,792391.583,721331.107,495118.076,0.0,479699.325,1156104.96,524697.283,416480.123,393732.973,362015.036,417003.05,1033828.04,243997.909,354531.03,838179.981,621333.222,470618.981,780160.579,338930.731,510042.792,370980.333,601790.953,274740.715,421594.078,396615.655,1263328.82,535573.549,784811.9,399178.814,407988.493,624574.512,302402.19
['1+834'],685037.609,500176.663,625228.203,800437.298,929852.164,509207.59,346727.111,255094.106,325458.833,721136.196,585145.5,417678.686,195160.386,456569.357,792391.583,721331.107,495118.076,0.0,479699.325,1156104.96,524697.283,416480.123,393732.973,362015.036,417003.05,1033828.04,243997.909,354531.03,838179.981,621333.222,470618.981,780160.579,338930.731,510042.792,370980.333,601790.953,274740.715,421594.078,396615.655,1263328.82,535573.549,784811.9,399178.814,407988.493,624574.512,302402.19
['1+934'],673574.537,974459.668,835177.353,26094.617,640033.158,400097.714,243378.706,80687.692,310073.959,1255920.15,677941.13,853807.279,1080129.39,667340.426,793011.425,175309.475,213176.212,600689.591,263558.437,1032362.91,530452.652,245041.922,329775.737,392611.108,210935.904,410034.397,194241.05,362249.361,181788.046,645424.04,831581.705,1048566.52,370224.694,0.0,757614.174,706941.892,100923.553,357980.693,265046.376,1861548.5,639194.534,605940.16,710069.678,637984.772,691123.24,608925.306
['1+934'],673574.537,974459.668,835177.353,26094.617,640033.158,400097.714,243378.706,80687.692,310073.959,1255920.15,677941.13,853807.279,1080129.39,667340.426,793011.425,175309.475,213176.212,600689.591,263558.437,1032362.91,530452.652,245041.922,329775.737,392611.108,210935.904,410034.397,194241.05,362249.361,181788.046,645424.04,831581.705,1048566.52,370224.694,0.0,757614.174,706941.892,100923.553,357980.693,265046.376,1861548.5,639194.534,605940.16,710069.678,637984.772,691123.24,608925.306
